
[00:00:00.000 --> 00:00:03.000]  歡迎大家來到我們的週六叢拜
[00:00:03.000 --> 00:00:07.000]  今年五月我們開始了一個新的港道系列
[00:00:07.000 --> 00:00:11.000]  耶和華的十戒 耶穌基督的十戒
[00:00:11.000 --> 00:00:17.000]  今天我們來到第五戒 孝敬父母的第三講
[00:00:17.000 --> 00:00:21.000]  應用片 我們將要整合之前兩篇的港道
[00:00:21.000 --> 00:00:26.000]  然後再應用到今天的聖徒身上
[00:00:26.000 --> 00:00:32.000]  我們在哪裏可以找到十戒裏面的第五戒呢
[00:00:32.000 --> 00:00:36.000]  是在《差及記》第二十章第十二節
[00:00:36.000 --> 00:00:41.000]  跟着三十八年 抗野漂流之後
[00:00:41.000 --> 00:00:46.000]  摩西再次向第二代以色列人宣講
[00:00:46.000 --> 00:00:49.000]  在《生命記》的第五章第十六節
[00:00:49.000 --> 00:00:52.000]  《差及記》第二十章第十二節這麼講
[00:00:52.000 --> 00:00:59.000]  當孝敬父母 使你的日子在神所賜你地上得以長久
[00:00:59.000 --> 00:01:03.000]  三十八年之後 《生命記》第五章第十六節
[00:01:03.000 --> 00:01:06.000]  當孝敬父母 正如耶和華
[00:01:06.000 --> 00:01:09.000]  你上帝所吩咐的 使你得福
[00:01:09.000 --> 00:01:11.000]  如果你記得我講那個原文是
[00:01:11.000 --> 00:01:14.000]  使你好好 很好
[00:01:14.000 --> 00:01:17.000]  使你好好 並使你的日子在耶和華
[00:01:17.000 --> 00:01:21.000]  你上帝所賜給你的地上得以長久
[00:01:21.000 --> 00:01:27.000]  究竟講的是什麼地 什麼土地
[00:01:27.000 --> 00:01:31.000]  大部分是迦南的美地 是他們的認許之地
[00:01:31.000 --> 00:01:35.000]  是上帝自己天國的所在
[00:01:35.000 --> 00:01:38.000]  但是迦南只是一個影子
[00:01:38.000 --> 00:01:43.000]  它指回去起初在《創世記》第一章第二章裏面
[00:01:43.000 --> 00:01:46.000]  那個美好的創造 那個完美的世界
[00:01:46.000 --> 00:01:51.000]  那個完美永不結束的第七天
[00:01:51.000 --> 00:01:54.000]  但是它也都向前指向將來
[00:01:54.000 --> 00:01:57.000]  將來在耶穌基督裏面
[00:01:57.000 --> 00:02:00.000]  上帝會帶我們進入祂的認許
[00:02:00.000 --> 00:02:04.000]  祂一個永恆的救贖
[00:02:04.000 --> 00:02:06.000]  迦南地只是一個影子
[00:02:06.000 --> 00:02:10.000]  指向的是在耶穌基督裏面永恆的救贖
[00:02:10.000 --> 00:02:13.000]  上帝有一個救贖的計劃
[00:02:13.000 --> 00:02:19.000]  上帝要罪人可以罪得赦免 可以得享永生
[00:02:19.000 --> 00:02:25.000]  而得着救恩 得享永生的關鍵在哪裏呢
[00:02:25.000 --> 00:02:29.000]  就是在孝敬父母 在第五節裏面
[00:02:29.000 --> 00:02:35.000]  你孝敬天父上帝 孝敬地上敬乾
[00:02:35.000 --> 00:02:38.000]  忠心跟隨上帝的父母
[00:02:38.000 --> 00:02:42.000]  那你就可以長在那個地方里面居住
[00:02:42.000 --> 00:02:48.000]  這樣你就可以在上帝的永恆天國裏面有份
[00:02:48.000 --> 00:02:53.000]  當孝敬父母 孝敬的元文帶着重量的意思
[00:02:53.000 --> 00:02:55.000]  什麼叫做孝敬父母
[00:02:55.000 --> 00:03:01.000]  就是將重量給父母 將重量給敬乾的父母
[00:03:01.000 --> 00:03:05.000]  敬乾父母給你的屬靈教導
[00:03:05.000 --> 00:03:10.000]  這個是十節中第五節的核心思想
[00:03:10.000 --> 00:03:16.000]  它不是說我們不信主的家裏應該怎樣去孝敬父母
[00:03:16.000 --> 00:03:22.000]  它說的是在信仰羣體裏面 在起初的立約的羣體裏面
[00:03:22.000 --> 00:03:25.000]  你孝敬你地上敬乾的父母
[00:03:25.000 --> 00:03:29.000]  你就可以孝敬你天父的上帝
[00:03:29.000 --> 00:03:36.000]  你就可以得着天父上帝給你救贖的認許
[00:03:36.000 --> 00:03:40.000]  那舊約的以色列人究竟有沒有孝敬天父
[00:03:40.000 --> 00:03:44.000]  舊約的以色列人有沒有孝敬敬乾的父母
[00:03:44.000 --> 00:03:47.000]  答案是沒有
[00:03:47.000 --> 00:03:51.000]  從聖經的《創世紀》第三章開始
[00:03:51.000 --> 00:03:55.000]  我們看到阿當沒有孝敬天父
[00:03:55.000 --> 00:03:58.000]  叉戟紀的以色列人也沒有孝敬天父
[00:03:58.000 --> 00:04:00.000]  也沒有孝敬敬乾的父母
[00:04:00.000 --> 00:04:04.000]  進了迦南里面的以色列人也沒有
[00:04:04.000 --> 00:04:08.000]  後來以色列人被捕迴歸之後也沒有
[00:04:08.000 --> 00:04:13.000]  於是兩星期之前我們一口氣看了五段舊約的聖經
[00:04:13.000 --> 00:04:16.000]  五段聖經的核心呼召是
[00:04:16.000 --> 00:04:18.000]  Shema O Israel
