
[00:00:00.000 --> 00:00:03.040]  我們今天繼續來看《仙途行傳》第九章
[00:00:03.040 --> 00:00:05.280]  我們今天的講題是「呼召」
[00:00:05.280 --> 00:00:08.560]  提起呼召 我不知道各位訂閱姐妹
[00:00:08.560 --> 00:00:10.000]  你會想起些什麼呢
[00:00:10.000 --> 00:00:13.160]  很多基督徒認為 神的呼召
[00:00:13.160 --> 00:00:17.340]  只會臨到特別的人 特別的事身上
[00:00:17.340 --> 00:00:20.520]  去呼召一些特別的人 去做一些特別的事
[00:00:20.520 --> 00:00:24.280]  如果說到特別的人和特別的事
[00:00:24.280 --> 00:00:25.880]  我想起一個人
[00:00:25.880 --> 00:00:29.320]  他就是Mr. Bean 岸鬥先生
[00:00:29.600 --> 00:00:31.840]  這裡有多少人有看過Mr. Bean的
[00:00:31.840 --> 00:00:34.120]  哦 都很多 是不是
[00:00:34.120 --> 00:00:35.920]  我相信你們有看過Mr. Bean
[00:00:35.920 --> 00:00:37.720]  我想不需要我多介紹
[00:00:37.720 --> 00:00:41.680]  他實在是一個很有喜劇細胞的演員
[00:00:41.680 --> 00:00:43.800]  是一個很風趣幽默的角色
[00:00:43.800 --> 00:00:46.120]  我記得第一次看Mr. Bean的時候
[00:00:46.120 --> 00:00:48.480]  那個劇集就是講他聖誕節
[00:00:48.480 --> 00:00:50.720]  要預備一個聖誕的晚餐
[00:00:50.720 --> 00:00:52.080]  我記得看到那一幕
[00:00:52.080 --> 00:00:54.640]  他拿著一個很大的火雞頭 生凹凹的
[00:00:54.640 --> 00:00:57.280]  將整個火雞頭塞到自己的頭上的時候
[00:00:57.280 --> 00:00:59.440]  整個火雞塞到自己的頭上的時候
[00:00:59.440 --> 00:01:01.880]  那一刻我真的笑到收不到聲
[00:01:01.880 --> 00:01:05.840]  Mr. Bean的主角 我們叫做羅溫
[00:01:05.840 --> 00:01:08.080]  其實羅溫就是英國當代
[00:01:08.080 --> 00:01:10.160]  很出名的喜劇演員
[00:01:10.160 --> 00:01:13.760]  他演出過無數的劇集
[00:01:13.760 --> 00:01:15.760]  而Mr. Bean這個角色
[00:01:15.760 --> 00:01:17.840]  甚至被當代譽為
[00:01:17.840 --> 00:01:20.160]  當代的查理·卓別林
[00:01:20.160 --> 00:01:22.640]  是一個非常高的贊譽
[00:01:22.640 --> 00:01:24.640]  不說不知道
[00:01:24.640 --> 00:01:26.640]  原來Mr. Bean的主角羅溫
[00:01:26.640 --> 00:01:28.800]  他在大學讀書的時候
[00:01:28.800 --> 00:01:32.880]  他所修的科目和戲劇一點都沒有關係
[00:01:32.880 --> 00:01:36.000]  他在大學修的是電子工程
[00:01:36.000 --> 00:01:37.600]  他讀完大學之後
[00:01:37.600 --> 00:01:39.120]  更加去到牛津大學
[00:01:39.120 --> 00:01:41.440]  繼續去專攻電子工程
[00:01:41.440 --> 00:01:43.440]  完成他的碩士課程
[00:01:43.440 --> 00:01:45.600]  他的泊車技術
[00:01:45.600 --> 00:01:48.880]  他非常迷戀車和車的速度
[00:01:48.880 --> 00:01:50.560]  我想你看過Mr. Bean
[00:01:50.560 --> 00:01:52.800]  你見他經常拿著那輛Mini Cooper
[00:01:52.800 --> 00:01:54.400]  那輛很小的車
[00:01:54.400 --> 00:01:57.280]  他的泊車技術實在是神乎其技
[00:01:57.280 --> 00:02:00.240]  就已經拍到一個很準確的位置
[00:02:00.240 --> 00:02:03.200]  鏡頭下的Mr. Bean
[00:02:03.200 --> 00:02:05.520]  是一個風趣幽默
[00:02:05.520 --> 00:02:07.280]  惹笑搞鬼的一個
[00:02:07.280 --> 00:02:09.760]  很成功的一個喜劇演員
[00:02:09.760 --> 00:02:11.520]  但原來真實的他
[00:02:11.520 --> 00:02:12.720]  一點都不幽默
[00:02:12.720 --> 00:02:14.240]  一點都不搞笑
[00:02:14.240 --> 00:02:17.120]  甚至和他一起的朋友說他
[00:02:17.120 --> 00:02:18.880]  和他一起相處的時候
[00:02:18.880 --> 00:02:21.280]  一點幽默感都沒有
[00:02:21.280 --> 00:02:24.160]  他不單止是一個很嚴肅的人
[00:02:24.160 --> 00:02:27.200]  他並且患有嚴重的口吃
[00:02:27.200 --> 00:02:28.640]  在2007年
[00:02:28.640 --> 00:02:30.000]  當他出道了很久
[00:02:30.000 --> 00:02:32.000]  已經名成利就的時候
[00:02:32.000 --> 00:02:34.640]  有一個美國記者訪問他
[00:02:34.640 --> 00:02:36.880]  他說你出道了這麼久
[00:02:36.880 --> 00:02:40.160]  是不是已經克服了口吃這個問題呢
[00:02:40.160 --> 00:02:41.360]  羅溫回答
[00:02:41.360 --> 00:02:44.000]  我的口吃時好時壞
[00:02:44.000 --> 00:02:47.360]  要看我的心情當時是否很緊張
[00:02:47.360 --> 00:02:49.120]  不過我的口吃
[00:02:49.120 --> 00:02:52.400]  確實對我來說是一個很大的問題
[00:02:52.400 --> 00:02:55.120]  但當我發現我在演戲的時候
[00:02:55.120 --> 00:02:57.120]  口吃就消失了
[00:02:57.120 --> 00:02:58.560]  他口吃的問題
[00:02:58.560 --> 00:03:03.200]  或許就是引起我成為演員的靈感之一
[00:03:03.200 --> 00:03:06.320]  這個就是Mr. Bean的主角 羅溫
[00:03:06.320 --> 00:03:08.000]  他特別的地方
[00:03:08.000 --> 00:03:09.440]  就是他身體的限制
[00:03:09.440 --> 00:03:12.080]  不會真的左右他在喜劇裡面
[00:03:12.080 --> 00:03:14.720]  去發展成為一個很成功的演員
[00:03:14.720 --> 00:03:16.960]  他近年患了抑鬱症
[00:03:16.960 --> 00:03:19.840]  但是當他重新面對鏡頭的時候
[00:03:19.840 --> 00:03:23.120]  他仍然帶給觀眾很多的歡樂
[00:03:23.120 --> 00:03:24.960]  我不知道今屆奧運會
[00:03:24.960 --> 00:03:26.160]  你有沒有看開幕
[00:03:26.160 --> 00:03:27.600]  有啊
[00:03:27.600 --> 00:03:29.520]  在開幕典禮裡面
[00:03:29.520 --> 00:03:32.320]  其中一幕就是倫敦交響樂團
[00:03:32.320 --> 00:03:35.680]  去演奏烈火戰車的片段
[00:03:35.680 --> 00:03:38.160]  而Mr. Bean也有粉墨登場
[00:03:38.160 --> 00:03:41.840]  他參加在裡面作為其中一個演奏家
[00:03:41.840 --> 00:03:42.480]  他是怎樣的呢
[00:03:42.480 --> 00:03:44.160]  他就坐在一個鋼琴面前
[00:03:44.160 --> 00:03:45.440]  只是按著一顆音
[00:03:45.440 --> 00:03:47.120]  不斷咚咚咚咚咚
[00:03:47.120 --> 00:03:49.200]  然後就做了很多鬼馬
[00:03:49.200 --> 00:03:51.120]  趣怪的動作
[00:03:51.120 --> 00:03:53.520]  而當時有一個報紙
[00:03:53.520 --> 00:03:58.320]  甚至將他真是預為Mr. Bean在這個奧運會出現
[00:03:58.320 --> 00:04:03.840]  成為本屆奧運開幕最搶鏡的元素之一
[00:04:03.840 --> 00:04:05.440]  這個就是Mr. Bean的主角
[00:04:05.440 --> 00:04:06.320]  羅溫
[00:04:06.320 --> 00:04:07.920]  一個很特別的人
[00:04:07.920 --> 00:04:11.760]  一個很成功的喜劇演員
[00:04:11.760 --> 00:04:13.600]  而在教會歷史上
