
[00:00:00.000 --> 00:00:08.000]  很高興可以再次成為神話語的出口
[00:00:08.000 --> 00:00:14.000]  不知道大家在過去四個月究竟如何
[00:00:14.000 --> 00:00:17.000]  香港的局勢很動盪不安
[00:00:17.000 --> 00:00:24.000]  以致令到我們有時心靈受到一些影響和牽動
[00:00:24.000 --> 00:00:30.000]  我相信我最近的體會其中一個最大的困難
[00:00:30.000 --> 00:00:36.000]  就是坊間充斥了很多作假的傳聞
[00:00:36.000 --> 00:00:39.000]  又或者一些很煽情的資訊
[00:00:39.000 --> 00:00:43.000]  所以在那些真真假假的狀況底下
[00:00:43.000 --> 00:00:49.000]  其實對人和人的關係和彼此的信任
[00:00:49.000 --> 00:00:53.000]  造成很大的破損和拆毀
[00:00:53.000 --> 00:00:58.000]  不過我又在想既然外間真的要這樣的時候
[00:00:58.000 --> 00:01:04.000]  可能我們就要更加操練神思明辨
[00:01:04.000 --> 00:01:07.000]  不用耳朵當眼
[00:01:07.000 --> 00:01:10.000]  而是真的多點去思考
[00:01:10.000 --> 00:01:14.000]  多點去衡量和多點去分辨
[00:01:14.000 --> 00:01:23.000]  以致這樣的日子依然能夠成為我們操練心思和判別的機會
[00:01:23.000 --> 00:01:25.000]  以致人不會那麼衝動
[00:01:25.000 --> 00:01:30.000]  反而可以更加邁向成熟和老練
[00:01:30.000 --> 00:01:36.000]  在信任這麼薄弱的情況底下
[00:01:36.000 --> 00:01:39.000]  我在預備這篇講章的時候
[00:01:39.000 --> 00:01:44.000]  翻閱了一篇很久遠的貼文
[00:01:44.000 --> 00:01:49.000]  它的題目叫做「承諾是個響臂」
[00:01:49.000 --> 00:01:56.000]  雖然作者都是針對愛情的角度來寫
[00:01:56.000 --> 00:02:00.000]  不過他講的又好像也有些道理
[00:02:00.000 --> 00:02:03.000]  可以值得我們參考
[00:02:03.000 --> 00:02:07.000]  撮了一些內容讀給大家聽
[00:02:07.000 --> 00:02:11.000]  世上每段的戀愛
[00:02:11.000 --> 00:02:14.000]  由示愛到大家在一起
[00:02:14.000 --> 00:02:16.000]  由拍拖到結婚
[00:02:16.000 --> 00:02:21.000]  無論男女都曾經給對方有承諾
[00:02:21.000 --> 00:02:26.000]  為了你肯戒煙戒酒戒粗口
[00:02:26.000 --> 00:02:32.000]  或者還有很多雞毛蒜皮經典絕倫的承諾
[00:02:32.000 --> 00:02:38.000]  都是往往要表達我愛你是多麼真實
[00:02:38.000 --> 00:02:42.000]  但是就算講得多浪漫多感動
[00:02:42.000 --> 00:02:46.000]  年底又不知道有多少對夫婦要離婚
[00:02:46.000 --> 00:02:49.000]  多少情侶要鬧分手
[00:02:49.000 --> 00:02:53.000]  所以作者說承諾是個響臂
[00:02:53.000 --> 00:02:55.000]  只有放的那一剎那
[00:02:55.000 --> 00:02:58.000]  聲音響亮一鳴驚人
[00:02:58.000 --> 00:03:03.000]  之後看不見聽不到聞不到
[00:03:03.000 --> 00:03:06.000]  因為詛咒和四周的空氣融為一體
[00:03:06.000 --> 00:03:09.000]  消失得無影無蹤
[00:03:09.000 --> 00:03:17.000]  他說要知道承諾只是言者無心聽者有意的說話
