
[00:00:00.000 --> 00:00:05.340]  上個禮拜的講道 講了未有律法之前的奉獻
[00:00:05.340 --> 00:00:09.100]  如果大家還記得的 我是說
[00:00:09.100 --> 00:00:11.100]  在未有律法之前
[00:00:11.100 --> 00:00:13.440]  阿伯拉罕和瓦國
[00:00:13.440 --> 00:00:16.200]  他們自願作十一奉獻
[00:00:16.200 --> 00:00:18.200]  因為他們敬畏神
[00:00:18.200 --> 00:00:20.200]  因為他們覺得 他們承認
[00:00:20.200 --> 00:00:23.600]  他們得到的好處是從神而來
[00:00:23.600 --> 00:00:26.900]  所以他們自願作十一奉獻
[00:00:28.600 --> 00:00:30.600]  他們這樣做是表達
[00:00:30.600 --> 00:00:34.400]  來去感恩和對神的敬畏
[00:00:34.400 --> 00:00:40.800]  後來 神在西乃山上頒發律法的時候
[00:00:40.800 --> 00:00:44.400]  卻是將十一奉獻寫進去律法裏面
[00:00:44.400 --> 00:00:47.400]  是規定以色列人要十一奉獻
[00:00:47.400 --> 00:00:52.400]  神為何要這樣做呢
[00:00:52.400 --> 00:00:58.400]  神這樣做是否要為難以色列人呢
[00:00:58.400 --> 00:01:03.400]  或者是要壓迫 壓榨以色列人呢
[00:01:03.400 --> 00:01:06.400]  不是
[00:01:06.400 --> 00:01:09.400]  神將十一奉獻寫在律法裏面
[00:01:09.400 --> 00:01:12.400]  規定他們要做十一奉獻
[00:01:12.400 --> 00:01:14.400]  目的是為了他們的好處
[00:01:14.400 --> 00:01:17.400]  神吩咐十一奉獻的目的
[00:01:17.400 --> 00:01:24.400]  是叫百姓能夠常常和曉得去敬畏神
[00:01:26.400 --> 00:01:33.400]  並且十一奉獻是獲得神更多福氣的途徑
[00:01:33.400 --> 00:01:42.400]  這個目的也是我們今天的信徒
[00:01:42.400 --> 00:01:44.400]  為何要十一奉獻的目的
[00:01:44.400 --> 00:01:49.400]  我和大家今天一起去學這個功課
[00:01:49.400 --> 00:01:55.400]  我們首先看看今天所選的經文
[00:01:57.400 --> 00:02:00.400]  是利未記二十七章三十節
[00:02:00.400 --> 00:02:04.400]  地上所有的
[00:02:04.400 --> 00:02:07.400]  無論是地上的種子是樹上的果子
[00:02:07.400 --> 00:02:09.400]  十分之一是耶和華的
[00:02:09.400 --> 00:02:12.400]  是歸給耶和華為聖的
[00:02:12.400 --> 00:02:14.400]  這一節聖經所說
[00:02:14.400 --> 00:02:20.400]  所有農產品的收成的十分之一是屬於神的
[00:02:20.400 --> 00:02:22.400]  留意是屬於神的
[00:02:22.400 --> 00:02:27.400]  所以才要將這十分之一歸耶和華為聖
[00:02:27.400 --> 00:02:29.400]  將它分別為聖歸給神
[00:02:29.400 --> 00:02:31.400]  是屬於祂的
[00:02:31.400 --> 00:02:34.400]  所以馬拉基書說
[00:02:34.400 --> 00:02:39.400]  誰不捨得奉獻就是偷耶和華的十分之一
[00:02:39.400 --> 00:02:41.400]  因為是屬於祂的
[00:02:41.400 --> 00:02:43.400]  不是我們好心給祂十分之一
[00:02:47.400 --> 00:02:54.400]  三十一節 人若要贖這十分之一的神魔物
[00:02:54.400 --> 00:02:57.400]  就要加上五分之一
[00:02:57.400 --> 00:03:04.400]  那就是說如果想換另外一種農產品
[00:03:04.400 --> 00:03:08.400]  即是將原本要奉獻的某一種農產品
[00:03:08.400 --> 00:03:13.400]  我想拿回 我想要 我換第二種下去
[00:03:13.400 --> 00:03:20.400]  可以換 不過要加多兩倍價值的那種另外的農產品
[00:03:20.400 --> 00:03:30.400]  三十二節 凡牛群羊群中一切從象下經過的
[00:03:30.400 --> 00:03:35.400]  每第十隻要歸給耶和華為聖
[00:03:35.400 --> 00:03:44.400]  那就是說農產品十分之一 牛羊的增產也是要奉獻十分之一
[00:03:44.400 --> 00:03:48.400]  我們再讀三十三節
[00:03:48.400 --> 00:03:55.400]  利美記二十七章第三十三節
[00:03:55.400 --> 00:03:59.400]  不可問是好是壞 也不可更換
[00:03:59.400 --> 00:04:07.400]  若定要更換 所更換的與本來的生畜都要成為聖 不可贖回
[00:04:07.400 --> 00:04:12.400]  大家讀完這一節聖經的時候
[00:04:12.400 --> 00:04:16.400]  你有什麼感想 你會有什麼問題
[00:04:16.400 --> 00:04:23.400]  農產品你可以贖回 給多兩倍
[00:04:23.400 --> 00:04:29.400]  牛羊是不可贖回的 但可以更換
[00:04:29.400 --> 00:04:33.400]  你會想很奇怪 即是多給一隻
[00:04:33.400 --> 00:04:35.400]  是呀 多給一隻
[00:04:35.400 --> 00:04:39.400]  那你會說 怎會有人這麼笨呢
[00:04:39.400 --> 00:04:48.400]  等於現在我預備拿一張一百元紙放入奉獻箱
[00:04:48.400 --> 00:04:53.400]  臨放入的時候 咦 會崩了一隻角
[00:04:53.400 --> 00:04:57.400]  那我怎麼辦呢 不行
[00:04:57.400 --> 00:05:04.400]  照樣給一張 不過多給一張直版的 無缺限缺的 新蓄蓄的 多放一張
[00:05:04.400 --> 00:05:06.400]  有沒有人這麼笨呢
[00:05:06.400 --> 00:05:14.400]  我相信不會有人所謂這麼笨
[00:05:14.400 --> 00:05:21.400]  其實這樣不是笨 是什麼 是敬畏
[00:05:21.400 --> 00:05:24.400]  我們再看看
[00:05:24.400 --> 00:05:30.400]  在當時為什麼要有這個法例呢
[00:05:30.400 --> 00:05:32.400]  真的有人這樣做的
