
[00:00:00.000 --> 00:00:03.360]  請大家再低頭祈禱
[00:00:03.360 --> 00:00:06.360]  天父我們將這個時間恭敬交託
[00:00:06.360 --> 00:00:08.600]  多謝祢給我們有守聖餐
[00:00:08.600 --> 00:00:12.840]  又給了我們一班愛的群體彼此的勉勵
[00:00:12.840 --> 00:00:14.760]  幫助我們看到
[00:00:14.760 --> 00:00:16.880]  祢是我們真正的依靠
[00:00:16.880 --> 00:00:18.720]  有叫我們不是頭腦上
[00:00:18.720 --> 00:00:22.440]  我們生命裡面真是將凡事交託給祢
[00:00:22.440 --> 00:00:25.120]  以致我們能夠得著祢的祝福
[00:00:25.120 --> 00:00:26.080]  我們這樣的祈禱
[00:00:26.080 --> 00:00:28.080]  奉主耶穌基督的名
[00:00:28.080 --> 00:00:29.720]  阿們
[00:00:29.720 --> 00:00:31.080]  今天是父親節
[00:00:31.080 --> 00:00:35.360]  首先祝賀各位的父親
[00:00:35.360 --> 00:00:36.880]  父親節快樂
[00:00:36.880 --> 00:00:39.480]  主要是蒙恩
[00:00:39.480 --> 00:00:41.640]  我也是一個父親
[00:00:41.640 --> 00:00:44.160]  我有兩個女兒
[00:00:44.160 --> 00:00:46.920]  最近我的女兒
[00:00:46.920 --> 00:00:48.600]  近日也是父親節
[00:00:48.600 --> 00:00:51.080]  所以她是一個小學的老師
[00:00:51.080 --> 00:00:53.840]  在一個基督教小學裡工作
[00:00:53.840 --> 00:00:57.920]  她有一個聚會
[00:00:57.920 --> 00:01:00.360]  說一下我
[00:01:00.360 --> 00:01:05.080]  所以我看到她也和我分享一下
[00:01:05.080 --> 00:01:07.080]  我將兩幅照片和大家分享
[00:01:07.080 --> 00:01:10.120]  這幅是誰來的?
[00:01:10.120 --> 00:01:13.200]  這位我也認不出來
[00:01:13.200 --> 00:01:14.680]  很小的時候
[00:01:14.680 --> 00:01:17.600]  我女兒叫Hannah
[00:01:17.600 --> 00:01:19.400]  很有趣
[00:01:19.400 --> 00:01:21.760]  很多年來
[00:01:21.760 --> 00:01:23.600]  幫她成長
[00:01:23.600 --> 00:01:25.320]  我也在這裡成長
[00:01:25.320 --> 00:01:29.280]  轉眼間她已經成為了別人的妻子
[00:01:29.280 --> 00:01:32.400]  開始懂得照顧爸爸
[00:01:32.400 --> 00:01:35.800]  有一次我看另一幅照片
[00:01:35.800 --> 00:01:38.560]  這幅照片是她牽著我
[00:01:38.560 --> 00:01:41.000]  為什麼會有這幅照片呢?
[00:01:41.000 --> 00:01:42.760]  原因是我們教會裡
[00:01:42.760 --> 00:01:43.640]  有些弟兄姊妹
[00:01:43.640 --> 00:01:44.440]  有些任義人
[00:01:44.440 --> 00:01:45.240]  我很記得
[00:01:45.240 --> 00:01:47.080]  走的時候我走
[00:01:47.080 --> 00:01:48.920]  我女兒在後面
[00:01:48.920 --> 00:01:51.360]  因為我剛剛做完腰部的手術
[00:01:51.360 --> 00:01:54.160]  她急急忙忙扶著爸爸過馬路
[00:01:54.160 --> 00:01:56.480]  有一位姊妹是她的好朋友
[00:01:56.480 --> 00:01:57.360]  她看到這幅照片
[00:01:57.360 --> 00:01:58.720]  挺有意思的
[00:01:58.720 --> 00:02:01.440]  就拍了出來給我女兒
[00:02:01.440 --> 00:02:03.120]  後來我女兒和我分享
[00:02:03.120 --> 00:02:07.840]  這些情景都很值得我懷念
