
[00:00:00.000 --> 00:00:03.000]  佛陀師父讓我們先聽神的道義 讓我們先同心同告
[00:00:03.000 --> 00:00:06.000]  我們聽到之前先同心同道
[00:00:06.000 --> 00:00:11.000]  佛陀多謝你 讓我們能夠再次打開你的說話
[00:00:11.000 --> 00:00:15.000]  佛陀求你讓我們再次直著你的教導
[00:00:15.000 --> 00:00:17.000]  讓我們去明白 認識你更多
[00:00:17.000 --> 00:00:20.000]  讓我們學會活在這個地上
[00:00:20.000 --> 00:00:26.000]  不要再一個畏首畏尾的基督徒 軟弱無力在這個世界裏
[00:00:26.000 --> 00:00:32.000]  變得基督教 基督的信仰 變得是毫無意義
[00:00:32.000 --> 00:00:34.000]  恩主求你幫助我們
[00:00:34.000 --> 00:00:37.000]  因為我們今天實在是需要更新起神明
[00:00:37.000 --> 00:00:39.000]  求你讓我們同在
[00:00:39.000 --> 00:00:40.000]  我們親愛的父神感謝你
[00:00:40.000 --> 00:00:43.000]  讓我們再次能夠打開你的話語
[00:00:43.000 --> 00:00:48.000]  使我們曉得怎麼樣來到活在這個地上
[00:00:48.000 --> 00:00:50.000]  透過我們對你的認識
[00:00:50.000 --> 00:00:55.000]  也使到我們怎樣能夠活出一個有力量的基督徒
[00:00:55.000 --> 00:00:59.000]  免得我們變成一個畏首畏尾的一個基督徒
[00:00:59.000 --> 00:01:03.000]  變得軟弱無力 活在這個地上
[00:01:03.000 --> 00:01:06.000]  使得我們所相信的基督的教訓
[00:01:06.000 --> 00:01:08.000]  變得毫無意義
[00:01:08.000 --> 00:01:14.000]  在這個世界也失去原本你為我們寫記教會的本來的意思
[00:01:14.000 --> 00:01:17.000]  我們再去把我們生命教養
[00:01:17.000 --> 00:01:18.000]  透過你的話語
[00:01:18.000 --> 00:01:22.000]  使得我們有更有機會來到成為一個好的基督徒
[00:01:22.000 --> 00:01:25.000]  信你所看為好的
[00:01:25.000 --> 00:01:26.000]  我們禱告
[00:01:26.000 --> 00:01:27.000]  奉主耶穌的名求
[00:01:27.000 --> 00:01:28.000]  Amen
[00:01:28.000 --> 00:01:32.000]  在基督教裡面
[00:01:32.000 --> 00:01:35.000]  有一段時間叫改革的時間
[00:01:35.000 --> 00:01:37.000]  在基督教有一個時間叫改革時期
[00:01:37.000 --> 00:01:38.000]  有沒有聽過
[00:01:38.000 --> 00:01:39.000]  有沒有聽說過
[00:01:39.000 --> 00:01:40.000]  宗教改革
[00:01:40.000 --> 00:01:41.000]  宗教改革
[00:01:41.000 --> 00:01:42.000]  改革什麼呢
