
[00:00:00.000 --> 00:00:03.760]  今天回來崇拜 大家有什麼準備呢?
[00:00:03.760 --> 00:00:07.720]  當一天開始的時候 你會怎樣去準備?
[00:00:07.720 --> 00:00:12.240]  你當然會去梳洗 找衣服
[00:00:12.240 --> 00:00:14.760]  如果你去一個重要的約會
[00:00:14.760 --> 00:00:17.760]  可能你預備一套特別的衣服
[00:00:17.760 --> 00:00:23.240]  那你要有足夠的時間 有足夠的空間去準備
[00:00:23.240 --> 00:00:25.840]  天國好像什麼呢?
[00:00:25.840 --> 00:00:29.600]  好像是五個聰明的童女
[00:00:29.600 --> 00:00:33.400]  她早就準備好了
[00:00:33.400 --> 00:00:35.280]  伯克斯坦地的婚禮是怎樣的呢?
[00:00:35.280 --> 00:00:39.160]  一般是要預一個星期
[00:00:39.160 --> 00:00:43.600]  去迎接新郎 又不知道新郎什麼時候來
[00:00:43.600 --> 00:00:45.840]  迎接新郎的過程
[00:00:45.840 --> 00:00:49.760]  一般新娘就會找她一些伴娘
[00:00:49.760 --> 00:00:56.000]  這裡說十個的童女
[00:00:56.000 --> 00:01:03.080]  大家結婚的時候 新娘找多少個伴娘呢?
[00:01:03.080 --> 00:01:05.560]  現在很大陣仗
[00:01:05.560 --> 00:01:08.000]  一套制服 很漂亮的
[00:01:08.000 --> 00:01:10.680]  每個人都穿一色衣服
[00:01:10.680 --> 00:01:13.800]  就有一個很好的準備
[00:01:13.800 --> 00:01:16.400]  我那個年代結婚就沒有這回事
[00:01:16.400 --> 00:01:20.360]  我那個年代是伴郎伴郎 兩都沒有
[00:01:20.360 --> 00:01:24.560]  那時候剛剛讀完神學 不要這麼大陣仗了
[00:01:24.560 --> 00:01:28.520]  一切是輕鬆自然投入
[00:01:28.520 --> 00:01:32.920]  總之在一個婚禮裡面簡單而隆重
[00:01:32.920 --> 00:01:35.480]  但是今天的婚禮不一樣
[00:01:35.480 --> 00:01:38.760]  四天的婚禮就說十個童女
[00:01:38.760 --> 00:01:43.160]  十個童女裡面有五個是聰明
[00:01:43.160 --> 00:01:45.600]  有五個是愚蠢
[00:01:45.600 --> 00:01:48.760]  在這裡說什麼是聰明呢?
[00:01:48.760 --> 00:01:53.280]  聰明就是說有預備那五個
[00:01:53.280 --> 00:01:56.640]  弟子們我們在世上 人生在世
[00:01:56.640 --> 00:01:59.400]  我們準備些什麼呢?
[00:01:59.400 --> 00:02:01.920]  我們是不是準備去死呢?
[00:02:01.920 --> 00:02:03.800]  當然不是
[00:02:03.800 --> 00:02:05.600]  原來我們信了耶穌之後
[00:02:05.600 --> 00:02:10.440]  我們就很清楚的知道一回事
[00:02:10.440 --> 00:02:13.600]  天國是滿有喜樂和滿足的
[00:02:13.600 --> 00:02:17.560]  如果你看第25章的時候
[00:02:17.560 --> 00:02:19.640]  一節到第十三節
[00:02:19.640 --> 00:02:26.560]  你可以進來享受那份和新郎的喜樂和滿足
[00:02:26.560 --> 00:02:29.320]  然後我們看這個比喻之後
[00:02:29.320 --> 00:02:34.640]  再去看在第十四節 第十四節之後
[00:02:34.640 --> 00:02:38.040]  那個案材授銀的比喻的時候
[00:02:38.040 --> 00:02:40.440]  我已經說過這個比喻
[00:02:40.440 --> 00:02:43.400]  說的全部都是要去享受
[00:02:43.400 --> 00:02:46.720]  和主人在一起的那種快樂
[00:02:46.720 --> 00:02:48.160]  原來我們弟子們
[00:02:48.160 --> 00:02:50.520]  我們一定要明白 我們知道我們做了基督徒
[00:02:50.520 --> 00:02:53.440]  原來生命就不再一樣
[00:02:53.440 --> 00:02:56.200]  天國人間系列是什麼意思呢?
[00:02:56.200 --> 00:02:59.840]  我們信了耶穌 知道救恩
[00:02:59.840 --> 00:03:02.080]  我們知道會在天堂的日子
[00:03:02.080 --> 00:03:05.280]  天堂的日子會是一個大喜樂的日子
[00:03:05.280 --> 00:03:08.560]  但是你在地上 未到天堂那一刻
[00:03:08.560 --> 00:03:10.360]  我們已經要去學習
[00:03:10.360 --> 00:03:15.600]  怎麼樣有一個喜樂的地上生活
[00:03:15.600 --> 00:03:23.720]  這裡就在說五個聰明的童女
[00:03:23.720 --> 00:03:26.040]  她進入天國之前
[00:03:26.040 --> 00:03:29.600]  比喻是人要去進入一個永恆
[00:03:29.600 --> 00:03:33.840]  所要做的一切的準備
[00:03:33.840 --> 00:03:37.680]  弟子們我們看比喻 我們就不應該看細節
[00:03:37.680 --> 00:03:41.560]  我們要看重點和看它的主題
[00:03:41.560 --> 00:03:43.120]  在這個重點裡面
[00:03:43.120 --> 00:03:45.520]  就是說五個聰明的才女
[00:03:45.520 --> 00:03:49.840]  她們怎樣準備好
[00:03:49.840 --> 00:03:52.040]  為什麼我今天經常這麼吵
[00:03:52.040 --> 00:03:55.320]  五個聰明的童女
[00:03:55.320 --> 00:03:57.760]  怎麼樣去做一個準備
[00:03:57.760 --> 00:04:01.920]  我早前沒有這個錯
[00:04:01.920 --> 00:04:04.000]  我想一下 還是有些原因
[00:04:04.000 --> 00:04:12.840]  我一會兒再去分析一下
[00:04:12.840 --> 00:04:14.520]  五個聰明 五個愚蠢
[00:04:14.520 --> 00:04:17.600]  成為一個很強烈的對比
[00:04:17.600 --> 00:04:19.760]  原來在我們的生命裡面
[00:04:19.760 --> 00:04:21.240]  因典的奇妙
[00:04:21.240 --> 00:04:23.200]  我們說Amazing Grace
