
[00:00:00.000 --> 00:00:02.000]  頂尖網友平安
[00:00:02.000 --> 00:00:06.000]  可以在實體當中跟大家分享訊息
[00:00:06.000 --> 00:00:07.000]  真的很感恩
[00:00:07.000 --> 00:00:11.000]  今天會講《雅歌》五章二至六章十三節
[00:00:11.000 --> 00:00:13.000]  經文好像很多
[00:00:13.000 --> 00:00:14.000]  講到《雅歌》
[00:00:14.000 --> 00:00:16.000]  可能大家會覺得
[00:00:16.000 --> 00:00:19.000]  其實很少去查經查到《雅歌》
[00:00:19.000 --> 00:00:21.000]  因為內容上都是講到
[00:00:21.000 --> 00:00:26.000]  所羅門和書邁的良人
[00:00:26.000 --> 00:00:28.000]  和佳偶的感情故事
[00:00:28.000 --> 00:00:30.000]  究竟讀經時怎樣應用呢
[00:00:30.000 --> 00:00:32.000]  發覺都好似好困難
[00:00:32.000 --> 00:00:36.000]  相對會比較少去看這些卷書
[00:00:36.000 --> 00:00:40.000]  但我又好想從經文當中
[00:00:40.000 --> 00:00:42.000]  看到有很多熟悉的教導
[00:00:42.000 --> 00:00:45.000]  或者在人與人之間的相處上
[00:00:45.000 --> 00:00:47.000]  都給我們很多提醒
[00:00:47.000 --> 00:00:50.000]  好想分享這些書卷
[00:00:50.000 --> 00:00:53.000]  有少少簡介關於《雅歌》
[00:00:53.000 --> 00:00:57.000]  《雅歌》傳統標題都會寫
[00:00:57.000 --> 00:00:59.000]  所羅門歌中之歌
[00:00:59.000 --> 00:01:01.000]  這首歌的意思是
[00:01:01.000 --> 00:01:06.000]  由以色列希伯來人所羅門
[00:01:06.000 --> 00:01:08.000]  這位皇帝所寫的
[00:01:08.000 --> 00:01:11.000]  這首歌是為所羅門而寫的
[00:01:11.000 --> 00:01:14.000]  一首最偉大的詩歌
[00:01:14.000 --> 00:01:15.000]  歌中之歌
[00:01:15.000 --> 00:01:17.000]  既然歌中之歌這麼偉大
[00:01:17.000 --> 00:01:20.000]  我相信我們在信道
[00:01:20.000 --> 00:01:23.000]  必須要讀一讀這卷書
[00:01:23.000 --> 00:01:27.000]  了解一下他發掘當中的寶藏
[00:01:27.000 --> 00:01:29.000]  另外第二就是
[00:01:29.000 --> 00:01:32.000]  有人說其實是否所羅門所寫的呢
[00:01:32.000 --> 00:01:34.000]  因為整首詩歌當中
[00:01:34.000 --> 00:01:36.000]  都沒有提及是他自己所寫的
[00:01:36.000 --> 00:01:39.000]  可能只不過是為所羅門而寫
[00:01:39.000 --> 00:01:40.000]  但無論如何
[00:01:40.000 --> 00:01:43.000]  作者是否所羅門所寫都不要緊
[00:01:43.000 --> 00:01:45.000]  但我們相信當中
[00:01:45.000 --> 00:01:49.000]  這個故事並非一個虛構出來的寓意故事
[00:01:49.000 --> 00:01:51.000]  甚麼是寓意呢
[00:01:51.000 --> 00:01:53.000]  我們知道浪子的比喻
[00:01:53.000 --> 00:01:54.000]  撒種的比喻
[00:01:54.000 --> 00:01:56.000]  說到寓意 說到比喻
[00:01:56.000 --> 00:01:58.000]  裏面的故事人物
[00:01:58.000 --> 00:02:00.000]  都是一些假設對象
[00:02:00.000 --> 00:02:03.000]  說到大兒子 說到父親 說到小兒子
[00:02:03.000 --> 00:02:05.000]  他們沒有名字
[00:02:05.000 --> 00:02:06.000]  因為名字都不重要
[00:02:06.000 --> 00:02:08.000]  因為根本就是一個比喻
[00:02:08.000 --> 00:02:09.000]  是一個虛構出來的
[00:02:09.000 --> 00:02:11.000]  不過虛構的故事或寓意
[00:02:11.000 --> 00:02:13.000]  是帶出一個很重要的屬靈教導
[00:02:13.000 --> 00:02:17.000]  但我們知道阿哥裏面有很真實的名字
[00:02:17.000 --> 00:02:20.000]  裏面提到一些歷史的人物
[00:02:20.000 --> 00:02:22.000]  所羅門是歷史人物
[00:02:22.000 --> 00:02:24.000]  裏面又提到薩蘭
[00:02:24.000 --> 00:02:25.000]  提到德薩
[00:02:25.000 --> 00:02:26.000]  提到黑門山
[00:02:26.000 --> 00:02:27.000]  提到隱姬底
[00:02:27.000 --> 00:02:29.000]  這些都是著名的
[00:02:29.000 --> 00:02:31.000]  聖經裏面的一些歷史
[00:02:31.000 --> 00:02:32.000]  一些地點
[00:02:32.000 --> 00:02:34.000]  所以裏面不是一個虛構的故事
[00:02:34.000 --> 00:02:36.000]  我們要知道是一個真實的故事
[00:02:36.000 --> 00:02:38.000]  是真真實實地描寫
[00:02:38.000 --> 00:02:41.000]  所羅門和他所愛的
[00:02:41.000 --> 00:02:43.000]  一個女子的愛情故事
[00:02:43.000 --> 00:02:45.000]  與此同時我們相信
[00:02:45.000 --> 00:02:49.000]  這本書其實並非單單說一個情情踏踏
