
[00:00:00.000 --> 00:00:01.800]  在過去的春節裏面
[00:00:01.800 --> 00:00:03.160]  特別是在春節期間
[00:00:03.160 --> 00:00:05.560]  我們都交換了不少祝福的說話
[00:00:05.560 --> 00:00:07.920]  我們都交換了不少祝福的話語
[00:00:07.920 --> 00:00:09.040]  過去兩個星期
[00:00:09.040 --> 00:00:11.960]  張傳道跟我們講的都是有關這個訊息
[00:00:11.960 --> 00:00:13.320]  都是有關這個福的
[00:00:13.320 --> 00:00:14.360]  在過去兩週
[00:00:14.360 --> 00:00:19.800]  張傳道都已經跟我們講了很多祝福的話語
[00:00:19.800 --> 00:00:20.600]  信息
[00:00:20.600 --> 00:00:22.800]  今天我就挑選了一個題目
[00:00:22.800 --> 00:00:24.480]  都是跟福有關的
[00:00:24.480 --> 00:00:26.880]  今天挑選的題目也是跟福氣有關的
[00:00:26.880 --> 00:00:28.920]  希望通過剛才所讀的經文
[00:00:28.920 --> 00:00:31.040]  你來看看天降真福
[00:00:31.040 --> 00:00:32.880]  那麼通過剛才讀的經文
[00:00:32.880 --> 00:00:35.040]  要看一看天降真福
[00:00:35.040 --> 00:00:36.120]  你可能會問
[00:00:36.120 --> 00:00:37.840]  福都是真假的嗎?
[00:00:37.840 --> 00:00:39.040]  那麼你可能會問
[00:00:39.040 --> 00:00:40.560]  福氣是有真假嗎?
[00:00:40.560 --> 00:00:42.280]  當然了
[00:00:42.280 --> 00:00:45.960]  聖經所講的福是超越我們地上的福
[00:00:45.960 --> 00:00:48.520]  聖經所講的福是超越地上的福
[00:00:48.520 --> 00:00:52.440]  聖經所講的福是真正值得我們去追求的福
[00:00:52.440 --> 00:00:55.760]  聖經所講的福是真正的我們值得追求的福
[00:00:55.760 --> 00:01:00.040]  今天我想跟大家探討這個真福的三個特質
[00:01:00.040 --> 00:01:04.360]  那麼今天就和大家一起探討這個真福的三個特質
[00:01:04.360 --> 00:01:06.760]  第一個特質我叫它做
[00:01:06.760 --> 00:01:09.600]  不是死後乃是今天
[00:01:09.600 --> 00:01:13.000]  第一個特質就是不是死後乃是今天
[00:01:13.000 --> 00:01:15.240]  剛才我們所讀的經文一到五節
[00:01:15.240 --> 00:01:17.480]  剛才我們所讀的經文一到五節
[00:01:17.480 --> 00:01:19.320]  保羅就告訴我們
[00:01:19.320 --> 00:01:22.560]  我們從前是死在罪惡過犯當中
[00:01:22.560 --> 00:01:26.480]  保羅就告訴我們我們從前是死在罪惡過犯當中
[00:01:26.480 --> 00:01:28.880]  但是由於神有恩典和憐憫
[00:01:28.880 --> 00:01:31.040]  但是由於神有恩典和憐憫
[00:01:31.040 --> 00:01:34.080]  所以當我們真心相信主耶穌的時候
[00:01:34.080 --> 00:01:36.520]  所以當我們真心相信主耶穌的時候
[00:01:36.520 --> 00:01:40.600]  那麼神就叫我們和基督一同活過來
[00:01:40.600 --> 00:01:43.400]  神就叫我們和基督一同活過來
[00:01:43.400 --> 00:01:45.280]  這個觀念都不容易明白
[00:01:45.280 --> 00:01:46.760]  這個觀念都不容易明白
[00:01:46.760 --> 00:01:49.040]  大家都坐在這裡
[00:01:49.040 --> 00:01:50.720]  大家都坐在這裡
[00:01:50.720 --> 00:01:54.080]  所以很明顯這裡所講的死
[00:01:54.080 --> 00:01:56.680]  或者我們和主耶穌一同活過來
[00:01:56.680 --> 00:01:58.880]  不是指我肉身的生與死
[00:01:58.880 --> 00:02:01.960]  所以很明顯這裡講的死和生
[00:02:01.960 --> 00:02:06.760]  不是我們一般理解的物體上的死或者是生
[00:02:06.760 --> 00:02:10.480]  而是我們在講靈性上的活過來
[00:02:10.480 --> 00:02:13.120]  是指我們在靈性上的活過來
[00:02:13.120 --> 00:02:14.880]  我們可能就會問了
[00:02:14.880 --> 00:02:16.480]  那麼大家可能會問了
[00:02:16.480 --> 00:02:18.680]  我們既然以前是靈性上的死了
[00:02:18.680 --> 00:02:20.080]  今天又活過來
[00:02:20.080 --> 00:02:22.200]  那麼我們以前靈性死過去
[00:02:22.200 --> 00:02:23.280]  現在又活過來
[00:02:23.280 --> 00:02:25.160]  究竟我們什麼時候開始活過來的呢?
[00:02:25.160 --> 00:02:29.800]  那麼究竟我們什麼時候是活過來的呢?
[00:02:29.800 --> 00:02:31.520]  不如我們看看肉身的生命
[00:02:31.520 --> 00:02:33.400]  不如我們先看一下肉身的生命
[00:02:33.400 --> 00:02:34.080]  我問大家
[00:02:34.080 --> 00:02:36.640]  你覺得肉身的生命是什麼時候開始的?
[00:02:36.640 --> 00:02:40.600]  那麼大家知道肉身的生命是什麼時候開始的呢?
[00:02:40.600 --> 00:02:43.200]  是不是一個精子和一個卵子結合的時候就開始了?
[00:02:43.200 --> 00:02:46.280]  是不是一個精子和卵子結合的時候就開始了?
[00:02:46.280 --> 00:02:50.480]  還是胎盤開始成形的時候生命就開始了?
[00:02:50.480 --> 00:02:54.880]  還是因為胎盤成人的時候生命就開始了?
[00:02:54.880 --> 00:02:59.760]  又或者是一個媽媽感受到胎盤的肚子踢一腳的時候才開始?
[00:02:59.760 --> 00:03:03.680]  還是這個媽媽感受到胎兒在肚子裡踢她的時候就開始了?
[00:03:03.680 --> 00:03:06.600]  又或者是真的當嬰兒出生的時候才開始呢?
[00:03:06.600 --> 00:03:09.200]  還是當嬰兒出生的時候才開始呢?
[00:03:09.200 --> 00:03:11.160]  我們問不同的人可能有不同的答案
[00:03:11.160 --> 00:03:14.480]  我們如果要問不同的人可能會有不同的答案
[00:03:14.480 --> 00:03:17.880]  大家看到我們肉眼看得到的生命
[00:03:17.880 --> 00:03:21.560]  其實我們都很難去決定究竟生命從哪一刻開始
[00:03:21.560 --> 00:03:24.400]  所以大家看這個肉體的生命
