
[00:00:00.000 --> 00:00:01.480]  各位記者朋友我們平安
[00:00:01.480 --> 00:00:05.800]  今天就好像五書教師所說
[00:00:05.800 --> 00:00:07.600]  港題就是「向死而生」
[00:00:07.600 --> 00:00:10.520]  顧名思義我會說「死」也會說「生」
[00:00:10.520 --> 00:00:12.560]  在全球知名的大學
[00:00:12.560 --> 00:00:15.360]  包括哈佛、耶魯這些大學裏面
[00:00:15.360 --> 00:00:19.600]  是有三門公開的哲學課是最受歡迎的
[00:00:19.600 --> 00:00:23.280]  不知道大家聽下去會不會很關注這幾個問題
[00:00:23.280 --> 00:00:28.000]  當中則包括了快樂、正義和生死
[00:00:28.560 --> 00:00:30.840]  而生死之中的「死亡」
[00:00:30.840 --> 00:00:33.560]  肯定是很多人都會關心的事
[00:00:33.560 --> 00:00:35.960]  除了因為現在我們每一天
[00:00:35.960 --> 00:00:38.480]  一扭開電視機看新聞的時候
[00:00:38.480 --> 00:00:41.960]  新聞報道就在報導全球疫情
[00:00:41.960 --> 00:00:44.160]  有多少人死了之外
[00:00:44.160 --> 00:00:47.240]  我們這麼關心死亡
[00:00:47.240 --> 00:00:51.240]  是因為我們知道我們人人都總會一死
[00:00:51.240 --> 00:00:52.720]  而因為這樣
[00:00:52.720 --> 00:00:56.760]  有些人就會關心人死了之後
[00:00:56.760 --> 00:00:58.080]  會有甚麼事發生
[00:00:58.560 --> 00:01:01.240]  人的靈魂究竟又會去到甚麼地方
[00:01:01.240 --> 00:01:05.160]  初期教會的信徒都有著相同的疑問
[00:01:05.160 --> 00:01:08.200]  而就算信仰根基是多麼不錯的
[00:01:08.200 --> 00:01:10.480]  鐵薩羅尼加教會的那些信徒
[00:01:10.480 --> 00:01:11.880]  其實它們都一樣
[00:01:11.880 --> 00:01:14.560]  所以保羅就在他的書信裏面
[00:01:14.560 --> 00:01:18.400]  特地為他們上了一堂生死教育課
[00:01:18.400 --> 00:01:21.640]  我們今天就會藉著鐵薩羅尼加前書
[00:01:21.640 --> 00:01:22.960]  去看看保羅怎樣說
