
[00:00:00.000 --> 00:00:04.760]  曾經有一個記者訪問一個100歲高齡的人士
[00:00:04.760 --> 00:00:08.760]  曾經有一個記者訪問一個100歲高齡的獸星
[00:00:08.760 --> 00:00:11.760]  他說在你整個人生裏面你最自豪的是甚麼呢?
[00:00:11.760 --> 00:00:14.760]  他說在你整個人生中最自豪的是甚麼呢?
[00:00:14.760 --> 00:00:18.760]  這個男子就說我在這個世界裏面沒有敵人
[00:00:18.760 --> 00:00:21.260]  這位獸星就驕傲地回答說
[00:00:21.260 --> 00:00:23.260]  在這個世界上我沒有敵人
[00:00:23.260 --> 00:00:25.760]  這個記者說為甚麼你可以這麼厲害呢?
[00:00:25.760 --> 00:00:28.260]  那個記者就說為甚麼你這麼厲害呢?
[00:00:28.260 --> 00:00:29.260]  這個男人就說
[00:00:29.260 --> 00:00:33.260]  那個獸星說因為我長命過其他的人
[00:00:33.260 --> 00:00:35.260]  因為我比其他人都長命
[00:00:35.260 --> 00:00:37.260]  這是一個笑話不過在現實上
[00:00:37.260 --> 00:00:39.260]  這是一個笑話但現實上
[00:00:39.260 --> 00:00:43.260]  我們很難期望每一個我們所認識的人都喜歡我們
[00:00:43.260 --> 00:00:46.260]  我們很難期望每一個認識我們的人都喜歡我們
[00:00:46.260 --> 00:00:48.260]  肯定有些人不喜歡我們
[00:00:48.260 --> 00:00:49.260]  肯定有人不歡喜我們
[00:00:49.260 --> 00:00:52.260]  甚至有些人會仇恨我們是我們的敵人
[00:00:52.260 --> 00:00:55.260]  甚至有些人會仇恨我們是我們的敵人
[00:00:55.260 --> 00:01:01.260]  不過就算我們有沒有看不見或者仍在生的敵人
[00:01:01.260 --> 00:01:05.260]  雖然我們有一些看不見的或者還在生的敵人
[00:01:05.260 --> 00:01:08.260]  聖經告訴我們作為基督徒
[00:01:08.260 --> 00:01:10.260]  聖經告訴我們基督徒
[00:01:10.260 --> 00:01:13.260]  我們一定有一些看不到的敵人
[00:01:13.260 --> 00:01:15.260]  我們一定會有一些看不到的敵人
[00:01:15.260 --> 00:01:19.260]  聖經告訴我們這個看不見的敵人就是撒旦
[00:01:19.260 --> 00:01:22.260]  聖經告訴我們這位看不見的敵人就是撒旦
[00:01:22.260 --> 00:01:24.260]  講到撒旦魔鬼
[00:01:24.260 --> 00:01:28.260]  我想問大家這句說話大家認不認同
[00:01:28.260 --> 00:01:31.260]  我想問大家下面那個說話大家認不認同
[00:01:31.260 --> 00:01:36.260]  撒旦不是有生命的活脈而是邪惡的象徵
