
[00:00:00.000 --> 00:00:05.000]  第一個禮拜,我都要分享我們今天教會的主題
[00:00:05.000 --> 00:00:09.000]  今天教會什麼主題呀?
[00:00:09.000 --> 00:00:14.000]  長大成人,滿有基督長成的生量
[00:00:14.000 --> 00:00:18.000]  那麼這是從以夫所書第四章它出來的
[00:00:18.000 --> 00:00:21.000]  這裡講的生量或者是生命
[00:00:21.000 --> 00:00:24.000]  它指的是屬靈的生命
[00:00:24.000 --> 00:00:26.000]  或者說我們的靈命
[00:00:26.000 --> 00:00:29.000]  或者說我們的生命
[00:00:29.000 --> 00:00:32.000]  各位請注意就是說
[00:00:32.000 --> 00:00:35.000]  年長的人不一定靈命高
[00:00:35.000 --> 00:00:39.000]  年輕的也不一定靈命低
[00:00:39.000 --> 00:00:43.000]  甚至於信主久的也不一定靈命高
[00:00:43.000 --> 00:00:48.000]  信主淺的也不一定靈命低
[00:00:48.000 --> 00:00:53.000]  那麼靈命到底低到什麼程度叫低呢?
[00:00:53.000 --> 00:00:56.000]  高到什麼程度叫高呢?
[00:00:56.000 --> 00:00:59.000]  聖經上面講的很有意思
[00:00:59.000 --> 00:01:04.000]  它是說滿有基督長成的生量
[00:01:04.000 --> 00:01:08.000]  像耶穌一樣你就夠高了,不是嗎?
[00:01:08.000 --> 00:01:09.000]  哈雷諾亞
[00:01:09.000 --> 00:01:11.000]  我要的是看我們弟兄姊妹
[00:01:11.000 --> 00:01:14.000]  有些真有基督的柔美
[00:01:14.000 --> 00:01:16.000]  感謝神,哈雷諾亞
[00:01:16.000 --> 00:01:21.000]  保羅他在以夫所書第四章他說
[00:01:21.000 --> 00:01:26.000]  直到我們眾人在真道上合二為一
[00:01:26.000 --> 00:01:29.000]  認識你的兒子得以長大成人
[00:01:29.000 --> 00:01:32.000]  滿有基督長成的生量
[00:01:32.000 --> 00:01:34.000]  哈雷諾亞
[00:01:34.000 --> 00:01:37.000]  為什麼要長呢?
[00:01:37.000 --> 00:01:39.000]  你有沒有想過
[00:01:39.000 --> 00:01:41.000]  為什麼我們要長大成人呢?
[00:01:41.000 --> 00:01:44.000]  永遠是一個長不大的小baby
[00:01:44.000 --> 00:01:46.000]  不是很好嗎?
[00:01:46.000 --> 00:01:48.000]  耶穌不是說
[00:01:48.000 --> 00:01:50.000]  讓小孩來我這裡
[00:01:50.000 --> 00:01:53.000]  耶穌不是說你們要回轉向孩子
[00:01:53.000 --> 00:01:56.000]  不然你們斷不得進天國嗎?
