
[00:00:00.000 --> 00:00:05.000]  在我們再次來到去聆聽上主的話語之前
[00:00:05.000 --> 00:00:07.000]  我們同心祈禱
[00:00:07.000 --> 00:00:15.000]  願僕人口中的言語
[00:00:15.000 --> 00:00:18.000]  領姊妹的心思意念
[00:00:18.000 --> 00:00:20.000]  夢聖靈的啟迪
[00:00:20.000 --> 00:00:21.000]  夢主的月立
[00:00:21.000 --> 00:00:24.000]  禱告藉主耶穌基督的聖名而求
[00:00:24.000 --> 00:00:26.000]  誠心所願
[00:00:28.000 --> 00:00:31.000]  我幾乎可以肯定
[00:00:31.000 --> 00:00:33.000]  每一個基督徒
[00:00:33.000 --> 00:00:35.000]  都試過祈禱
[00:00:35.000 --> 00:00:39.000]  無論是由其他人帶領你
[00:00:39.000 --> 00:00:41.000]  祈禱就好像剛才一樣
[00:00:41.000 --> 00:00:45.000]  或者是你自己個人的思禱
[00:00:45.000 --> 00:00:48.000]  你一定會試過祈禱
[00:00:48.000 --> 00:00:51.000]  但試過祈禱和
[00:00:51.000 --> 00:00:53.000]  是否知道怎樣去祈禱
[00:00:53.000 --> 00:00:55.000]  其實一定有分別
[00:00:55.000 --> 00:00:58.000]  大家還記不記得你第一次
[00:00:58.000 --> 00:01:01.000]  嘗試開聲去祈禱
[00:01:01.000 --> 00:01:03.000]  在什麼情況下
[00:01:03.000 --> 00:01:06.000]  祈禱的內容是什麼
[00:01:06.000 --> 00:01:08.000]  當時你有什麼感受呢
[00:01:08.000 --> 00:01:10.000]  可能你已經不記得了
[00:01:10.000 --> 00:01:11.000]  我也不記得了
[00:01:11.000 --> 00:01:15.000]  因為已經是數十年前的事了
[00:01:15.000 --> 00:01:19.000]  我記得在我少年的時候
[00:01:19.000 --> 00:01:21.000]  在教會的團體當中
[00:01:21.000 --> 00:01:22.000]  擔任職員
[00:01:22.000 --> 00:01:27.000]  作為職員就要輪流負責帶領祈禱
[00:01:27.000 --> 00:01:30.000]  第一次的祈禱內容當然不記得了
[00:01:30.000 --> 00:01:35.000]  但當時的感受是非常深刻
[00:01:35.000 --> 00:01:38.000]  因為當開口祈禱的時候
[00:01:38.000 --> 00:01:40.000]  在一群人的面前
[00:01:40.000 --> 00:01:43.000]  其實都不知道應該怎樣去祈禱
[00:01:43.000 --> 00:01:46.000]  只是感覺到心跳加速
[00:01:46.000 --> 00:01:49.000]  然後開聲
[00:01:49.000 --> 00:01:53.000]  但又不知道自己在說什麼
[00:01:53.000 --> 00:01:59.000]  當然我不算是一個沒什麼口才的人
[00:01:59.000 --> 00:02:03.000]  但要這樣去祈禱
[00:02:03.000 --> 00:02:05.000]  而且在眾人的面前
[00:02:05.000 --> 00:02:07.000]  實在突然之間發覺
[00:02:07.000 --> 00:02:10.000]  嘴巴不受自己的控制
[00:02:10.000 --> 00:02:12.000]  不知道自己說了什麼
[00:02:12.000 --> 00:02:14.000]  但當然慢慢地
[00:02:14.000 --> 00:02:16.000]  繼續嘗試
[00:02:16.000 --> 00:02:18.000]  就不會覺得困難了
[00:02:18.000 --> 00:02:21.000]  到成為了教睦同工之後
[00:02:21.000 --> 00:02:26.000]  由神學生轉變成為宣教師
[00:02:26.000 --> 00:02:28.000]  在第一天在教會當中
[00:02:28.000 --> 00:02:31.000]  我都不記得有多少次
[00:02:31.000 --> 00:02:35.000]  大家說這位就是我們教會新的宣教師
[00:02:35.000 --> 00:02:37.000]  請他帶領祈禱
[00:02:37.000 --> 00:02:39.000]  因為當時在一間比較大的堂會當中
[00:02:39.000 --> 00:02:42.000]  一天都不知道帶了多少次的祈禱
[00:02:42.000 --> 00:02:44.000]  但當然
[00:02:44.000 --> 00:02:47.000]  如果我現在叫同學走出來帶領大家祈禱
[00:02:47.000 --> 00:02:51.000]  可能他們都會醞釀一輪猜包剪鎚
[00:02:51.000 --> 00:02:54.000]  誰猜輸了就出來祈禱
[00:02:54.000 --> 00:02:55.000]  但很奇怪
[00:02:55.000 --> 00:02:57.000]  為什麼猜輸了出來祈禱
[00:02:57.000 --> 00:02:59.000]  而不是猜贏了出來祈禱呢
[00:02:59.000 --> 00:03:01.000]  因為大家都害怕
[00:03:01.000 --> 00:03:03.000]  所以最好不要找我
[00:03:03.000 --> 00:03:06.000]  又或者當我們一起來吃飯的時候
[00:03:06.000 --> 00:03:08.000]  大家當然很自然會說
[00:03:08.000 --> 00:03:10.000]  請牧師去祈禱
[00:03:10.000 --> 00:03:12.000]  因為祈完禱
[00:03:12.000 --> 00:03:14.000]  吃東西不會肚子痛
[00:03:15.000 --> 00:03:17.000]  這是一種迷思
[00:03:17.000 --> 00:03:20.000]  又或者是因為我們都很擔心
[00:03:20.000 --> 00:03:24.000]  其實怎樣的祈禱才是對的呢
[00:03:24.000 --> 00:03:27.000]  才是上帝會聽的呢
[00:03:27.000 --> 00:03:29.000]  所以最穩妥
[00:03:29.000 --> 00:03:32.000]  就是找那些教牧童工
[00:03:32.000 --> 00:03:34.000]  教牧童工不在就
[00:03:34.000 --> 00:03:39.000]  執事、神學生、教會一些領袖
[00:03:39.000 --> 00:03:40.000]  等等一直下去
[00:03:40.000 --> 00:03:43.000]  去到最後無可奈何
[00:03:43.000 --> 00:03:44.000]  無可奈何
[00:03:44.000 --> 00:03:47.000]  那就由我去祈禱了
[00:03:47.000 --> 00:03:52.000]  不少的信徒甚至教會的領袖
[00:03:52.000 --> 00:03:53.000]  其實對於教會
[00:03:53.000 --> 00:03:56.000]  對於怎樣去帶領祈禱
[00:03:56.000 --> 00:03:58.000]  都會有不同的想法
[00:03:58.000 --> 00:04:00.000]  而最可惜的
[00:04:00.000 --> 00:04:03.000]  有時候其實是出現不少的偏差
[00:04:03.000 --> 00:04:06.000]  其中一個很普遍的情況
[00:04:06.000 --> 00:04:10.000]  認為祈禱是向上帝祈求
[00:04:10.000 --> 00:04:13.000]  而祈求就必定會有回應
[00:04:13.000 --> 00:04:15.000]  結果向上帝去禱告
[00:04:15.000 --> 00:04:17.000]  跟拜黃大仙差不多
[00:04:17.000 --> 00:04:20.000]  就是有求必應
[00:04:20.000 --> 00:04:22.000]  但大家看看我今天的題目
[00:04:22.000 --> 00:04:24.000]  是叫有求必聽
[00:04:24.000 --> 00:04:28.000]  就算沙沙地聲都不要說錯
[00:04:28.000 --> 00:04:30.000]  是上帝會聽我們的祈禱
[00:04:30.000 --> 00:04:32.000]  但究竟怎樣去回應
[00:04:32.000 --> 00:04:35.000]  主權是在上帝的上邊
[00:04:35.000 --> 00:04:40.000]  如果我們的禱告
[00:04:40.000 --> 00:04:42.000]  不單只是一次
[00:04:42.000 --> 00:04:44.000]  是多次
[00:04:44.000 --> 00:04:46.000]  之後都沒有成果
[00:04:46.000 --> 00:04:48.000]  沒有任何的回應
[00:04:48.000 --> 00:04:50.000]  可能我們會去質疑
[00:04:50.000 --> 00:04:53.000]  為何上帝好像沒有理會我們
[00:04:53.000 --> 00:04:57.000]  究竟上帝有沒有聽我們的祈禱呢
[00:04:57.000 --> 00:05:00.000]  會出現這種想法
[00:05:00.000 --> 00:05:03.000]  另外一個極端的情況
[00:05:03.000 --> 00:05:05.000]  就是當我們去禱告的時候
[00:05:05.000 --> 00:05:08.000]  就好像向上帝發出了命令
[00:05:08.000 --> 00:05:11.000]  去吩咐上帝做一些事
[00:05:11.000 --> 00:05:13.000]  相信大家還記得
[00:05:13.000 --> 00:05:16.000]  在兩個禮拜之前
[00:05:16.000 --> 00:05:18.000]  有一個超強颱風
[00:05:18.000 --> 00:05:20.000]  是山竹
[00:05:20.000 --> 00:05:23.000]  來到吹襲香港
[00:05:23.000 --> 00:05:25.000]  我都很深刻印象
[00:05:25.000 --> 00:05:27.000]  因為本來我在大家當中
[00:05:27.000 --> 00:05:29.000]  在元朗堂講到是去年
[00:05:29.000 --> 00:05:32.000]  但怎知因為一個八號風球
[00:05:32.000 --> 00:05:34.000]  羅牧師就說
[00:05:34.000 --> 00:05:37.000]  你還是不要從中大過來元朗
[00:05:37.000 --> 00:05:41.000]  所以結果就沒有了下一次的機會
