
[00:00:00.000 --> 00:00:02.920]  今天我們來到芝加哥大學近東博物館
[00:00:02.920 --> 00:00:03.960]  很多人都不知道
[00:00:03.960 --> 00:00:08.600]  原來芝加哥是一個很豐富的考古寶藏
[00:00:08.600 --> 00:00:13.040]  在近東博物館在1930年開始建立
[00:00:30.000 --> 00:00:33.080]  進來展覽廳第一件事是看到一個大的地圖
[00:00:33.080 --> 00:00:34.760]  先給我們一點方向
[00:00:34.760 --> 00:00:39.320]  這裡是見到中東或者學界叫近東
[00:00:39.320 --> 00:00:40.960]  波斯灣在右邊
[00:00:40.960 --> 00:00:43.240]  上面是米索不達米亞
[00:00:43.240 --> 00:00:46.360]  然後左邊是埃及
[00:00:46.360 --> 00:00:49.800]  這個大的地方由右至左
[00:00:49.800 --> 00:00:54.800]  米索不達米亞到法文的東邊
[00:00:54.800 --> 00:00:57.800]  日出之地Rise 之地
[00:00:57.800 --> 00:01:02.000]  East 的意思就是今天巴勒斯坦這個地方
[00:01:02.000 --> 00:01:08.800]  這個半圓形的好像一個新月的地方叫做Fertile Crescent
[00:01:08.800 --> 00:01:10.800]  這個新月沃土的學名
[00:01:10.800 --> 00:01:14.520]  其實是芝加哥大學第一個考古學家James Henry Preston
[00:01:14.520 --> 00:01:16.240]  他所命名的
[00:01:16.240 --> 00:01:19.800]  就是說這裡足夠雨水讓人能夠定居
[00:01:19.800 --> 00:01:21.800]  能夠建立文明
[00:01:21.800 --> 00:01:28.800]  如果你將自己放在這個地圖的中間
[00:01:28.800 --> 00:01:33.800]  你會看到四周被帝國所包圍
[00:01:33.800 --> 00:01:39.800]  埃及 上面是亞納多利亞 土耳其這個地方
[00:01:39.800 --> 00:01:40.800]  右邊就不需要說了
[00:01:40.800 --> 00:01:43.800]  米索不達米亞是亞屬巴比倫的地方
[00:01:43.800 --> 00:01:48.800]  在中間就是在蠻族的中心的地方
[00:01:48.800 --> 00:01:52.800]  這裡就是上帝來成就自己的計劃
[00:01:52.800 --> 00:01:55.800]  創世紀第十二章說什麼呢?
[00:01:55.800 --> 00:02:00.800]  講了十一章就交代這個世界離開了上帝
[00:02:00.800 --> 00:02:03.800]  由創世到巴別塔
[00:02:03.800 --> 00:02:07.800]  到十二章的時候耶和華對亞伯蘭說
[00:02:07.800 --> 00:02:10.800]  你要離開你本地本族本格
[00:02:10.800 --> 00:02:12.800]  就是米索不達米亞 吾爾
[00:02:12.800 --> 00:02:14.800]  來到這個地方做什麼?
[00:02:14.800 --> 00:02:18.800]  以色列 巴勒斯坦地 迦南地
[00:02:18.800 --> 00:02:20.800]  就是我要使你成為大國
[00:02:20.800 --> 00:02:23.800]  要使你成為別人的祝福
[00:02:23.800 --> 00:02:26.800]  地上的蠻族必要因你得福
[00:02:26.800 --> 00:02:29.800]  這裡我們就看到這個世界
[00:02:29.800 --> 00:02:33.800]  上帝想在萬國當中做些什麼呢?
[00:02:33.800 --> 00:02:36.800]  蜘蛛神的子民來祝福萬國
[00:02:44.800 --> 00:02:49.800]  所以聖經的世界是由米索不達米亞開始說的
[00:02:49.800 --> 00:02:52.800]  一說到米索不達米亞就說到城市
[00:02:52.800 --> 00:02:57.800]  因為以前的人打獵 釣魚 聚集 採集藝術
[00:02:57.800 --> 00:03:01.800]  現在聚居成為一個城市
[00:03:01.800 --> 00:03:04.800]  城市開始密密麻麻
[00:03:04.800 --> 00:03:08.800]  不同的人建立了他們的城邦 他們的社會
[00:03:11.800 --> 00:03:15.800]  這些兩河流域的土優所出土的
[00:03:15.800 --> 00:03:20.800]  就是一些瓷器的用品
[00:03:20.800 --> 00:03:26.800]  這些城市中間很多時候都是一個temple 或者palace
[00:03:26.800 --> 00:03:29.800]  就是神靈的地方 敬拜的地方
[00:03:29.800 --> 00:03:35.800]  還有貴族統治 君王統治 他的皇宮
[00:03:41.800 --> 00:03:45.800]  你看到有陶器所做的不同的遺物 工具
[00:03:45.800 --> 00:03:49.800]  這裡有bitumen 因為兩河流域經常會水浸
[00:03:49.800 --> 00:03:52.800]  所以他們都會用bitumen 防水的東西
[00:03:52.800 --> 00:03:57.800]  或者一些工具 甚至一些磅重的東西
[00:03:57.800 --> 00:04:03.800]  這裡我們看到有一個大的房屋
[00:04:03.800 --> 00:04:07.800]  所找到的出土的一些遺物
[00:04:10.800 --> 00:04:15.800]  這裡你看到有一些裝飾物
[00:04:15.800 --> 00:04:20.800]  或者一些當時民間信仰的東西
[00:04:20.800 --> 00:04:26.800]  這些出土可以幫助我們去想像一下
[00:04:26.800 --> 00:04:29.800]  當時的人的房屋是怎樣的
[00:04:29.800 --> 00:04:33.800]  這裡有一個model Mesopotamia House
[00:04:33.800 --> 00:04:38.800]  裡面房屋的設計 甚至一些泥板
[00:04:38.800 --> 00:04:43.800]  一些accounting 寫下一些數字
