
[00:00:00.000 --> 00:00:03.740]  今天在這裡講的訊息其實與聖誕有關
[00:00:03.740 --> 00:00:05.880]  聖誕節最重要的訊息是什麼呢?
[00:00:05.880 --> 00:00:08.340]  就是神親自來到人間
[00:00:08.340 --> 00:00:10.580]  介入我們的歷史裡面
[00:00:10.580 --> 00:00:12.580]  不單止介入我們的歷史
[00:00:12.580 --> 00:00:14.180]  而是改變我們的生命
[00:00:14.180 --> 00:00:17.320]  讓我們有救恩和盼望
[00:00:17.320 --> 00:00:19.660]  所以很多基督徒其實認識到
[00:00:19.660 --> 00:00:22.120]  神是會介入人的生命的
[00:00:22.120 --> 00:00:24.560]  特別是當人有需要
[00:00:24.560 --> 00:00:26.400]  去尋求祂的時候
[00:00:26.400 --> 00:00:28.600]  神就會被人尋見
[00:00:28.600 --> 00:00:31.040]  但是相信很多人會留意到
[00:00:31.040 --> 00:00:34.500]  神除了介入人的生命之外
[00:00:34.500 --> 00:00:37.640]  神也會介入我們的世代
[00:00:37.640 --> 00:00:38.980]  就正如二千年前
[00:00:38.980 --> 00:00:41.340]  神介入人的世代裡面
[00:00:41.340 --> 00:00:43.380]  把耶穌基督賜給人
[00:00:43.380 --> 00:00:47.180]  使人有盼望和一份聖誕禮物
[00:00:47.180 --> 00:00:50.620]  當我們了解到神願意介入人的生命裡面
[00:00:50.620 --> 00:00:53.020]  和一個世代裡面的時候
[00:00:53.020 --> 00:00:54.860]  我們就會不禁去想
[00:00:54.860 --> 00:00:58.360]  究竟神願意介入今天的世代嗎?
[00:00:58.360 --> 00:01:01.040]  這個世代不是一個好的世代
[00:01:01.040 --> 00:01:03.700]  普遍來說是否定神
[00:01:03.700 --> 00:01:07.340]  是一個拒絕祂的世代
[00:01:07.340 --> 00:01:09.740]  神又是對著這個世代
[00:01:09.740 --> 00:01:12.340]  懷著一個怎樣的心呢?
[00:01:12.340 --> 00:01:14.440]  所以其實今天希望
[00:01:14.440 --> 00:01:16.140]  我用一個人物
[00:01:16.140 --> 00:01:19.580]  一個舊約裡面列王記上所描述到
[00:01:19.580 --> 00:01:22.120]  一個叫做阿哈的人物
[00:01:22.120 --> 00:01:24.960]  去嘗試了解這件事
[00:01:24.960 --> 00:01:28.920]  我知道很多人未必對舊約這麼熟悉
[00:01:28.920 --> 00:01:33.660]  所以其實我希望用一個較為故事性的形式去講出來
[00:01:33.660 --> 00:01:36.660]  你們會較為容易吸收得到
[00:01:36.660 --> 00:01:40.040]  阿哈王的世代是一個很特別的世代
[00:01:40.040 --> 00:01:41.540]  特別在哪裡呢?
[00:01:41.540 --> 00:01:43.640]  是因為列王記上下的作者
[00:01:43.640 --> 00:01:46.540]  很多時候通常只用一張聖經
[00:01:46.540 --> 00:01:50.140]  或者更少去形容一個王
[00:01:50.140 --> 00:01:52.020]  但是這個阿哈王
[00:01:52.020 --> 00:01:54.280]  他用了六張半的聖經
[00:01:54.280 --> 00:01:56.080]  你要記得這個不是大衛
[00:01:56.080 --> 00:01:58.160]  也不是所羅門
[00:01:58.160 --> 00:02:00.320]  不是一個行好事的王
[00:02:00.320 --> 00:02:02.220]  是一個行惡的王
[00:02:02.220 --> 00:02:04.460]  是一個叛逆的世代裡面
[00:02:04.460 --> 00:02:07.400]  只用了六張半去形容
[00:02:07.400 --> 00:02:09.760]  為什麼聖靈要這樣感動
[00:02:09.760 --> 00:02:12.540]  皇上的作者用這麼長的篇幅
[00:02:12.540 --> 00:02:14.640]  去解釋這個世代呢?
[00:02:14.640 --> 00:02:17.840]  究竟當中裡面講了神的什麼呢?
[00:02:17.840 --> 00:02:20.380]  我們現在一起去看一看
[00:02:20.380 --> 00:02:26.780]  我們首先讀一讀皇上的十六章第29至第33節
[00:02:26.780 --> 00:02:27.860]  當中裡面講到
[00:02:27.860 --> 00:02:30.580]  猶帝王阿撒三十八年
[00:02:30.580 --> 00:02:32.920]  暗利的兒子阿哈登基
[00:02:32.920 --> 00:02:34.660]  作了以色列王
[00:02:34.660 --> 00:02:36.760]  暗利的兒子阿哈
[00:02:36.760 --> 00:02:40.600]  在撒瑪利亞作以色列王二十二年
[00:02:40.600 --> 00:02:42.660]  暗利的兒子阿哈
[00:02:42.660 --> 00:02:46.540]  行耶和華眼中看為惡的事
[00:02:46.540 --> 00:02:48.980]  比他以前的王更深
[00:02:48.980 --> 00:02:53.180]  犯了尼伯的兒子耶羅邦安所犯的罪
[00:02:53.180 --> 00:02:54.780]  他還以為兄
[00:02:54.780 --> 00:02:57.380]  又娶了西頓王潔巴力的女兒
[00:02:57.380 --> 00:02:58.920]  耶洗別為妻
[00:02:58.920 --> 00:03:01.120]  去侍奉敬拜巴力
[00:03:01.120 --> 00:03:03.660]  在撒瑪利亞建造巴力的廟
[00:03:03.660 --> 00:03:06.120]  在廟裡面為巴力祝壇
[00:03:06.120 --> 00:03:08.120]  阿哈又作亞舍拉
[00:03:08.120 --> 00:03:12.420]  所以所行的耶和華以色列神的怒氣
[00:03:12.420 --> 00:03:17.200]  比他以前的以色列諸王更深
[00:03:17.200 --> 00:03:19.460]  這段聖經就形容了
[00:03:19.460 --> 00:03:23.540]  以色列阿哈王的世代是一個怎樣的世代
[00:03:23.540 --> 00:03:27.140]  聖經裡面形容阿哈王是一個行惡的王
[00:03:27.140 --> 00:03:29.340]  第三十一節裡面很清楚講到
[00:03:29.340 --> 00:03:34.480]  阿哈犯了尼伯的兒子耶羅邦安所犯的罪
[00:03:34.480 --> 00:03:37.880]  究竟什麼是耶羅邦安的罪呢
[00:03:37.880 --> 00:03:42.520]  其實耶羅邦安是以色列國的一個開國的君王
[00:03:42.520 --> 00:03:44.720]  曾經有一段時間
[00:03:44.720 --> 00:03:47.760]  所有的以色列人在一個國家裡面
[00:03:47.760 --> 00:03:51.960]  但是沒多久之後就分開變成南國和北國
[00:03:51.960 --> 00:03:54.360]  兩個是敵對的國家
[00:03:54.360 --> 00:03:55.940]  南國是猶大
[00:03:55.940 --> 00:03:57.940]  北國是以色列
[00:03:57.940 --> 00:04:00.100]  而當耶羅邦安立國的時候
[00:04:00.100 --> 00:04:01.780]  立了以色列國的時候
[00:04:01.780 --> 00:04:04.640]  他就遇到一個很嚴重的問題
[00:04:04.640 --> 00:04:07.020]  因為那時候以色列人的敬拜中心
[00:04:07.020 --> 00:04:11.080]  是在猶大的耶路撒冷
[00:04:11.080 --> 00:04:12.560]  所以他就擔心
[00:04:12.560 --> 00:04:17.120]  如果我的子民想去耶路撒冷敬拜神的時候
[00:04:17.120 --> 00:04:19.500]  以為他將來會變成我的敵人
[00:04:19.500 --> 00:04:21.260]  消滅我的
[00:04:21.260 --> 00:04:22.360]  於是他就想
[00:04:22.360 --> 00:04:23.960]  他就籌劃定妥的時候
[00:04:23.960 --> 00:04:25.540]  聖經怎麼說呢
[00:04:25.540 --> 00:04:30.200]  他就在丹和別氏巴以色列境裡面的兩個城市
[00:04:30.200 --> 00:04:32.380]  安置了兩隻金牛犢
[00:04:32.380 --> 00:04:34.840]  然後就跟以色列人說
[00:04:34.840 --> 00:04:36.240]  你們看看
[00:04:36.240 --> 00:04:39.080]  這隻金牛犢就是帶領你們
[00:04:39.080 --> 00:04:42.080]  從埃及出來進入迦南地的神
[00:04:42.080 --> 00:04:43.920]  所以你們去拜祂
[00:04:43.920 --> 00:04:48.520]  於是就使得以色列人陷在拜偶像的罪裡面
[00:04:48.520 --> 00:04:51.500]  而聖經裡面就是指著這件事
[00:04:51.500 --> 00:04:54.700]  然後又說到一件事
[00:04:54.700 --> 00:04:58.100]  阿哈一直維持這個敬拜
[00:04:58.100 --> 00:05:01.940]  但是他覺得這個罪還以為輕
[00:05:01.940 --> 00:05:03.180]  然後他做什麼呢
[00:05:03.180 --> 00:05:05.940]  虛是逢敬拜巴力
[00:05:05.940 --> 00:05:09.240]  其實如果以我們現在的情況看
[00:05:09.240 --> 00:05:12.520]  其實究竟阿哈在想什麼呢
[00:05:12.520 --> 00:05:15.620]  阿哈很可能在想
[00:05:15.620 --> 00:05:16.880]  哇
[00:05:16.880 --> 00:05:19.520]  這個耶羅邦安
[00:05:19.520 --> 00:05:21.260]  他拜這隻金牛犢
[00:05:21.260 --> 00:05:23.160]  不是很行的
[00:05:23.160 --> 00:05:26.720]  現在耶羅邦安的王朝都被人消滅了
[00:05:26.720 --> 00:05:28.860]  如果他行就行啦
[00:05:28.860 --> 00:05:30.500]  那我又拜他那個神
[00:05:30.500 --> 00:05:32.800]  還死得人多
[00:05:32.800 --> 00:05:34.340]  如果要拜的時候
[00:05:34.340 --> 00:05:36.100]  拜個厲害一點的
[00:05:36.100 --> 00:05:38.480]  使得我國家強大一點
[00:05:38.480 --> 00:05:39.600]  富足一點的
[00:05:39.600 --> 00:05:42.000]  更加有權勢有力的
