
[00:00:00.000 --> 00:00:03.420]  大家好,大家早晨,主內平安
[00:00:03.420 --> 00:00:05.960]  好,今天,今早是我分享
[00:00:05.960 --> 00:00:08.580]  我今天跟大家分享的是
[00:00:08.580 --> 00:00:10.580]  施洗約翰的見證
[00:00:10.580 --> 00:00:17.000]  之前我們一直是講到的是
[00:00:17.000 --> 00:00:18.260]  約翰的福音也是
[00:00:18.260 --> 00:00:21.560]  所以是用了大概三堂的時間
[00:00:21.560 --> 00:00:24.000]  講這個罪言的
[00:00:24.000 --> 00:00:25.380]  是一到十八節
[00:00:25.380 --> 00:00:30.280]  今天我就從十九節開始講
[00:00:30.280 --> 00:00:32.280]  一到十八節講了什麼呢?
[00:00:32.280 --> 00:00:35.740]  就講了使徒約翰的見證
[00:00:35.740 --> 00:00:37.740]  他見證基督是誰
[00:00:37.740 --> 00:00:39.480]  基督就是那個真道
[00:00:39.480 --> 00:00:41.320]  太初的道
[00:00:41.320 --> 00:00:42.940]  去創造的位主
[00:00:42.940 --> 00:00:45.060]  他也是生命的光
[00:00:45.060 --> 00:00:47.240]  他也是救恩的賜予者
[00:00:47.240 --> 00:00:48.640]  他使我們信他的
[00:00:48.640 --> 00:00:50.780]  就得著那個生命
[00:00:50.780 --> 00:00:52.560]  成為神的兒女
[00:00:52.560 --> 00:00:53.820]  上次我們講到
[00:00:53.820 --> 00:00:55.820]  道成了肉身
[00:00:55.820 --> 00:00:59.940]  耶穌基督就是那個道成肉身的神子
[00:00:59.940 --> 00:01:01.600]  他是神的獨生子
[00:01:01.600 --> 00:01:03.860]  今天我們就會講到
[00:01:03.860 --> 00:01:08.520]  從那個超越的時間和空間
[00:01:08.520 --> 00:01:10.520]  回到歷史當中
[00:01:10.520 --> 00:01:13.460]  你會看到今天作見證的是
[00:01:13.460 --> 00:01:14.800]  另一個約翰
[00:01:14.800 --> 00:01:16.800]  叫做施洗約翰
[00:01:16.800 --> 00:01:19.100]  施洗約翰
[00:01:19.100 --> 00:01:30.240]  他在約旦河伯大利為耶穌基督作見證
[00:01:30.240 --> 00:01:33.700]  我們之前一到十八節講到的
[00:01:33.700 --> 00:01:35.700]  好像天馬行空一樣
[00:01:35.700 --> 00:01:38.440]  講到的廣闊的超越時間
[00:01:38.440 --> 00:01:42.780]  超越宇宙的永恆
[00:01:42.780 --> 00:01:44.780]  今天是具體的
[00:01:44.780 --> 00:01:46.180]  在時間當中
[00:01:46.180 --> 00:01:47.440]  在歷史當中
[00:01:47.440 --> 00:01:51.260]  在這個實實在在的約旦河外的伯大利
[00:01:51.260 --> 00:01:57.140]  施洗約翰為耶穌基督作見證
[00:01:57.140 --> 00:01:59.140]  所以你會看到
[00:01:59.140 --> 00:02:02.380]  由使徒約翰作見證
[00:02:02.380 --> 00:02:09.000]  現在轉向施洗約翰作見證
[00:02:09.000 --> 00:02:11.000]  如果你有留意的話
[00:02:11.000 --> 00:02:15.420]  我們這兩個月就開始會收到很多感恩會
[00:02:15.420 --> 00:02:17.420]  感恩會通常會有什麼呢
[00:02:17.420 --> 00:02:19.420]  有感恩的分享
[00:02:19.420 --> 00:02:21.420]  還有講見證
[00:02:21.420 --> 00:02:23.420]  會提到講見證
[00:02:23.420 --> 00:02:27.640]  我們看看約翰是怎樣跟我們做見證的
[00:02:27.640 --> 00:02:37.580]  使徒約翰的老師是施洗約翰
[00:02:37.580 --> 00:02:44.560]  施洗約翰被呼召出來為耶穌基督作見證
[00:02:44.560 --> 00:02:49.000]  他要把耶穌基督介紹給那個世代的人
[00:02:49.000 --> 00:02:51.560]  認識這個就是救主
[00:02:51.560 --> 00:02:52.720]  這個就是基督
[00:02:52.720 --> 00:02:55.760]  所以他是立下了一個很好的榜樣
[00:02:55.760 --> 00:02:58.480]  就是為我們做傳道工作的人
[00:02:58.480 --> 00:03:00.480]  立下了一個榜樣
[00:03:00.480 --> 00:03:03.100]  怎樣去為耶穌基督作見證
[00:03:03.100 --> 00:03:04.720]  當時呢
[00:03:04.720 --> 00:03:07.600]  如果你看當時
[00:03:07.600 --> 00:03:11.440]  做侍奉工作的有祭司
[00:03:11.440 --> 00:03:14.380]  還有那些賢經有文士
