
[00:00:00.000 --> 00:00:04.900]  倘若上帝要在世界做一件大事,
[00:00:04.900 --> 00:00:08.000]  你估祂會怎樣開始呢?
[00:00:08.000 --> 00:00:10.000]  我看人類歷史,
[00:00:10.000 --> 00:00:14.000]  我就留意,當上帝要做一件大事的時候,
[00:00:14.000 --> 00:00:19.000]  祂通常會先揀選一個人或者幾個人,
[00:00:19.000 --> 00:00:24.000]  然後祂透過這幾個人實踐祂的旨意,
[00:00:24.000 --> 00:00:28.000]  叫全人類都得著福氣。
[00:00:28.000 --> 00:00:32.000]  今天我們要看看上帝怎樣透過一個人,
[00:00:32.000 --> 00:00:36.000]  就是摩西,來拯救以色列的民族。
[00:00:36.000 --> 00:00:39.000]  剛才主席跟我們讀了一段經文,
[00:00:39.000 --> 00:00:42.000]  《埃及記》三章一到十五節,
[00:00:42.000 --> 00:00:45.000]  就讓我們來思考,
[00:00:45.000 --> 00:00:47.000]  神怎樣呼召摩西,
[00:00:47.000 --> 00:00:53.000]  祂今天或者會同樣用這個方法來呼召你。
[00:00:53.000 --> 00:00:57.000]  我留意到上帝呼召摩西是很特別的,
[00:00:57.000 --> 00:00:59.000]  過程都很奇妙,
[00:00:59.000 --> 00:01:04.000]  我們來看看這個過程是怎樣的。
[00:01:04.000 --> 00:01:12.000]  我們來看看上帝呼召的時間,
[00:01:12.000 --> 00:01:17.000]  祂呼召的地點和祂呼召的方法,
[00:01:17.000 --> 00:01:19.000]  有什麼特別的地方。
[00:01:19.000 --> 00:01:24.000]  首先我們來看看上帝呼召摩西的時間,
[00:01:24.000 --> 00:01:27.000]  祂似乎是遲了四十年,
[00:01:27.000 --> 00:01:31.000]  那時候摩西是八十歲,
[00:01:31.000 --> 00:01:34.000]  如果上帝早四十年呼召祂就不同,
[00:01:34.000 --> 00:01:38.000]  那時候在埃及做王子是很厲害的,
[00:01:38.000 --> 00:01:42.000]  他說摩西學盡了埃及人的一切學問,
[00:01:42.000 --> 00:01:45.000]  說話行事都有能力,
[00:01:45.000 --> 00:01:49.000]  當時世界最大的兩個文化國家,
[00:01:49.000 --> 00:01:52.000]  一個就是埃及,一個就是中國,
[00:01:52.000 --> 00:01:57.000]  學盡了摩西學盡了埃及所有的學問,
[00:01:57.000 --> 00:02:01.000]  真的不簡單,
[00:02:01.000 --> 00:02:05.000]  還有祂說話做事都很厲害,
[00:02:05.000 --> 00:02:07.000]  但是過了四十年之後,
[00:02:07.000 --> 00:02:09.000]  摩西已經八十歲,
[00:02:09.000 --> 00:02:11.000]  第二個四十年,
[00:02:11.000 --> 00:02:13.000]  祂就在曠野裏面生活,
[00:02:13.000 --> 00:02:15.000]  是養一些羊仔,
[00:02:15.000 --> 00:02:21.000]  那四十年對著羊就不會說話,
[00:02:21.000 --> 00:02:23.000]  所以上帝呼召祂的時候,
[00:02:23.000 --> 00:02:26.000]  祂就說羊是怎樣的,
[00:02:26.000 --> 00:02:29.000]  隔壁的小朋友都在聽,
[00:02:29.000 --> 00:02:31.000]  你試一下扮羊怎樣叫,
[00:02:31.000 --> 00:02:35.000]  剛才叫得很好,是誰扮的,
[00:02:35.000 --> 00:02:39.000]  一起叫一次羊好不好,
[00:02:39.000 --> 00:02:41.000]  大致上就是這樣,
[00:02:41.000 --> 00:02:44.000]  那祂就說上帝我絕口不說,
[00:02:44.000 --> 00:02:47.000]  祂以前行事說話都很厲害,
