
[00:00:00.000 --> 00:00:09.600]  馬年的時候我就用今年大概《輝春》、《電視》、《報刊》、《雜誌》
[00:00:09.600 --> 00:00:14.500]  最常出現的三句馬的祝福語
[00:00:14.500 --> 00:00:20.900]  特別是我看鳳凰衛視新聞的時候
[00:00:20.900 --> 00:00:24.000]  剛好習主席也用了這三句
[00:00:24.000 --> 00:00:29.500]  其中一句就是英國首相來到北京訪問的時候
[00:00:29.700 --> 00:00:35.400]  習主席勉勉宣布要在特朗普的巨棒底下
[00:00:35.400 --> 00:00:38.900]  帶領歐盟一馬當先過來
[00:00:38.900 --> 00:00:41.900]  不過習主席講了前面的部分
[00:00:41.900 --> 00:00:44.800]  後面的部分我就加上去
[00:00:44.800 --> 00:00:50.600]  大家祝福人有押韻、有屬靈的意義
[00:00:50.600 --> 00:00:53.000]  不如大家讀一次好不好
[00:00:53.800 --> 00:01:02.600]  龍馬精神,事主殷勤,馬到功成,主因豐盛
[00:01:02.600 --> 00:01:07.100]  一馬當先,靠主超前
[00:01:07.100 --> 00:01:11.200]  這三句祝福大家在不同的領域
[00:01:11.200 --> 00:01:17.800]  無論你是政界、商界、在家庭或者教會侍奉裡面
[00:01:17.800 --> 00:01:22.000]  這三句祝福語都能夠給你力量
[00:01:22.600 --> 00:01:26.600]  馬很早就跟人類發生了聯繫
[00:01:26.600 --> 00:01:32.200]  我們看到原始人動月的壁畫裡面
[00:01:32.200 --> 00:01:37.200]  很多時候就畫了馬在草原奔跑
[00:01:37.200 --> 00:01:42.000]  所以中國人發現馬不單止可以吃
[00:01:42.000 --> 00:01:44.800]  它還有更重要的用途
[00:01:44.800 --> 00:01:50.000]  所以馬稱為六畜獅手
[00:01:50.000 --> 00:01:54.600]  比牛、比豬的價值更重要
[00:01:54.600 --> 00:02:03.800]  馬除了可以騎、旅行、去遠方
[00:02:03.800 --> 00:02:06.200]  要追回失去的牛羊
[00:02:06.200 --> 00:02:11.000]  馬的速度能夠有這樣的用法之外
[00:02:11.000 --> 00:02:16.000]  它還有一樣很特別的就是它作為戰馬
[00:02:17.000 --> 00:02:22.800]  由早期我們看到漢武帝
[00:02:22.800 --> 00:02:25.800]  因為得到中亞的寒血寶馬
[00:02:25.800 --> 00:02:28.600]  就打到新疆那邊
[00:02:28.600 --> 00:02:34.800]  中亞將一直影響著中國的匈奴人趕到匈牙利
[00:02:34.800 --> 00:02:38.000]  將突厥人趕到土耳其
[00:02:38.000 --> 00:02:44.000]  所以中國在歷史裡面少了這些少數民族的參謀
[00:02:44.000 --> 00:02:46.400]  但是馬在戰爭的用途
[00:02:46.400 --> 00:02:48.000]  除了中國之外
[00:02:48.000 --> 00:02:52.000]  在成吉思汗因為有蒙古馬
[00:02:52.000 --> 00:02:55.000]  贏了歐洲的高頭大馬
[00:02:55.000 --> 00:03:00.400]  將蒙古帝國擴展到歐洲的邊緣
[00:03:00.400 --> 00:03:05.800]  後來還有土耳其的突厥人
[00:03:05.800 --> 00:03:07.800]  那個鄂圖曼帝國
[00:03:07.800 --> 00:03:16.000]  他們也是靠著阿拉伯馬征服這個範圍
[00:03:16.000 --> 00:03:20.000]  這個帝國有六七八年這麼久
[00:03:20.000 --> 00:03:26.000]  雖然第一次世界大戰有飛機大砲有火藥
[00:03:26.000 --> 00:03:29.000]  但是在那個時候很奇怪
[00:03:29.000 --> 00:03:33.000]  那些人仍然用馬兵來衝刺
[00:03:33.000 --> 00:03:36.000]  去衝擊對方的戰壕
[00:03:36.000 --> 00:03:38.000]  我看過一個統計
[00:03:38.000 --> 00:03:44.000]  第一次世界大戰死去的戰馬有九十萬匹這麼多
[00:03:44.000 --> 00:03:46.000]  很厲害
[00:03:46.000 --> 00:03:49.000]  當然人死去是更厲害
[00:03:49.000 --> 00:03:53.000]  今天的戰爭我相信不需要用馬了
[00:03:53.000 --> 00:03:56.000]  用什麼呢?用電子馬
[00:03:56.000 --> 00:04:00.000]  用那些機械馬就比較多了
[00:04:00.000 --> 00:04:04.000]  中國的成語和馬有關的
[00:04:04.000 --> 00:04:08.000]  有大概二百六十八個這麼多
