
[00:00:00.000 --> 00:00:02.000]  大型節目,早晨!
[00:00:02.000 --> 00:00:04.000]  大家好
[00:00:04.000 --> 00:00:06.000]  我相信
[00:00:06.000 --> 00:00:08.000]  我們住在Torrance
[00:00:08.000 --> 00:00:10.000]  很多時候
[00:00:10.000 --> 00:00:12.000]  都應該經常有機會
[00:00:12.000 --> 00:00:14.000]  聽到救傷車的聲音
[00:00:14.000 --> 00:00:16.000]  有沒有聽到
[00:00:16.000 --> 00:00:18.000]  Siren那些救傷車
[00:00:18.000 --> 00:00:20.000]  因為我們Torrance有三間大醫院
[00:00:20.000 --> 00:00:22.000]  一間在旁邊
[00:00:22.000 --> 00:00:24.000]  Torrance Memorial
[00:00:24.000 --> 00:00:26.000]  另一間就在
[00:00:26.000 --> 00:00:28.000]  Torrance Boulevard
[00:00:28.000 --> 00:00:30.000]  還有一間就在Carton Street
[00:00:30.000 --> 00:00:32.000]  亦都在Torrance
[00:00:32.000 --> 00:00:34.000]  就是UCLA Harbour City
[00:00:34.000 --> 00:00:36.000]  Harbour UCLA Medical Centre
[00:00:36.000 --> 00:00:38.000]  所以經常都有機會
[00:00:38.000 --> 00:00:40.000]  聽到救傷車
[00:00:40.000 --> 00:00:42.000]  Ambulance
[00:00:42.000 --> 00:00:44.000]  不知道大家聽到
[00:00:44.000 --> 00:00:46.000]  看到或者
[00:00:46.000 --> 00:00:48.000]  這些救傷車經過
[00:00:48.000 --> 00:00:50.000]  響起緊急訊號的時候
[00:00:50.000 --> 00:00:52.000]  你的心會是怎樣的
[00:00:52.000 --> 00:00:54.000]  你會想到甚麼
[00:00:54.000 --> 00:00:56.000]  想到甚麼
[00:00:56.000 --> 00:00:58.000]  在旁邊
[00:00:58.000 --> 00:01:00.000]  你是想到很慘
[00:01:00.000 --> 00:01:02.000]  還是想到很好的
[00:01:02.000 --> 00:01:08.000]  多數都想到慘
[00:01:08.000 --> 00:01:10.000]  有一次
[00:01:10.000 --> 00:01:12.000]  有一個漫畫
[00:01:12.000 --> 00:01:14.000]  兒童漫畫
[00:01:14.000 --> 00:01:16.000]  畫著一個救護車
[00:01:16.000 --> 00:01:18.000]  經過響起警告
[00:01:18.000 --> 00:01:20.000]  然後
[00:01:20.000 --> 00:01:22.000]  一個男生
[00:01:22.000 --> 00:01:24.000]  漫畫掩著他的耳朵
[00:01:24.000 --> 00:01:26.000]  他說慘啊慘啊慘啊
[00:01:26.000 --> 00:01:28.000]  有人
[00:01:28.000 --> 00:01:30.000]  不是死而是傷
[00:01:30.000 --> 00:01:32.000]  危急
[00:01:32.000 --> 00:01:34.000]  很憂愁很傷心
[00:01:34.000 --> 00:01:36.000]  很驚惶
[00:01:36.000 --> 00:01:38.000]  另一幅漫畫就有一個女孩
[00:01:38.000 --> 00:01:40.000]  她不是掩著耳朵
[00:01:40.000 --> 00:01:42.000]  她是拿著手
[00:01:42.000 --> 00:01:44.000]  好像在祈禱
[00:01:44.000 --> 00:01:46.000]  她說好了好了有救了
[00:01:46.000 --> 00:01:48.000]  因為有些人
[00:01:48.000 --> 00:01:50.000]  現在去救
[00:01:50.000 --> 00:01:52.000]  某些需要的人
[00:01:52.000 --> 00:01:54.000]  有救了
[00:01:54.000 --> 00:01:56.000]  同樣是一件事發生
[00:01:56.000 --> 00:01:58.000]  但內心的
[00:01:58.000 --> 00:02:00.000]  心境可以很不同
[00:02:00.000 --> 00:02:02.000]  我們很多時候都會想
[00:02:02.000 --> 00:02:04.000]  壞的那邊著想
[00:02:04.000 --> 00:02:06.000]  想壞的那些
[00:02:06.000 --> 00:02:08.000]  但如果反過來
[00:02:08.000 --> 00:02:10.000]  有時候可以想好的那邊
[00:02:10.000 --> 00:02:12.000]  有救了有救了
[00:02:12.000 --> 00:02:14.000]  有人得到幫助
[00:02:14.000 --> 00:02:16.000]  所以很多時候
