
[00:00:00.000 --> 00:00:02.860]  很高興能夠和大家繼續去思想
[00:00:02.860 --> 00:00:04.640]  正經神的華語
[00:00:04.640 --> 00:00:09.360]  今天就和大家講到七教會的第四個教會
[00:00:09.360 --> 00:00:13.900]  是叫做推也推拉教會
[00:00:13.900 --> 00:00:19.340]  我們教會是繼續在第二第三章
[00:00:19.340 --> 00:00:21.980]  是有講了七間不同的教會
[00:00:21.980 --> 00:00:25.140]  第一間是以弗所教會
[00:00:25.140 --> 00:00:26.640]  第二間是善美娜
[00:00:26.640 --> 00:00:29.480]  第三間叫做別加摩
[00:00:29.480 --> 00:00:30.860]  今天去到第四間
[00:00:30.860 --> 00:00:33.780]  這間就叫做推也推拉教會
[00:00:33.780 --> 00:00:37.780]  早前我都曾經和大家提過
[00:00:37.780 --> 00:00:43.100]  七個的教會是已經在啟示錄裏面來講
[00:00:43.100 --> 00:00:45.740]  如果那些人講啟示錄的
[00:00:45.740 --> 00:00:48.880]  七個教會很多人認為
[00:00:48.880 --> 00:00:51.980]  這些比較上容易講一些
[00:00:51.980 --> 00:00:54.180]  因為好像很實在
[00:00:54.180 --> 00:00:56.680]  有個教會去看這樣
[00:00:56.680 --> 00:01:00.560]  但其實裏面亦有很多很不容易的東西
[00:01:00.560 --> 00:01:06.500]  我早前就去參加一個生日的
[00:01:06.500 --> 00:01:08.300]  算不算叫甚麼呢
[00:01:08.300 --> 00:01:09.940]  即是請十位
[00:01:09.940 --> 00:01:14.280]  都算叫做一個生日的宴會
[00:01:14.280 --> 00:01:15.320]  是不是這樣講
[00:01:15.320 --> 00:01:16.820]  宴會 OK
[00:01:16.820 --> 00:01:18.580]  和我同一台的
[00:01:18.580 --> 00:01:20.680]  很開心
[00:01:20.680 --> 00:01:23.980]  有些人我是聽過他的大名
[00:01:23.980 --> 00:01:26.780]  但未見過他真人 相是見過的
[00:01:26.780 --> 00:01:29.560]  有些在街上見到都認得他
[00:01:29.560 --> 00:01:31.440]  都是一些聖經的學者
[00:01:31.440 --> 00:01:32.920]  我不提這些名字了
[00:01:32.920 --> 00:01:34.480]  其中一位我就問他
[00:01:34.480 --> 00:01:36.380]  我說教授你現在寫
[00:01:36.380 --> 00:01:38.180]  可不可以和我分享一下
[00:01:38.180 --> 00:01:41.000]  你現在在出版甚麼書
[00:01:41.000 --> 00:01:43.720]  他就告訴我
[00:01:43.720 --> 00:01:47.440]  因為我自己比較對啟示錄有興趣
[00:01:47.440 --> 00:01:51.360]  我說教授你會不會寫啟示錄
[00:01:51.360 --> 00:01:52.860]  他說不會
[00:01:52.860 --> 00:01:56.240]  因為那些我要將來回到天家
[00:01:56.240 --> 00:01:59.700]  問天父才搞清楚
[00:01:59.700 --> 00:02:01.500]  他很謙卑
[00:02:01.500 --> 00:02:05.060]  他是一個世界級的中國人
[00:02:05.060 --> 00:02:08.520]  的新約的頂級的學者
[00:02:08.520 --> 00:02:11.040]  我都很欣賞他
[00:02:11.040 --> 00:02:14.120]  他出一本書我買一本來看
[00:02:14.120 --> 00:02:16.300]  但都很辛苦的看
[00:02:16.300 --> 00:02:20.840]  真是一個很有重量級的學者
[00:02:20.840 --> 00:02:23.780]  他謙而已 他這樣說他謙而已
[00:02:23.780 --> 00:02:28.040]  不過神都用一些其他的僕人
[00:02:28.040 --> 00:02:29.800]  去寫啟示錄的書
[00:02:29.800 --> 00:02:31.720]  台灣有一個很好的學者
[00:02:31.720 --> 00:02:34.100]  他不知道去美國還是英國讀神學的
[00:02:34.100 --> 00:02:35.740]  我經常都搞不記得了
[00:02:35.740 --> 00:02:44.280]  他跟兩個世界級的啟示錄的學者去讀的
[00:02:44.280 --> 00:02:46.680]  他的博士論文都是研究這些
[00:02:46.680 --> 00:02:49.160]  他出了一本出了一套書
[00:02:49.160 --> 00:02:51.240]  我是很喜歡那套書
[00:02:51.240 --> 00:02:54.400]  所以我都由頭看到尾看完
[00:02:54.400 --> 00:02:55.620]  現在再翻看
[00:02:55.620 --> 00:02:57.220]  講啟示錄的時候
[00:02:57.220 --> 00:02:58.540]  我都參考他
[00:02:58.540 --> 00:03:00.120]  一個主要的參考
[00:03:00.120 --> 00:03:01.640]  我都看很多其他
[00:03:01.640 --> 00:03:03.740]  起碼都有二三十本左右
[00:03:03.740 --> 00:03:06.300]  其他的參考啟示錄的書
[00:03:06.300 --> 00:03:09.160]  來跟大家分享
[00:03:09.160 --> 00:03:12.280]  但很多人認為七教會已經是最簡單的
[00:03:12.280 --> 00:03:13.540]  你去到後面那些
[00:03:13.540 --> 00:03:15.620]  是真是越來越複雜的
[00:03:15.620 --> 00:03:17.340]  但我就有一個負擔
[00:03:17.340 --> 00:03:19.520]  就是去看去分享
[00:03:19.520 --> 00:03:22.760]  可能我都受過第一個牧師的影響
[00:03:22.760 --> 00:03:25.660]  我第一個牧師很喜歡講末世論的
[00:03:25.660 --> 00:03:28.760]  甚至有人誤會他
[00:03:28.760 --> 00:03:31.680]  牧師今天又講馬太封二十四章
[00:03:31.680 --> 00:03:33.720]  又講啟示錄
[00:03:33.720 --> 00:03:36.120]  又講主在來
[00:03:36.120 --> 00:03:37.920]  是不是他沒有預備啊
[00:03:37.920 --> 00:03:40.360]  有些人這樣去說他
[00:03:40.360 --> 00:03:41.920]  但我覺得很冤枉
[00:03:41.920 --> 00:03:45.260]  其實他是一個很好的講道的牧者
[00:03:45.260 --> 00:03:46.320]  我第一個牧者
[00:03:46.320 --> 00:03:49.480]  好了 今天和大家看這個叫做七個教會
[00:03:49.480 --> 00:03:51.200]  我們來到大題目
[00:03:51.200 --> 00:03:53.360]  大家手裏面有一個白色的副頁
[00:03:53.360 --> 00:03:54.820]  是A5紙
[00:03:54.820 --> 00:03:56.020]  我這張大一點
[00:03:56.020 --> 00:03:58.680]  我給了一個名稱這個教會
[00:03:58.680 --> 00:04:01.720]  就叫做讓世俗同化的教會
[00:04:01.720 --> 00:04:03.800]  很可憐 很可惜的
[00:04:03.800 --> 00:04:08.960]  教會是應該跟隨主耶穌基督的命令
[00:04:08.960 --> 00:04:10.840]  是要成為這個世界的光
[00:04:10.840 --> 00:04:12.160]  成為世界的炎
