
[00:00:00.000 --> 00:00:03.000]  各位電影節目的各位朋友,你們好
[00:00:03.000 --> 00:00:08.000]  很感恩今天來到大家的中間分享
[00:00:08.000 --> 00:00:11.000]  當你看到題目的時候,你會有一個感覺
[00:00:11.000 --> 00:00:14.000]  你為甚麼說我是一塊雲?
[00:00:14.000 --> 00:00:18.000]  有沒有人說你在成長的時候是一塊雲?
[00:00:18.000 --> 00:00:22.000]  做事不知想怎樣
[00:00:22.000 --> 00:00:28.000]  但今天要看的「雲霧人生」不是說你做事是一塊雲的意思
[00:00:28.000 --> 00:00:32.000]  在《雅各書》四章十三到十七節
[00:00:32.000 --> 00:00:38.000]  這幾節的經文裡,我們可以試試讀
[00:00:38.000 --> 00:00:47.000]  第十三節,聖經有不同的版本
[00:00:47.000 --> 00:00:51.000]  這個版本一開始是「諸依」
[00:00:51.000 --> 00:00:55.000]  但如果我們用一個叫「和合本」的版本
[00:00:55.000 --> 00:01:00.000]  這個字就是「厚」字邊一個「亥」字
[00:01:00.000 --> 00:01:03.000]  有沒有電影節目的朋友懂得讀這個字?
[00:01:03.000 --> 00:01:08.000]  「厚」字邊有一個「亥」,即是有「亥」的「亥」字
[00:01:08.000 --> 00:01:10.000]  應該怎樣讀這個字?
[00:01:10.000 --> 00:01:17.000]  有些人說「亥」,有邊讀邊
[00:01:17.000 --> 00:01:23.000]  這個字其實是一種表達的意思,心裡
[00:01:23.000 --> 00:01:27.000]  大概的意思就是
[00:01:27.000 --> 00:01:30.000]  我自小在家裡成長的時候
[00:01:30.000 --> 00:01:34.000]  我爸爸不讓我們在家裡鞋
[00:01:34.000 --> 00:01:40.000]  他說你天天在鞋生,鞋到壞了
[00:01:40.000 --> 00:01:42.000]  不過其實原來鞋鞋都挺舒服的
[00:01:42.000 --> 00:01:48.000]  不如我們試試一起鞋一鞋
[00:01:48.000 --> 00:01:50.000]  鞋要怎麼讀呢?
[00:01:50.000 --> 00:01:54.000]  雖然不是一個字,是一個心情的表達
[00:01:54.000 --> 00:02:00.000]  其實這個日程裡,有很多事情困擾我們
[00:02:00.000 --> 00:02:04.000]  或者我們心裡有很多掛念的事情
[00:02:04.000 --> 00:02:07.000]  真的都挺粗糙的
[00:02:07.000 --> 00:02:12.000]  我們試試整段經文只讓你讀這個字
[00:02:12.000 --> 00:02:14.000]  其他的就由我讀
[00:02:14.000 --> 00:02:16.000]  你只有一個機會讀這個字
[00:02:16.000 --> 00:02:19.000]  你就好好盡情去讀這個字
[00:02:19.000 --> 00:02:22.000]  好能夠表達到裡面的神髓才行
[00:02:22.000 --> 00:02:24.000]  我們三聲一起讀這個字
[00:02:24.000 --> 00:02:26.000]  如果讀得不好,我們要再讀
[00:02:26.000 --> 00:02:28.000]  1,2,3
[00:02:28.000 --> 00:02:30.000]  不行,不行
[00:02:30.000 --> 00:02:32.000]  沒那麼短的
[00:02:32.000 --> 00:02:36.000]  你要鞋,要鞋得給點時間,給點深度
[00:02:36.000 --> 00:02:38.000]  不是「哎」就算了
[00:02:38.000 --> 00:02:41.000]  我們試試吧
[00:02:41.000 --> 00:02:44.000]  我們一起,預備
[00:02:44.000 --> 00:02:51.000]  你們有話說,有人這樣說
[00:02:51.000 --> 00:02:55.000]  今天或者明天我們要往某城裡去
[00:02:55.000 --> 00:02:59.000]  在那裡要住一年,做買賣,來賺錢
[00:02:59.000 --> 00:03:05.000]  然後十四節呢
[00:03:05.000 --> 00:03:09.000]  十四節就說,其實明天是怎樣
[00:03:09.000 --> 00:03:10.000]  你們都不知道
[00:03:10.000 --> 00:03:11.000]  我們都不知道
[00:03:11.000 --> 00:03:13.000]  我們的生命是什麼呢?
[00:03:13.000 --> 00:03:16.000]  原來我們的生命是一片雲霧
[00:03:16.000 --> 00:03:19.000]  出現片黑就沒有了
[00:03:19.000 --> 00:03:21.000]  然後十五節就說
[00:03:21.000 --> 00:03:24.000]  你們只能夠應當這樣說
[00:03:24.000 --> 00:03:28.000]  主若願意,我們就能夠活著
[00:03:28.000 --> 00:03:31.000]  也可做者是或作那是
[00:03:31.000 --> 00:03:33.000]  我們就先看到這裡
[00:03:33.000 --> 00:03:35.000]  我們就回到第十三節
[00:03:35.000 --> 00:03:37.000]  在十三節裡頭一開始
[00:03:37.000 --> 00:03:44.000]  人生就好像聖經裡頭有一個叫摩西
[00:03:44.000 --> 00:03:47.000]  他曾經在一篇詩篇裡也是這樣說
[00:03:47.000 --> 00:03:51.000]  他說人生一般就是七十歲
[00:03:51.000 --> 00:03:54.000]  強壯就是八十歲
[00:03:54.000 --> 00:03:56.000]  八十歲就很精神
[00:03:56.000 --> 00:03:58.000]  不過現在八十歲可能還不夠
[00:03:58.000 --> 00:04:00.000]  現在一百二十歲
[00:04:00.000 --> 00:04:02.000]  很強壯
[00:04:02.000 --> 00:04:05.000]  不過這幾十年的人生裡頭
[00:04:05.000 --> 00:04:07.000]  你能夠跨過什麼呢?
[00:04:07.000 --> 00:04:08.000]  你的人生是什麼呢?
[00:04:08.000 --> 00:04:11.000]  你的人生就是「日盛歎息」
[00:04:11.000 --> 00:04:13.000]  就是這個字
[00:04:13.000 --> 00:04:15.000]  你的人生是什麼?
[00:04:15.000 --> 00:04:17.000]  你用這個字來形容一下
[00:04:17.000 --> 00:04:20.000]  就是我的人生
[00:04:20.000 --> 00:04:22.000]  在這一節聖經說到
[00:04:22.000 --> 00:04:27.000]  我們人生裡頭都有一些計劃
[00:04:27.000 --> 00:04:29.000]  我們一般的人有計劃
[00:04:29.000 --> 00:04:33.000]  他說今天、明天我要去某個城
[00:04:33.000 --> 00:04:36.000]  某個城不是說不知道去哪個
[00:04:36.000 --> 00:04:38.000]  不過出門口之後
[00:04:38.000 --> 00:04:40.000]  前後左右
[00:04:40.000 --> 00:04:42.000]  想走哪一邊就走哪一邊
[00:04:42.000 --> 00:04:44.000]  去到哪個就哪個
[00:04:44.000 --> 00:04:46.000]  某個城是有目標的
[00:04:46.000 --> 00:04:48.000]  他是有計劃的
[00:04:48.000 --> 00:04:50.000]  去過城做什麼呢?
[00:04:50.000 --> 00:04:52.000]  不知道,去到有什麼做就做什麼
[00:04:52.000 --> 00:04:54.000]  不是,他去過做買賣
[00:04:54.000 --> 00:04:56.000]  做什麼事做買賣呢?
[00:04:56.000 --> 00:04:58.000]  沒什麼做就做買賣
[00:04:58.000 --> 00:05:00.000]  又不是,他有個目標的
[00:05:00.000 --> 00:05:02.000]  他要賺錢
[00:05:02.000 --> 00:05:04.000]  這個人就算不錯了
[00:05:04.000 --> 00:05:06.000]  他人生是有目標的
[00:05:06.000 --> 00:05:08.000]  他向著目標去奮進
[00:05:08.000 --> 00:05:10.000]  那有什麼問題呢?
[00:05:10.000 --> 00:05:14.000]  我們說如果一個人有目標
[00:05:14.000 --> 00:05:18.000]  但是當然不擔保你一定成功
[00:05:18.000 --> 00:05:21.000]  不過如果你沒有目標的話
[00:05:21.000 --> 00:05:25.000]  你的人生可能都不是最理想了
[00:05:25.000 --> 00:05:31.000]  我認識一個女孩子
[00:05:31.000 --> 00:05:35.000]  她讀書都很厲害
[00:05:35.000 --> 00:05:39.000]  到最後她就讀了法律系
[00:05:39.000 --> 00:05:43.000]  她又讀到,讀到很好的成績
[00:05:43.000 --> 00:05:45.000]  為什麼她讀法律呢?
[00:05:45.000 --> 00:05:48.000]  因為她父母上她讀
[00:05:48.000 --> 00:05:50.000]  接著她真的讀
[00:05:50.000 --> 00:05:53.000]  問她你為什麼要選這一科
[00:05:53.000 --> 00:05:56.000]  她說因為母親喜歡這一科
[00:05:56.000 --> 00:05:58.000]  我就為她讀
[00:05:58.000 --> 00:06:02.000]  兒女這樣都挺好的
[00:06:02.000 --> 00:06:04.000]  你為什麼要這樣做
[00:06:04.000 --> 00:06:06.000]  我為了父母去做
[00:06:06.000 --> 00:06:09.000]  其實某程度是開心的
[00:06:09.000 --> 00:06:11.000]  不過其實聽起來又有點不開心
[00:06:11.000 --> 00:06:13.000]  因為到她畢業的時候
[00:06:13.000 --> 00:06:16.000]  她拿了一張畢業證書
[00:06:16.000 --> 00:06:18.000]  她就拿給她媽媽
[00:06:18.000 --> 00:06:21.000]  你要的東西我幫你拿了
