
[00:00:00.000 --> 00:00:04.400]  門徒原來有分真與假的
[00:00:04.400 --> 00:00:07.400]  門徒也有分真與假?
[00:00:07.400 --> 00:00:08.900]  我記得我上次說
[00:00:08.900 --> 00:00:11.700]  有一些名牌的東西
[00:00:11.700 --> 00:00:12.900]  就會怎樣?
[00:00:12.900 --> 00:00:14.600]  有冒牌的
[00:00:14.600 --> 00:00:18.100]  你如果那些賣十多元一個的袋子
[00:00:18.100 --> 00:00:21.200]  譬如說你有個袋子
[00:00:21.200 --> 00:00:22.900]  皮袋什麼袋子handbag
[00:00:22.900 --> 00:00:25.900]  我見到
[00:00:25.900 --> 00:00:27.100]  葉太
[00:00:27.100 --> 00:00:28.600]  又忘記他叫什麼名字
[00:00:28.600 --> 00:00:30.000]  你是不是有個袋子在這裡?
[00:00:30.000 --> 00:00:33.400]  可不可以拿你的袋子舉起?
[00:00:33.400 --> 00:00:35.000]  這個袋子
[00:00:35.000 --> 00:00:37.000]  我不知道是什麼袋子
[00:00:37.000 --> 00:00:39.500]  假設這個袋子
[00:00:39.500 --> 00:00:44.000]  是十五元在花園街買的
[00:00:44.000 --> 00:00:46.600]  你猜會不會有人把他這個袋子
[00:00:46.600 --> 00:00:49.000]  走去冒牌來做?
[00:00:49.000 --> 00:00:49.700]  是不是?
[00:00:49.700 --> 00:00:51.200]  浪費唇舌
[00:00:51.200 --> 00:00:54.400]  給你賺的都是十五元
[00:00:54.400 --> 00:00:56.400]  一定這些不簡單
[00:00:56.400 --> 00:00:57.200]  這個袋子可能
[00:00:57.200 --> 00:00:58.400]  假設這個袋子
[00:00:58.400 --> 00:01:00.400]  是值十五萬
[00:01:00.400 --> 00:01:03.000]  牧師你有沒有誇張一點?
[00:01:03.000 --> 00:01:04.000]  我告訴你
[00:01:04.000 --> 00:01:05.200]  我講得很誇張給你聽
[00:01:05.200 --> 00:01:06.600]  最近我才聽到一個人
[00:01:06.600 --> 00:01:08.800]  幫人剪頭髮
[00:01:08.800 --> 00:01:10.600]  兩萬多元一收
[00:01:10.600 --> 00:01:12.800]  你信不信?
[00:01:12.800 --> 00:01:14.800]  有沒有聽過?
[00:01:14.800 --> 00:01:17.000]  有沒有聽過?
[00:01:17.000 --> 00:01:18.600]  後面的Emily都聽過
[00:01:18.600 --> 00:01:20.000]  你都沒聽過
[00:01:20.000 --> 00:01:21.400]  你一會兒轉身問
[00:01:21.400 --> 00:01:21.800]  是真的
[00:01:21.800 --> 00:01:23.500]  我問過兩個髮型師
[00:01:23.500 --> 00:01:24.200]  一個我認識
[00:01:24.200 --> 00:01:26.000]  一個我不認識
[00:01:26.000 --> 00:01:27.500]  他說真的
[00:01:27.500 --> 00:01:28.800]  是外國人
[00:01:28.800 --> 00:01:31.200]  剪頭髮是要兩萬多元的
[00:01:31.200 --> 00:01:33.100]  有些高官就找他剪
[00:01:33.100 --> 00:01:34.900]  我心想兩萬多元
[00:01:34.900 --> 00:01:35.800]  不要說兩萬多元
[00:01:35.800 --> 00:01:36.600]  兩千多元
[00:01:36.600 --> 00:01:37.200]  兩百多元
[00:01:37.200 --> 00:01:37.900]  我都嫌貴
[00:01:37.900 --> 00:01:39.400]  我這個三十元而已
[00:01:39.400 --> 00:01:40.800]  頭髮好
[00:01:40.800 --> 00:01:41.600]  就剪得好
[00:01:41.600 --> 00:01:44.000]  頭帽你怎麼剪都不好
[00:01:44.000 --> 00:01:45.400]  對不對?
[00:01:45.400 --> 00:01:46.100]  是不是?
[00:01:46.100 --> 00:01:51.500]  中國人有句話叫「醜」
[00:01:51.500 --> 00:01:53.500]  五個字
[00:01:53.500 --> 00:01:55.500]  誰說的?
[00:01:55.500 --> 00:01:58.100]  又是你嗎?
[00:01:58.100 --> 00:02:00.100]  醜人多八卦
[00:02:00.100 --> 00:02:02.400]  我們中國人說的話
[00:02:02.400 --> 00:02:04.900]  是近乎真理的
