
[00:00:00.000 --> 00:00:03.760]  今天的講題是「祈禱定存亡」
[00:00:03.760 --> 00:00:05.520]  是一個問號
[00:00:05.520 --> 00:00:07.520]  問號是要我們思考
[00:00:07.520 --> 00:00:12.440]  是不是祈禱決定我們的生與死
[00:00:12.440 --> 00:00:15.120]  存活還是死亡呢?
[00:00:15.120 --> 00:00:19.720]  究竟人在甚麼時候會切切地向神禱告呢?
[00:00:19.720 --> 00:00:23.840]  請問你在甚麼時候會切切地向神禱告呢?
[00:00:23.840 --> 00:00:26.480]  從經驗所知
[00:00:26.480 --> 00:00:29.200]  我們切切地向神祈禱的時候
[00:00:29.200 --> 00:00:31.080]  就是當我們自己
[00:00:31.080 --> 00:00:33.840]  或者我們摯愛的親朋好友
[00:00:33.840 --> 00:00:36.440]  面臨重大關頭的時候
[00:00:36.440 --> 00:00:38.440]  有些重要的事情發生
[00:00:38.440 --> 00:00:40.440]  我們就會切切地禱告
[00:00:40.440 --> 00:00:42.840]  在我家裡有很多事情發生
[00:00:42.840 --> 00:00:44.840]  大家已經聽過無數次了
[00:00:44.840 --> 00:00:47.760]  回想起來也有很多重大的事情
[00:00:47.760 --> 00:00:49.280]  我們也會切切地禱告
[00:00:49.280 --> 00:00:51.480]  上個月曾經跟大家說
[00:00:51.480 --> 00:00:53.400]  我二甥女她發信息
[00:00:53.400 --> 00:00:55.120]  叫我們為她們祈禱
[00:00:55.120 --> 00:00:58.240]  因為她丈夫腦中風出血
[00:00:58.240 --> 00:00:59.240]  昏迷
[00:00:59.240 --> 00:01:01.640]  所以我們切切地禱告求神醫治
[00:01:01.640 --> 00:01:04.280]  去年大姐夫在遊艇上工作
[00:01:04.280 --> 00:01:06.280]  他有嚴重的燒傷
[00:01:06.280 --> 00:01:09.240]  我們又切切地禱告求神醫治
[00:01:09.240 --> 00:01:12.480]  去年年尾大姐夫的媽媽心臟衰竭
[00:01:12.480 --> 00:01:14.800]  我們去到醫院門外
[00:01:14.800 --> 00:01:17.520]  我們切切地禱告求神醫治
[00:01:17.520 --> 00:01:21.800]  到姐姐和姪女發現患癌症
[00:01:21.800 --> 00:01:23.240]  他們要做手術
[00:01:23.240 --> 00:01:25.800]  我們在他們手術期間
[00:01:25.800 --> 00:01:27.480]  又切切地禱告
[00:01:27.480 --> 00:01:29.120]  媽媽幾次大病
[00:01:29.120 --> 00:01:32.520]  醫生也說你們要做好心理準備
[00:01:32.520 --> 00:01:34.840]  在期間我們也切切地禱告
[00:01:34.840 --> 00:01:36.040]  求神保守
[00:01:36.040 --> 00:01:38.040]  媽媽能夠脫離危險
[00:01:38.040 --> 00:01:40.520]  到弟弟和二甥女面對重大的打擊
[00:01:40.520 --> 00:01:42.280]  他們企圖
[00:01:42.280 --> 00:01:45.720]  甚至有行動了結自己的生命
[00:01:45.720 --> 00:01:48.200]  我們在期間切切地禱告
[00:01:48.200 --> 00:01:49.640]  求神保守他們的性命
[00:01:49.640 --> 00:01:51.760]  醫治他們的傷痛
[00:01:51.760 --> 00:01:54.080]  祈禱之後結果是怎樣的呢?
[00:01:54.080 --> 00:01:56.760]  在我剛才所舉的事情
[00:01:56.760 --> 00:01:59.480]  都是有著自己很大的憐憫恩典
[00:01:59.480 --> 00:02:02.480]  我們所求的都是得蒙英允
[00:02:02.480 --> 00:02:05.720]  家人總算是大步難過
[00:02:05.720 --> 00:02:07.400]  但在我不少的經驗
[00:02:07.400 --> 00:02:10.800]  甚至特別是面對弟兄姊妹的時候
[00:02:10.800 --> 00:02:14.760]  很多時候我們的祈禱都是沒有蒙英允
[00:02:14.760 --> 00:02:17.360]  就算我們極力切切地禱告
