
[00:00:00.000 --> 00:00:04.000]  不知廬山真面目,只緣身在此山中。
[00:00:04.000 --> 00:00:11.000]  在1982年,當時我仍然在窩福侍奉。
[00:00:11.000 --> 00:00:15.000]  教會給我有機會去美國進修,
[00:00:15.000 --> 00:00:19.000]  所以我自己一個人隻身去到美國。
[00:00:19.000 --> 00:00:22.000]  臨上機的時候,當時我的子女還很小,
[00:00:22.000 --> 00:00:25.000]  海頌就跟我說,Daddy你就好了,
[00:00:25.000 --> 00:00:30.000]  你坐飛機你就幸運了。她不太明白我當時的心情。
[00:00:30.000 --> 00:00:35.000]  離開一家大小,隻身到洋,一個人去到美國,
[00:00:35.000 --> 00:00:39.000]  三個多月,不是一件容易的事,
[00:00:39.000 --> 00:00:42.000]  尤其是對我這樣的人來說。
[00:00:42.000 --> 00:00:48.000]  飛機當時很多人,很多都是來香港或者去新加坡度假,
[00:00:48.000 --> 00:00:51.000]  然後回美國的一些遊客。
[00:00:51.000 --> 00:00:56.000]  他們指指針針吵,但我覺得自己很孤單,
[00:00:56.000 --> 00:01:00.000]  一個人在裡面,不敢流出眼淚。
[00:01:00.000 --> 00:01:04.000]  十幾個小時的旅程,哭了十幾次。
[00:01:04.000 --> 00:01:11.000]  我想我是一個很過份保護的丈夫和爸爸。
[00:01:11.000 --> 00:01:15.000]  現在太太不在,子女不在,
[00:01:15.000 --> 00:01:19.000]  我又隔得他們那麼遠,想幫都幫不到,
[00:01:19.000 --> 00:01:22.000]  保護都保護不到,
[00:01:22.000 --> 00:01:26.000]  甚至自己一個人保護自己都保護不到。
[00:01:26.000 --> 00:01:30.000]  我記得臨上機前一晚,我們有家庭聚會,
[00:01:30.000 --> 00:01:34.000]  我女兒凱欣當時小學,我都不知道幾年級,
[00:01:34.000 --> 00:01:37.000]  總之是很小的時候,求主幫助Daddy,
[00:01:37.000 --> 00:01:39.000]  在空中飛機不會掉下海,
[00:01:39.000 --> 00:01:44.000]  那些祈禱令人很危險。
[00:01:44.000 --> 00:01:50.000]  事實上自己保護都保護不到,
[00:01:50.000 --> 00:01:52.000]  怎樣去保護其他人呢?
[00:01:52.000 --> 00:01:54.000]  但這幾個月在美國,
[00:01:54.000 --> 00:01:59.000]  自己一個人可以說是我的人生轉移點。
[00:01:59.000 --> 00:02:05.000]  跟我同房是一個在巴黎來的黑人同學,
[00:02:05.000 --> 00:02:09.000]  很有趣,每天我們兩個在一起的時候,
[00:02:09.000 --> 00:02:11.000]  當然拿手錶來看一看,
[00:02:11.000 --> 00:02:14.000]  我就說我太太現在在香港幾點鐘,
[00:02:14.000 --> 00:02:16.000]  她在做些什麼,我的子女在做些什麼,
[00:02:16.000 --> 00:02:19.000]  然後看手錶,我太太在巴黎在做些什麼,
