
[00:00:00.000 --> 00:00:03.000]  (主席)我們先分析一下上個星期的金句
[00:00:03.000 --> 00:00:06.000]  提摩太前書二章五節,看看有多少人懂得背
[00:00:06.000 --> 00:00:07.000]  1,2,3
[00:00:07.000 --> 00:00:19.000]  「這真理就是說,只有一位上帝,在上帝和人中間有一個中間人,就是成為人的基督耶穌」
[00:00:19.000 --> 00:00:24.000]  拿出兩隻手指,一位神,一位中間人
[00:00:24.000 --> 00:00:30.000]  由於只有一位中間人,能夠幫助我們成為上帝的兒女
[00:00:30.000 --> 00:00:39.000]  我們已經認識了主的人,就有責任將這個真理跟我們的親戚朋友分享
[00:00:39.000 --> 00:00:43.000]  正如保羅在《廣林多後書》五章十九節所說
[00:00:43.000 --> 00:00:50.000]  「並且把他與人和好的信息托付了我們」
[00:00:50.000 --> 00:00:56.000]  所有信耶穌的人,包括在我們裡面
[00:00:56.000 --> 00:01:01.000]  所以鼓勵弟兄姐妹,不單要記得聖經中一個重要的真理
[00:01:01.000 --> 00:01:10.000]  「只有一位上帝,在上帝和人之間只有一位中間人,就是成為人的基督耶穌」
[00:01:10.000 --> 00:01:16.000]  我們還要記得要傳這個信息的責任,是已經托付了給我們
[00:01:16.000 --> 00:01:23.000]  上星期有鄧若漢弟兄來跟我們分享《約翰福音》三章十六節
[00:01:23.000 --> 00:01:32.000]  讓我們知道上帝拯救我們的目的,就是要我們不致滅亡,反得永生
[00:01:32.000 --> 00:01:39.000]  鄧弟兄就去了穆斯林的世界,跟不同信仰的人去傳講上帝的愛
[00:01:39.000 --> 00:01:46.000]  今天我們要繼續看文素記第二十五章,這次是最後一次看文素記
[00:01:46.000 --> 00:01:51.000]  文素記不是停在二十五章,而是在二十六至三十六章
[00:01:51.000 --> 00:01:59.000]  那些經文主要是講獻祭、講攻打米顛人、約書亞接任摩西和分地
[00:01:59.000 --> 00:02:02.000]  很長的經文是講他們分土地
[00:02:02.000 --> 00:02:05.000]  我鼓勵弟兄姐妹自己回家看
[00:02:05.000 --> 00:02:09.000]  如果你有不明白的地方,可以去教會的網頁
[00:02:09.000 --> 00:02:13.000]  找每日敬拜輔助,看看能不能幫助你
[00:02:13.000 --> 00:02:17.000]  如果真的有問題解決不了,你可以來問我
[00:02:17.000 --> 00:02:22.000]  二十五章之前有二十二章至二十四章
[00:02:22.000 --> 00:02:29.000]  希望大家記得那幾章聖經是講到摩訶人的王巴勒
[00:02:29.000 --> 00:02:35.000]  他是想借助靈界的力量去攻擊以色列人
[00:02:35.000 --> 00:02:43.000]  所以他們找了一位很有名氣的巴蘭先知去幫助他救助以色列人
[00:02:43.000 --> 00:02:49.000]  誰知道這位巴蘭先知的能力其實是來自上主的
[00:02:49.000 --> 00:03:00.000]  上主不但不容許他去救助以色列人,他反而在三次的預言中救助了摩訶人
[00:03:00.000 --> 00:03:06.000]  結果巴蘭很生氣地把巴蘭趕回家
[00:03:06.000 --> 00:03:18.000]  二十五章記載的事件表面上和巴蘭救助以色列人那件事沒有什麼關係
[00:03:18.000 --> 00:03:22.000]  經文的銜接性好像也不是很高
[00:03:22.000 --> 00:03:29.000]  但是在文數的三十一章十六節就記載了摩西的說話
[00:03:29.000 --> 00:03:43.000]  「要知道就是這些女人聽了巴蘭的話,再批以引誘人民背叛上主,使上主的子民遭遇瘟疫」
[00:03:43.000 --> 00:03:47.000]  巴蘭是一位認識上帝的人
[00:03:47.000 --> 00:03:56.000]  上帝也給了他一個特殊的能力,使他所說的預言是會準確地應驗
[00:03:56.000 --> 00:04:01.000]  但是巴蘭真是財迷心竅
[00:04:01.000 --> 00:04:07.000]  被上帝阻了他的財路之後,大概他心有不甘
[00:04:07.000 --> 00:04:18.000]  他就為巴蘭出謀劃策,使以色列人自己去招惹上帝的懲罰
[00:04:18.000 --> 00:04:23.000]  巴蘭在這件事上得到多少報酬我們不知道
[00:04:23.000 --> 00:04:30.000]  但是他所出的詭計就是華人都很熟悉的美人計
[00:04:30.000 --> 00:04:37.000]  正所謂英雄難過美人關,這一計果然湊巧
[00:04:37.000 --> 00:04:43.000]  第一節說有些以色列人跟那裡的摩訶女人行淫
[00:04:43.000 --> 00:04:50.000]  這些以色列人不是普通的百姓,而是民眾的領袖
[00:04:50.000 --> 00:04:58.000]  在十四節至十五節提到那位被殺的以色列人是西勉之族裡一個家族的族長
[00:04:58.000 --> 00:05:03.000]  而那位米顛女人也是有身份的
[00:05:03.000 --> 00:05:09.000]  因為她的爸爸是米顛一個部族的首領
[00:05:09.000 --> 00:05:13.000]  為什麼聖經要將這些細節告訴我們呢?
[00:05:13.000 --> 00:05:18.000]  我相信這個跟美人計的策略是有關的
[00:05:18.000 --> 00:05:21.000]  從這個記載看起來
[00:05:21.000 --> 00:05:27.000]  那些摩訶人跟米顛人可能是派一些有身份的美女
[00:05:27.000 --> 00:05:32.000]  去拜訪以色列人的族長
[00:05:32.000 --> 00:05:36.000]  將他們捧成外國元首一樣
[00:05:36.000 --> 00:05:43.000]  然後邀請那些族長來參加我們的祭神慶典
[00:05:43.000 --> 00:05:49.000]  祭完神之後再引誘他們行淫
[00:05:49.000 --> 00:05:53.000]  所以這些以色列人不單止犯了一條界命
[00:05:53.000 --> 00:05:56.000]  他們是犯了十誡中的兩條界命
[00:05:56.000 --> 00:06:02.000]  就是不可拜偶像和不可姦淫
[00:06:02.000 --> 00:06:04.000]  當他們這樣做的時候
[00:06:04.000 --> 00:06:05.000]  第三節說
[00:06:05.000 --> 00:06:08.000]  上主向他們發怒
[00:06:08.000 --> 00:06:10.000]  在文數記當中
[00:06:10.000 --> 00:06:14.000]  我們看到以色列人時時的冒犯上主
[00:06:14.000 --> 00:06:17.000]  而上主都一定發怒
[00:06:17.000 --> 00:06:19.000]  當上主發怒的時候
[00:06:19.000 --> 00:06:22.000]  他就一定會審判那些以色列人
[00:06:22.000 --> 00:06:24.000]  懲罰他們
[00:06:24.000 --> 00:06:28.000]  這一次都沒有例外
[00:06:28.000 --> 00:06:29.000]  在第八節說
[00:06:29.000 --> 00:06:33.000]  那禍害以色列人的瘟疫就停止了
[00:06:33.000 --> 00:06:35.000]  從這句說話看起來
[00:06:35.000 --> 00:06:40.000]  其實上帝已經是使瘟疫在以色列人中間傳開
[00:06:40.000 --> 00:06:44.000]  而在第四節上主吩咐摩西說
[00:06:44.000 --> 00:06:45.000]  你要按照我的話
[00:06:45.000 --> 00:06:48.000]  在日光之下處死以色列的首領們
[00:06:48.000 --> 00:06:52.000]  我就不再向人民發怒
[00:06:52.000 --> 00:06:53.000]  換句話說
[00:06:53.000 --> 00:06:55.000]  上主這一次的發怒
