
[00:00:00.000 --> 00:00:02.860]  第一節目早晨,基隆姊妹早
[00:00:02.860 --> 00:00:06.920]  那你見到我呢,就一定知道我是講以斯拉記的
[00:00:06.920 --> 00:00:09.500]  當然見到我應該都知道我要講以斯拉記了
[00:00:09.500 --> 00:00:16.560]  當你活了三十年,四十年,在世界上面,那些日子
[00:00:16.560 --> 00:00:19.560]  有沒有一個人在你身邊經過的時候
[00:00:19.560 --> 00:00:22.720]  他行事為人,待人接物,是影響著你的呢?
[00:00:22.720 --> 00:00:26.720]  當你活在世上三四十年的時候,有沒有想起一個人在你身邊
[00:00:26.720 --> 00:00:30.280]  他的行事為人,讓你有印象呢?
[00:00:30.280 --> 00:00:32.280]  影響到你的
[00:00:32.280 --> 00:00:36.320]  中一的時候,其實我是頗頑皮的小朋友
[00:00:36.320 --> 00:00:38.840]  以前我是一個很頑皮的小朋友
[00:00:38.840 --> 00:00:39.800]  但是不是壞
[00:00:39.800 --> 00:00:40.840]  但是不是壞
[00:00:40.840 --> 00:00:44.240]  那我升中一的時候,就去到新學校,新環境
[00:00:44.240 --> 00:00:47.000]  到初中的時候,我上到新的學校,新的環境
[00:00:47.000 --> 00:00:51.720]  那我開學的時候,我就踢傷了一個女同學
[00:00:51.720 --> 00:00:54.160]  我開學的時候,就踢傷了一個女同學
[00:00:54.160 --> 00:00:55.080]  都是玩
[00:00:55.080 --> 00:00:56.080]  當然只是玩一玩
[00:00:56.080 --> 00:01:00.680]  但是都很大件事,因為被召去見老師,問什麼事
[00:01:00.680 --> 00:01:02.480]  因為這個事情就很麻煩
[00:01:02.480 --> 00:01:05.120]  就是被召去見老師,問到底發生什麼事情
[00:01:05.120 --> 00:01:07.760]  我們那時候中學是會踢人出校的
[00:01:07.760 --> 00:01:09.600]  我那時候中學會被踢出校的
[00:01:09.600 --> 00:01:10.360]  現在不行的
[00:01:10.360 --> 00:01:11.920]  現在不行了
[00:01:11.920 --> 00:01:14.680]  所以就很害怕,因為踢出校,就不知道要讀哪一間學校
[00:01:14.680 --> 00:01:17.920]  因為被踢出校,就不知道要去哪裡念書了
[00:01:17.920 --> 00:01:19.920]  所以那個事情後來就平息了
[00:01:19.920 --> 00:01:21.680]  後來那件事情平息了
[00:01:21.680 --> 00:01:26.040]  讀中二那年,我開始想立志做好學生
[00:01:26.040 --> 00:01:29.400]  讀中二那年,我開始想立志做好學生
[00:01:29.400 --> 00:01:31.480]  我看到有一個女同學
[00:01:31.480 --> 00:01:33.800]  同班的女同學
[00:01:33.800 --> 00:01:35.880]  兩年都考第一的
[00:01:35.880 --> 00:01:37.960]  兩年她都考第一的
[00:01:37.960 --> 00:01:39.160]  我很羨慕她
[00:01:39.160 --> 00:01:40.000]  我很羨慕她
[00:01:40.000 --> 00:01:41.720]  我就想學她
[00:01:41.720 --> 00:01:42.520]  我就學她
[00:01:42.520 --> 00:01:45.320]  我看到她上課,她就坐得很直
[00:01:45.320 --> 00:01:47.000]  我看到她上課的時候,她坐得很直
[00:01:47.000 --> 00:01:48.840]  然後把兩手放在大腿那裡
