
[00:00:00.000 --> 00:00:02.000]  各位鼎姐妹平安
[00:00:02.000 --> 00:00:04.860]  在今年5月至8月
[00:00:04.860 --> 00:00:07.080]  在這段暑假期間
[00:00:07.080 --> 00:00:09.840]  某個機構做了一個統計
[00:00:09.840 --> 00:00:13.880]  這項統計是要找出亞洲的青少年
[00:00:13.880 --> 00:00:16.060]  他們快樂的指數
[00:00:16.060 --> 00:00:18.640]  被訪問的地區
[00:00:18.640 --> 00:00:22.400]  包括香港、澳門、新加坡、臺灣等等10個地區
[00:00:22.400 --> 00:00:23.540]  結果
[00:00:23.540 --> 00:00:25.540]  臺灣排第一
[00:00:25.540 --> 00:00:30.060]  表示臺灣的青少年覺得自己非常快樂
[00:00:30.060 --> 00:00:32.820]  而香港排第三
[00:00:32.820 --> 00:00:38.040]  剛剛高過澳門和馬來西亞的青少年
[00:00:38.040 --> 00:00:41.180]  不知道在座各位青少年
[00:00:41.180 --> 00:00:44.120]  或者在座的大家
[00:00:44.120 --> 00:00:46.120]  你們快不快樂呢?
[00:00:46.120 --> 00:00:48.860]  你們喜不喜樂呢?
[00:00:48.860 --> 00:00:53.640]  你可能會問快樂和喜樂有什麼不同呢?
[00:00:53.640 --> 00:00:58.760]  爲什麼基督教刻意要用一個喜樂呢?
[00:00:58.760 --> 00:01:00.760]  有人說快樂是快樂
[00:01:00.760 --> 00:01:02.760]  當然是快賞快樂
[00:01:02.760 --> 00:01:06.960]  而喜樂只是會一直起,不會跌
[00:01:06.960 --> 00:01:09.600]  所以兩者是不同的
[00:01:09.600 --> 00:01:12.620]  當然我們也知道這兩者源於
[00:01:12.620 --> 00:01:16.300]  快樂其實是由物質世界而來的
[00:01:16.300 --> 00:01:20.040]  而喜樂只能夠從上帝而來
[00:01:20.040 --> 00:01:23.240]  這就是神級喜樂
[00:01:23.240 --> 00:01:25.240]  遇過車禍的我很清楚
[00:01:25.240 --> 00:01:27.240]  這種神級喜樂
[00:01:27.240 --> 00:01:33.280]  是源於那種超越人能所瞭解的平安在我們心裏
[00:01:33.280 --> 00:01:34.780]  所以聖經告訴我們
