
[00:00:00.000 --> 00:00:03.300]  剛才唱的詩歌是說到
[00:00:03.300 --> 00:00:05.740]  上帝的愛總是不離不棄
[00:00:05.740 --> 00:00:07.500]  剛才唱的詩歌是講到
[00:00:07.500 --> 00:00:09.340]  上帝的愛是不離不棄
[00:00:09.340 --> 00:00:13.160]  祂的憐憫如江河湧流
[00:00:13.160 --> 00:00:15.040]  祂的憐憫如江河湧流
[00:00:15.040 --> 00:00:18.440]  我想這個是成為我們最大的安慰和力量
[00:00:18.440 --> 00:00:21.000]  這個我相信是成為我們最大的安慰和力量
[00:00:21.000 --> 00:00:25.300]  送給在我們家裏同心抗疫的弟兄姊妹
[00:00:25.300 --> 00:00:28.540]  送給我們大家在家裏面同心抗疫的弟兄姊妹
[00:00:28.540 --> 00:00:34.200]  今天早上我就會完成《楊福音七個我事》的最後一個
[00:00:34.200 --> 00:00:38.040]  今天我就要完成《楊福音七個我事》的最後一個
[00:00:38.040 --> 00:00:45.500]  香港就被譽為全球工作量最長時間之一的地區
[00:00:45.500 --> 00:00:51.100]  香港被歸為一個工作時間最長的地方之一
[00:00:51.100 --> 00:00:56.140]  我剛剛在十年前我在美國回來的時候
[00:00:56.140 --> 00:00:58.940]  在十年前我從美國回來香港侍奉的時候
[00:00:58.940 --> 00:01:03.840]  我侍奉的教會當時平均一個星期是60個小時
[00:01:03.840 --> 00:01:08.440]  當時我侍奉的教會平均一個星期是侍奉60個小時
[00:01:08.440 --> 00:01:12.100]  早上8點到晚上10點
[00:01:12.100 --> 00:01:15.940]  一個星期六天的拼搏
[00:01:15.940 --> 00:01:19.100]  放假那天就睡在床上去回氣
[00:01:19.100 --> 00:01:23.600]  放假那天我就躺在床上休息回去
[00:01:23.600 --> 00:01:26.340]  我想匯總也不會比我好很多
[00:01:26.340 --> 00:01:28.400]  我相信匯總也不會比我好多少
[00:01:28.400 --> 00:01:30.740]  同樣都是5天6天的工作
[00:01:30.740 --> 00:01:32.900]  同樣也是5天到6天的工作
[00:01:32.900 --> 00:01:35.000]  星期天上教會聚會或者侍奉
[00:01:35.000 --> 00:01:38.600]  星期天到教會裏面去侍奉跟聚會
[00:01:38.600 --> 00:01:40.340]  有時間就整理一下家裏
[00:01:40.340 --> 00:01:41.800]  有時間就整理一下家裏
[00:01:41.800 --> 00:01:45.340]  星期一早上參加祈禱會
[00:01:45.340 --> 00:01:47.400]  星期一要參加禱告會
[00:01:47.400 --> 00:01:48.840]  跟著崇拜
[00:01:48.840 --> 00:01:49.900]  跟著崇拜
[00:01:49.900 --> 00:01:50.800]  然後主一行
[00:01:50.800 --> 00:01:51.840]  然後主務學
[00:01:51.840 --> 00:01:55.540]  接著今天還有Bonus聯席會議
[00:01:55.540 --> 00:01:58.340]  今天還有Bonus聯席會議
[00:01:58.340 --> 00:02:00.740]  開不完又沒有結果的會
[00:02:00.740 --> 00:02:02.440]  開不完又沒有結果的會
[00:02:02.440 --> 00:02:07.540]  在這裏我都順帶想請頂姐妹
[00:02:07.540 --> 00:02:09.940]  學懂欣賞我們幾位執事
[00:02:09.940 --> 00:02:12.980]  所以在這裏也請各位弟兄姊妹
[00:02:12.980 --> 00:02:15.240]  去學懂欣賞我們幾位的執事
[00:02:15.240 --> 00:02:18.940]  過去幾波的疫情裏面
[00:02:18.940 --> 00:02:20.740]  過去幾波的疫情裏面
[00:02:20.740 --> 00:02:23.140]  其實都是幾位的執事
[00:02:23.140 --> 00:02:26.640]  每個星期回來去承擔所有的責任
[00:02:26.640 --> 00:02:30.740]  其實都是幾位的執事回來承擔所有的責任
[00:02:30.740 --> 00:02:32.740]  你問他們怕不怕
