
[00:00:00.000 --> 00:00:01.000]  鼎智培平安
[00:00:01.000 --> 00:00:06.000]  很感恩又在這裏和大家分享
[00:00:06.000 --> 00:00:09.000]  今天回到教會,不知道你有沒有覺得什麼特別?
[00:00:09.000 --> 00:00:11.000]  有什麼特別?
[00:00:11.000 --> 00:00:14.000]  是幕,是不是有點特別?
[00:00:14.000 --> 00:00:19.000]  因為維修的緣故,今天沒有了幕,所以一開始就已經開始開了幕
[00:00:19.000 --> 00:00:22.000]  下個禮拜回來就會回到正常的情況
[00:00:22.000 --> 00:00:26.000]  除了幕比較特別之外,還有今天繼續在御虎旗紫色當中
[00:00:26.000 --> 00:00:29.000]  有鼎智培問,紫色是代表什麼意思呢?
[00:00:29.000 --> 00:00:30.000]  御虎旗是什麼意思呢?
[00:00:30.000 --> 00:00:34.000]  如果你早一點來崇拜,你會看到有些power point去介紹
[00:00:34.000 --> 00:00:38.000]  每一年去到這個日子是御虎旗,或者教會叫大齋旗
[00:00:38.000 --> 00:00:40.000]  象徵著我們預備我們的心
[00:00:40.000 --> 00:00:46.000]  因為很快就會迎見聖週,即是基督的最後一個星期受苦
[00:00:46.000 --> 00:00:50.000]  接著為我們釘新十字架,並且按照祂的應許去復活
[00:00:50.000 --> 00:00:54.000]  這個預備在受苦之前的四十天,不計星期天的話
[00:00:54.000 --> 00:00:56.000]  我們會有這個御虎旗
[00:00:56.000 --> 00:00:59.000]  在當中我們會多點去默想,多點去思考
[00:00:59.000 --> 00:01:02.000]  教會我們每個禮拜都會讀不同的聖經,對不對?
[00:01:02.000 --> 00:01:05.000]  有些頂章會又會問,有時候我們會聽到有書篇
[00:01:05.000 --> 00:01:07.000]  有舊約,有新約,有新書
[00:01:07.000 --> 00:01:10.000]  講到有時候又會銜接多一點,有時候又會少一點
[00:01:10.000 --> 00:01:11.000]  為什麼我們都會讀完呢?
[00:01:11.000 --> 00:01:14.000]  其實那個的內容我們叫做經課
[00:01:14.000 --> 00:01:16.000]  英文叫做Lationary,經課
[00:01:16.000 --> 00:01:20.000]  那是代表著我們一個周而復始,用教會年做單位
[00:01:20.000 --> 00:01:23.000]  每年由張南旗開始,一直去到現在的御虎旗
[00:01:23.000 --> 00:01:28.000]  接著就到復活旗,到聖靈降臨,聖靈降臨後等等的日子
[00:01:28.000 --> 00:01:30.000]  去整體地去認識整個的信仰
[00:01:30.000 --> 00:01:32.000]  三年一個周期
[00:01:32.000 --> 00:01:35.000]  如果你乖乖地回崇拜,坐足三年的話
[00:01:35.000 --> 00:01:36.000]  坐足五十二個禮拜
[00:01:36.000 --> 00:01:39.000]  大概你就將整個聖經由舊約有些印象
[00:01:39.000 --> 00:01:42.000]  當然沒辦法每一段都讀完,但是有些印象
[00:01:42.000 --> 00:01:46.000]  而每一年就會用不同的福音書作為核心
[00:01:46.000 --> 00:01:49.000]  由《馬太》、《馬可》和《盧鑑》
[00:01:49.000 --> 00:01:50.000]  今年其實是《馬可年》
[00:01:50.000 --> 00:01:52.000]  不過剛才聽到的是《約翰福音》
[00:01:52.000 --> 00:01:55.000]  因為《約翰福音》就會穿插在不同的特別紫色的節期
[00:01:55.000 --> 00:01:58.000]  你就會主要聽到《約翰福音》
[00:01:58.000 --> 00:02:00.000]  這個給大家一個背景去認識
[00:02:00.000 --> 00:02:03.000]  在今天的福音書裡面,有一節很重要
[00:02:03.000 --> 00:02:05.000]  亦都是很熟悉的經文
[00:02:05.000 --> 00:02:08.000]  是《約翰福音》三章十六節
[00:02:08.000 --> 00:02:09.000]  我想你都會背
[00:02:09.000 --> 00:02:10.000]  我們一起讀一次好不好
[00:02:10.000 --> 00:02:12.000]  《約翰福音》三章十六節,預備起
[00:02:12.000 --> 00:02:18.000]  上帝愛世人,甚至將他的獨生子賜給他們
[00:02:18.000 --> 00:02:23.000]  叫一切信他的,不致滅亡,反得永生
[00:02:23.000 --> 00:02:26.000]  這段聖經是我第一段學的聖經
[00:02:26.000 --> 00:02:29.000]  當我讀聖經書的時候,是中學初中的階段
