
[00:00:00.000 --> 00:00:03.720]  昨天我們有一個小組長的充電特會
[00:00:03.720 --> 00:00:04.560]  在中午的時候
[00:00:04.560 --> 00:00:08.000]  我們有一個非常精彩特別的餐會
[00:00:08.000 --> 00:00:10.840]  來款待每一位小組長
[00:00:10.840 --> 00:00:14.720]  每一位曲目都打上黑色的領結
[00:00:14.720 --> 00:00:16.080]  我們是服務生
[00:00:16.080 --> 00:00:20.080]  親自來服務在座的每一位小組同工
[00:00:20.080 --> 00:00:24.800]  我們送菜 倒茶 端盤 收盤
[00:00:24.800 --> 00:00:27.520]  我相信每一個參加的小組同工
[00:00:27.520 --> 00:00:31.640]  在聚會當中都有被充電的感覺
[00:00:31.640 --> 00:00:34.760]  最後當然壓軸節目就是
[00:00:34.760 --> 00:00:39.160]  跟我跟劉師母合照
[00:00:39.160 --> 00:00:41.600]  有人問說隊伍這麼長
[00:00:41.600 --> 00:00:43.120]  要照這麼久
[00:00:43.120 --> 00:00:46.360]  牧師你的臉有沒有笑漿啊
[00:00:46.360 --> 00:00:48.320]  其實沒有
[00:00:48.320 --> 00:00:51.800]  因為當我看見這些年神賜給我們
[00:00:51.800 --> 00:00:54.440]  這麼多好同工一起配搭
[00:00:54.440 --> 00:00:56.640]  一同為神的國打拼
[00:00:56.640 --> 00:00:58.320]  我看見這每一位同工
[00:00:58.320 --> 00:01:01.040]  我心中充滿了極大的喜樂
[00:01:01.040 --> 00:01:02.200]  Amen
[00:01:02.200 --> 00:01:04.280]  我還記得有一位資深的小組長
[00:01:04.280 --> 00:01:05.640]  曾經對我說
[00:01:05.640 --> 00:01:07.320]  劉牧師這些年我在教會
[00:01:07.320 --> 00:01:11.040]  侍奉最令我興奮的一件事情
[00:01:11.040 --> 00:01:12.600]  就是這些年真是看見
[00:01:12.600 --> 00:01:16.560]  神讓我們的夢想一天天地實現
[00:01:16.560 --> 00:01:19.320]  我心裡深深地Amen
[00:01:19.320 --> 00:01:21.040]  而我也要說
[00:01:21.040 --> 00:01:23.680]  最讓我興奮的事情
[00:01:23.680 --> 00:01:28.960]  莫過於是我看見神賜給我這麼多好的同工
[00:01:28.960 --> 00:01:30.760]  不只是小組的同工
[00:01:30.760 --> 00:01:32.760]  也是各部門的同工
[00:01:32.760 --> 00:01:34.560]  也是分堂的同工
[00:01:34.560 --> 00:01:38.320]  更是跨文化分堂的同工
[00:01:38.320 --> 00:01:42.600]  若不是我們這樣同心協力地擺上為神
[00:01:42.600 --> 00:01:46.680]  我們就不可能經歷神偉大奇妙的作為來
