
[00:00:00.000 --> 00:00:06.080]  今天講的題目是「歸神為性的祭司」
[00:00:06.080 --> 00:00:12.840]  大家說「關我什麼事啊?這段經文好像與我沒有什麼相關」
[00:00:12.840 --> 00:00:14.720]  其實有幾個原因
[00:00:14.720 --> 00:00:17.560]  首先我們需要知道就是
[00:00:17.560 --> 00:00:21.160]  也許經文的表面意思對我們好像沒有什麼關連
[00:00:21.160 --> 00:00:25.080]  但是經文所展現的一些的屬靈原則
[00:00:25.080 --> 00:00:28.160]  它是對我們每一個人都是息息相關的
[00:00:28.160 --> 00:00:30.960]  第二 如果大家記得我講過
[00:00:30.960 --> 00:00:34.720]  很多時候發生的事情就好像一個影兒
[00:00:34.720 --> 00:00:38.480]  是彰顯了新約裡面會發生的事情
[00:00:38.480 --> 00:00:41.800]  所以我們可以鑑古知今
[00:00:41.800 --> 00:00:43.640]  而更加重要的就是
[00:00:43.640 --> 00:00:45.160]  不知道大家知不知道
[00:00:45.160 --> 00:00:48.520]  根據聖經新約部分告訴我們
[00:00:48.520 --> 00:00:51.200]  其實我們每一個真心相信耶穌基督的人
[00:00:51.200 --> 00:00:53.840]  都是祭司的身份
[00:00:53.840 --> 00:00:55.400]  不單止是祭司
[00:00:55.400 --> 00:00:58.160]  還告訴我們是一個君尊的祭司
[00:00:58.160 --> 00:00:59.160]  什麼意思啊?
[00:00:59.160 --> 00:01:00.800]  就是說我們通過主耶穌基督
[00:01:00.800 --> 00:01:05.840]  我們將來與耶穌基督一同承受神的國
[00:01:05.840 --> 00:01:09.240]  所以我們有一個神賜予的權利
[00:01:09.240 --> 00:01:12.360]  我們可以直接去到神面前
[00:01:12.360 --> 00:01:15.480]  不需要通過祭司 不需要通過神父 不需要通過牧師
[00:01:15.480 --> 00:01:18.360]  我們可以直接去到私恩寶座面前
[00:01:18.360 --> 00:01:20.880]  去與神有相交
[00:01:20.880 --> 00:01:24.920]  也都可以帶我們周圍一些未信的人去到神面前
[00:01:24.920 --> 00:01:29.320]  所以可以說這一章聖經的經文
[00:01:29.320 --> 00:01:31.000]  裡面所給過我們的教導
[00:01:31.000 --> 00:01:36.000]  是釋切於每一個真心相信耶穌基督的人
[00:01:36.000 --> 00:01:37.960]  我們一同去看看
[00:01:37.960 --> 00:01:38.800]  這一章的經文
[00:01:38.800 --> 00:01:40.560]  我們可以在當中
[00:01:40.560 --> 00:01:42.560]  神要我們學的功課
[00:01:42.560 --> 00:01:43.640]  我們一開始的時候
[00:01:43.640 --> 00:01:45.720]  經文一開始的時候
[00:01:45.720 --> 00:01:49.440]  神就去告誡祭司
[00:01:49.440 --> 00:01:50.720]  祭司們
[00:01:50.720 --> 00:01:56.440]  你不可因為民眾的死人而沾染自己
[00:01:56.440 --> 00:02:00.120]  我們可以這樣想像
[00:02:00.120 --> 00:02:00.920]  昔日的祭司
[00:02:00.920 --> 00:02:04.000]  其實好像今天的牧師一樣
[00:02:04.000 --> 00:02:06.520]  很多時候都會出席
[00:02:06.520 --> 00:02:09.640]  甚至是主持一些喪禮
[00:02:09.640 --> 00:02:11.040]  所以就是說
[00:02:11.040 --> 00:02:17.800]  祭司很多時候都是很近距離接觸屍體
[00:02:17.800 --> 00:02:22.400]  神就是提醒、警告當時的祭司
[00:02:22.400 --> 00:02:27.000]  千萬不要因為死人而沾染自己
[00:02:27.000 --> 00:02:27.960]  為什麼?
[00:02:27.960 --> 00:02:31.280]  為什麼有這樣的吩咐呢?
[00:02:31.280 --> 00:02:34.400]  如果我們看這個《文數記》的十九章十一節
[00:02:34.400 --> 00:02:36.360]  那裡告訴我們
[00:02:36.360 --> 00:02:38.720]  如果摸了死人的身體
[00:02:38.720 --> 00:02:41.000]  就會七天不潔淨
[00:02:41.000 --> 00:02:41.960]  不僅如此
[00:02:41.960 --> 00:02:44.800]  如果那個人是死在那個帳篷裡面
[00:02:44.800 --> 00:02:46.600]  在帳篷裡面的東西
[00:02:46.600 --> 00:02:48.480]  進到那個帳篷裡面的人
[00:02:48.480 --> 00:02:51.600]  都會七天不潔淨
[00:02:51.600 --> 00:02:55.640]  又或者在田野裡面不小心碰到被刀殺
[00:02:55.640 --> 00:02:56.640]  或者是屍首
[00:02:56.640 --> 00:02:57.840]  或者是碰到死人的骨頭
[00:02:57.840 --> 00:02:59.800]  甚至是碰到墳墓
[00:02:59.800 --> 00:03:03.400]  都會七天不潔淨
[00:03:03.400 --> 00:03:08.280]  你說普通人碰到不潔淨
[00:03:08.280 --> 00:03:11.720]  七天最多都是帶來一些不方便
[00:03:11.720 --> 00:03:12.880]  但是
[00:03:12.880 --> 00:03:14.000]  祭司也不同
[00:03:14.000 --> 00:03:17.080]  祭司的責任就是幫人
[00:03:17.080 --> 00:03:18.920]  憲制
[00:03:18.920 --> 00:03:20.000]  所以對他們來說
[00:03:20.000 --> 00:03:21.600]  這個七天不潔淨
[00:03:21.600 --> 00:03:23.760]  七天不可以憲制的話
[00:03:23.760 --> 00:03:27.320]  都是一個很大的問題
[00:03:27.320 --> 00:03:29.480]  那你說
[00:03:29.480 --> 00:03:31.600]  我們可以覺得這些
[00:03:31.600 --> 00:03:32.560]  不知道大家會不會覺得
[00:03:32.560 --> 00:03:35.560]  這些限制好像不太適合
[00:03:35.560 --> 00:03:36.800]  為什麼?
[00:03:36.800 --> 00:03:37.520]  因為
[00:03:37.520 --> 00:03:41.720]  為什麼會就是祭司
[00:03:41.720 --> 00:03:42.920]  不潔淨之後
[00:03:42.920 --> 00:03:47.160]  七天不能夠去做這個憲制呢?
[00:03:47.160 --> 00:03:48.080]  因為如果這樣的時候
[00:03:48.080 --> 00:03:49.000]  就是說什麼?
[00:03:49.000 --> 00:03:51.280]  就是說甚至他的親人
[00:03:51.280 --> 00:03:53.160]  他的家庭的成員
[00:03:53.160 --> 00:03:54.720]  離世的時候
[00:03:54.720 --> 00:03:57.640]  祭司都不可以觸碰他們的屍體嗎?
[00:03:57.640 --> 00:03:59.000]  因為很多時候
[00:03:59.000 --> 00:04:01.240]  預備一個葬禮
[00:04:01.240 --> 00:04:02.600]  包括怎麼樣?
[00:04:02.600 --> 00:04:03.760]  包括
[00:04:03.760 --> 00:04:07.400]  幫那個死去的屍體清洗
[00:04:07.400 --> 00:04:08.520]  抹油
[00:04:08.520 --> 00:04:09.760]  穿衣服
[00:04:09.760 --> 00:04:11.640]  一定會接觸到死人的
[00:04:11.640 --> 00:04:14.000]  那你說如果這樣的時候
[00:04:14.000 --> 00:04:19.400]  就不容許祭司去處理他們的家人的喪禮
[00:04:19.400 --> 00:04:22.840]  好像不是很合理
[00:04:22.840 --> 00:04:25.240]  那神就
[00:04:25.240 --> 00:04:26.560]  因為這個原因
[00:04:26.560 --> 00:04:27.720]  神就憐憫
[00:04:27.720 --> 00:04:31.000]  所以容許祭司可以為他的親人
[00:04:31.000 --> 00:04:35.160]  去沾染自己
[00:04:35.160 --> 00:04:36.240]  剛才在經文那裡說
[00:04:36.240 --> 00:04:39.360]  除非為他骨肉之親的父母、兒女、弟兄
[00:04:39.360 --> 00:04:42.440]  和未曾出嫁的姊妹
[00:04:42.440 --> 00:04:48.880]  就可以為他們來沾污自己
[00:04:48.880 --> 00:04:50.440]  那我們再看下去的時候
[00:04:50.440 --> 00:04:55.280]  你說這個第四節
[00:04:55.280 --> 00:04:59.120]  你說為什麼祭司有這樣的限制呢?
[00:04:59.120 --> 00:05:01.040]  第四節說到一個原因
[00:05:01.040 --> 00:05:02.480]  那個原因就是
[00:05:02.480 --> 00:05:06.920]  因為祭司是民眾為首
[00:05:06.920 --> 00:05:12.880]  所以不可重續沾染自己
[00:05:12.880 --> 00:05:15.680]  而第七節也都告訴我們
[00:05:15.680 --> 00:05:19.040]  祭司是歸神為聖
[00:05:19.040 --> 00:05:20.200]  所以我們看到
[00:05:20.200 --> 00:05:21.600]  在處理屍體上面
[00:05:21.600 --> 00:05:24.280]  或者主持喪禮上面
[00:05:24.280 --> 00:05:28.040]  祭司和其他的百姓是有分別的
[00:05:28.040 --> 00:05:30.040]  而經文我們再看下去的時候
[00:05:30.040 --> 00:05:34.560]  不單止是祭司與百姓有分別
[00:05:34.560 --> 00:05:38.680]  甚至神醫也說到祭司與大祭司之間
[00:05:38.680 --> 00:05:40.320]  都有一個的分別
[00:05:40.320 --> 00:05:41.960]  對於大祭司來說
[00:05:41.960 --> 00:05:44.840]  他是眾祭司的首領
[00:05:44.840 --> 00:05:47.840]  所以聖經這裡的經文告訴我們
[00:05:47.840 --> 00:05:49.200]  大祭司是不同的
[00:05:49.200 --> 00:05:51.280]  頭上倒了膏油
[00:05:51.280 --> 00:05:54.760]  承接聖跡和穿了聖衣
[00:05:54.760 --> 00:05:55.960]  這樣的話
[00:05:55.960 --> 00:05:59.200]  神對他們的要求就更加的嚴厲
[00:05:59.200 --> 00:06:01.440]  他甚至不可以縫頭散髮
