
[00:00:00.000 --> 00:00:04.200]  領子妹,我們今天在受苦節的崇拜裏面
[00:00:04.200 --> 00:00:10.520]  讓我們一同透過剛才一班同工和執事
[00:00:10.520 --> 00:00:14.440]  他們將神的話已經讀了出來
[00:00:14.440 --> 00:00:21.000]  我們在當中再次思想主耶穌怎樣為我們釘身
[00:00:21.000 --> 00:00:22.680]  在整個過程裏面
[00:00:22.680 --> 00:00:26.680]  雖然短短好像說是六個小時
[00:00:26.680 --> 00:00:33.040]  但這六個小時對我們人類的歷史可以說是史無前例的重要
[00:00:33.040 --> 00:00:40.320]  今年當我們看到疫情的時候
[00:00:40.320 --> 00:00:46.000]  我們見證2020年在全球新冠病毒的陰霾底下
[00:00:46.000 --> 00:00:55.240]  現在已經超過160萬人受感染
[00:00:55.240 --> 00:00:59.240]  也超過了9萬5千人死亡
[00:00:59.240 --> 00:01:02.000]  人在這種惶恐不安裏面
[00:01:02.000 --> 00:01:07.840]  他們心裏有很多的惆悵、顧慮
[00:01:07.840 --> 00:01:12.000]  甚至是對前路有很多的不明朗
[00:01:12.000 --> 00:01:19.160]  好像是整個世界都停頓下來
[00:01:19.160 --> 00:01:25.320]  世人往往在這段期間我們見到很多的封城所產生的
[00:01:25.320 --> 00:01:28.040]  你見到很多保安都會問你這三個問題
[00:01:28.040 --> 00:01:32.720]  就是你是誰?你在哪裏來?你又會去哪裏?
[00:01:32.720 --> 00:01:36.480]  其實這三個問題我們作為上帝的兒女
[00:01:36.480 --> 00:01:38.880]  我們更加重要要知道
[00:01:38.880 --> 00:01:41.680]  我們可以告訴別人我們是誰
[00:01:41.680 --> 00:01:44.560]  我們是神所愛的
[00:01:44.560 --> 00:01:48.200]  我們是在哪裏來的?我們是神所創造而來的
[00:01:48.200 --> 00:01:50.360]  所以我們每個人都有自己的父母
[00:01:50.360 --> 00:01:53.520]  但真正賦予我們有生命氣息的
[00:01:53.520 --> 00:01:56.640]  是來自這個創天造地萬有的主
[00:01:56.640 --> 00:01:58.960]  我們也要去哪裏呢?
[00:01:58.960 --> 00:02:00.840]  不是我們在說移民去哪裏
[00:02:00.840 --> 00:02:03.640]  也不是在說我們今天回哪個家
[00:02:03.640 --> 00:02:07.160]  我們有一個永恆的居所
[00:02:07.160 --> 00:02:12.320]  弟兄姊妹,今天你有沒有這個確定的確據
[00:02:12.320 --> 00:02:13.520]  你說很清楚
[00:02:13.520 --> 00:02:15.520]  如果今天我的生命完結
[00:02:15.520 --> 00:02:17.320]  我要呼最後一口氣的時候
[00:02:17.320 --> 00:02:19.320]  我知道我去哪裏
[00:02:19.320 --> 00:02:20.480]  在意大利
[00:02:20.480 --> 00:02:24.560]  這個可以說是歐洲疫情最嚴重的一個國家
[00:02:24.560 --> 00:02:27.680]  當很多人是受苦難的時候
[00:02:27.680 --> 00:02:31.240]  其中一個是感染病症的神父
[00:02:31.240 --> 00:02:34.360]  他去到這個寵靜室
[00:02:34.360 --> 00:02:37.600]  他要靠呼吸機來呼吸
[00:02:37.600 --> 00:02:40.080]  但他床邊有一個年輕人
[00:02:40.080 --> 00:02:42.640]  就是因為他們不夠呼吸機
[00:02:42.640 --> 00:02:45.920]  結果他跟這個年輕人說
[00:02:45.920 --> 00:02:48.560]  我知道我去哪裏了
[00:02:48.560 --> 00:02:50.560]  我已經活過這個人生
[00:02:50.560 --> 00:02:55.560]  我很有意義地在地上為我的上主而活
[00:02:55.560 --> 00:02:58.040]  我很想你繼續活下去
[00:02:58.040 --> 00:03:01.320]  他就將他自己身上這個呼吸機
[00:03:01.320 --> 00:03:02.640]  沒有條件的
[00:03:02.640 --> 00:03:03.880]  奉獻出去
[00:03:03.880 --> 00:03:06.360]  沒多久這個神父就離世
[00:03:06.360 --> 00:03:08.120]  這些見證給我們看見
[00:03:08.120 --> 00:03:10.240]  今天我們人生活在這個
[00:03:10.240 --> 00:03:12.840]  是叫世人都要停頓下來
[00:03:12.840 --> 00:03:16.000]  要思考三條很重要的問題
[00:03:16.000 --> 00:03:17.600]  我們在這封書裏面
[00:03:17.600 --> 00:03:18.840]  亦都可以看見
[00:03:18.840 --> 00:03:20.400]  受苦的基督耶穌
[00:03:20.400 --> 00:03:23.760]  可以帶給我們一種甚麼的啟迪呢
[00:03:23.760 --> 00:03:25.840]  當他未登十字架之前
[00:03:25.840 --> 00:03:29.200]  他是被他十二個門徒
[00:03:29.200 --> 00:03:32.960]  其中一個猶大出賣
[00:03:32.960 --> 00:03:37.440]  但竟然耶穌在最後晚餐還為他洗腳
[00:03:37.440 --> 00:03:39.560]  我們這位書尊降貴
[00:03:39.560 --> 00:03:44.280]  滿有上主的榮光這位主耶穌基督
[00:03:44.280 --> 00:03:47.000]  他願意降卑在馬槽裏面
[00:03:47.000 --> 00:03:50.040]  他願意成長在木匠之家
[00:03:50.040 --> 00:03:54.160]  他甚至願意去服侍很多貧窮受壓迫的人
[00:03:54.160 --> 00:03:56.680]  但到他臨離世之前
[00:03:56.680 --> 00:03:59.880]  他這一班近身的十二個門徒
[00:03:59.880 --> 00:04:01.960]  還在爭論誰為大
[00:04:01.960 --> 00:04:04.640]  竟然有一個還說要出賣他
[00:04:04.640 --> 00:04:07.320]  其他門徒不知唯有主知道
[00:04:07.320 --> 00:04:11.880]  但主都願意去到他的前面
[00:04:11.880 --> 00:04:14.840]  跪下為他抹腳
[00:04:14.840 --> 00:04:19.080]  這種是真正僕人那種領導的風範
[00:04:19.080 --> 00:04:20.360]  他被捉拿
[00:04:20.360 --> 00:04:22.200]  他甘願被交
[00:04:22.200 --> 00:04:24.560]  但他另一個門徒彼得
[00:04:24.560 --> 00:04:27.680]  竟然將馬勒古的耳朵削下
[00:04:27.680 --> 00:04:31.160]  大祭司的僕人都要來受災
[00:04:31.160 --> 00:04:33.200]  但耶穌仍然不忘記
[00:04:33.200 --> 00:04:38.280]  立即醫治他 讓他的耳朵立即變好
[00:04:38.280 --> 00:04:40.800]  上帝的兒子就是這樣
