
[00:00:00.000 --> 00:00:01.360]  祝求祢繼續幫助我們
[00:00:01.360 --> 00:00:04.520]  能夠可以在一生裏繼續學習
[00:00:04.520 --> 00:00:07.440]  學習去更加去跟隨祢
[00:00:07.440 --> 00:00:10.560]  更加去效法祢
[00:00:10.560 --> 00:00:12.840]  還要知道我們不是耶穌
[00:00:12.840 --> 00:00:16.400]  我們也不是完美的人
[00:00:16.400 --> 00:00:20.520]  我們的侍奉也不是完美
[00:00:20.520 --> 00:00:24.400]  不過我們願意繼續向前
[00:00:24.400 --> 00:00:26.560]  繼續成長
[00:00:26.560 --> 00:00:30.040]  成為更加效法耶穌的人
[00:00:30.040 --> 00:00:32.520]  成為祢所喜悅的人
[00:00:32.520 --> 00:00:34.760]  感謝天父聽我們祈禱
[00:00:34.760 --> 00:00:36.840]  奉主明求
[00:00:36.840 --> 00:00:37.760]  Amen
[00:00:37.760 --> 00:00:41.200]  請坐
[00:00:41.200 --> 00:00:43.800]  我們先用掌聲多謝今天敬拜主
[00:00:43.800 --> 00:00:44.760]  今天大祭敬拜
[00:00:44.760 --> 00:00:46.320]  現在後面有很多童工
[00:00:46.320 --> 00:00:50.320]  還有很多童工弄乾淨所有椅子
[00:00:50.320 --> 00:00:54.560]  所有樓梯的扶病
[00:00:54.560 --> 00:00:58.320]  我們能夠很安全地在這裏敬拜
[00:00:58.320 --> 00:01:03.400]  也很安全地看到我們神興起很多童工
[00:01:03.400 --> 00:01:07.560]  願意去為我們做一些很細微的服務
[00:01:07.560 --> 00:01:09.040]  以致我們能夠安心
[00:01:09.040 --> 00:01:11.120]  我們一起讀一讀《馬可福音》第二章
[00:01:11.120 --> 00:01:13.120]  十三節到十七節
[00:01:13.120 --> 00:01:15.480]  今天我們說一個門徒
[00:01:15.480 --> 00:01:16.760]  就是馬太
[00:01:16.760 --> 00:01:18.040]  準備一二三
[00:01:18.040 --> 00:01:20.720]  耶穌又出到海邊去
[00:01:20.720 --> 00:01:23.280]  眾人都就了他來
[00:01:23.280 --> 00:01:25.480]  他便教訓他們
[00:01:25.480 --> 00:01:30.320]  耶穌那個時候看見阿肋肥的兒子利美
[00:01:30.320 --> 00:01:32.360]  坐在水關上
[00:01:32.360 --> 00:01:33.680]  就對他說
[00:01:33.680 --> 00:01:36.560]  你跟我來
[00:01:36.560 --> 00:01:38.440]  跟從了耶穌
[00:01:38.440 --> 00:01:41.840]  耶穌在利美家裡坐直的時候
[00:01:41.840 --> 00:01:44.760]  有好些歲女看見
[00:01:44.760 --> 00:01:47.680]  與耶穌並門徒一同坐直
[00:01:47.680 --> 00:01:49.840]  因為這樣的人多
[00:01:49.840 --> 00:01:52.440]  他們也跟隨耶穌
[00:01:52.440 --> 00:01:53.320]  說起錯人
[00:01:53.320 --> 00:01:58.880]  眾的民是看見耶穌和罪人並歲利一同吃飯
[00:01:58.880 --> 00:02:01.000]  就對他們說
[00:02:01.000 --> 00:02:04.520]  他和歲利並罪人一同吃漢堡
[00:02:04.520 --> 00:02:07.640]  耶穌聽見就對他們說
[00:02:07.640 --> 00:02:10.480]  看見的人用不著醫生
[00:02:10.480 --> 00:02:12.840]  有病的人才用得著
[00:02:12.840 --> 00:02:15.320]  我本來不是召義人
[00:02:15.320 --> 00:02:17.520]  那是召罪人
[00:02:17.520 --> 00:02:20.120]  其實如果要說回馬太的心平
[00:02:20.120 --> 00:02:23.360]  理應選擇馬太福音
