
[00:00:00.000 --> 00:00:05.000]  今日要講的題目是「不要憂慮」
[00:00:05.000 --> 00:00:12.000]  我相信大家都很有這方面的經驗
[00:00:12.000 --> 00:00:19.000]  在前天的早上
[00:00:19.000 --> 00:00:25.000]  我的八歲大的外甥女就在香港打電話來找我
[00:00:25.000 --> 00:00:32.000]  她告訴我她在學校的運動會裡的100公尺賽跑拿了金牌
[00:00:32.000 --> 00:00:37.000]  很興奮很開心所以打電話來告訴我
[00:00:37.000 --> 00:00:43.000]  因為我曾經很鼓勵她去跑
[00:00:43.000 --> 00:00:46.000]  我當然很為她開心
[00:00:46.000 --> 00:00:56.000]  但我竟然忘記問她在比賽前的那一晚有沒有睡不著
[00:00:56.000 --> 00:01:00.000]  為什麼我要這樣問她呢?是有原因的
[00:01:00.000 --> 00:01:06.000]  相信大家都有一些憂慮的經驗
[00:01:06.000 --> 00:01:10.000]  你有沒有試過憂慮到睡不著呢?
[00:01:10.000 --> 00:01:23.000]  我試過,第一次為明天憂慮到那一晚睡不著
[00:01:23.000 --> 00:01:30.000]  當我讀中學的時候,明天就是運動會的決賽日
[00:01:30.000 --> 00:01:33.000]  那一晚我整晚睡不著
[00:01:33.000 --> 00:01:40.000]  那一年我拿了全場冠軍
[00:01:40.000 --> 00:01:58.000]  小朋友或者少年人的憂慮很容易來很容易走
[00:01:58.000 --> 00:02:02.000]  但我們成年人的憂慮就不是這麼簡單
[00:02:02.000 --> 00:02:06.000]  不是說不要憂慮就搞定
[00:02:06.000 --> 00:02:09.000]  那就沒事了,如果這樣就還有人憂慮
[00:02:09.000 --> 00:02:14.000]  還有人吃防止憂慮的藥就不會那麼好賣
[00:02:14.000 --> 00:02:26.000]  我們都很有經驗在各方面受到憂慮的攻擊
[00:02:26.000 --> 00:02:29.000]  我們怎麼可以不憂慮呢?
[00:02:29.000 --> 00:02:35.000]  就快考試了,教授說什麼都不知道
[00:02:35.000 --> 00:02:38.000]  你說不要憂慮就搞定了
[00:02:38.000 --> 00:02:42.000]  就快畢業了,工作又不知道怎樣
[00:02:42.000 --> 00:02:45.000]  簽證又不知道怎樣,前途未卜
[00:02:45.000 --> 00:02:49.000]  不憂慮就搞定了
