
[00:00:00.000 --> 00:00:01.620]  所以在這個時候
[00:00:01.620 --> 00:00:05.240]  我們一起將這個最好敬拜神的時間
[00:00:05.240 --> 00:00:07.480]  我們去用我們禱告去開始
[00:00:07.480 --> 00:00:08.960]  求神幫助你
[00:00:08.960 --> 00:00:14.580]  知道什麼是你能夠禱神的喜悅
[00:00:14.580 --> 00:00:16.580]  好不好 我們一起低頭祈禱
[00:00:16.580 --> 00:00:18.080]  天父我們多謝你
[00:00:18.080 --> 00:00:19.020]  我們多謝你
[00:00:19.020 --> 00:00:21.020]  因為我們知道你是配得
[00:00:21.020 --> 00:00:24.000]  我們用盡我全心全意全力的
[00:00:24.000 --> 00:00:26.680]  來去敬拜你 來去愛你
[00:00:26.680 --> 00:00:30.000]  我們也多謝你留下聖經的華語
[00:00:30.000 --> 00:00:33.740]  讓我們真的在我們年少的時候
[00:00:33.740 --> 00:00:36.400]  我們就能夠紀念做我們的主
[00:00:36.400 --> 00:00:38.840]  既然我們說我們相信你
[00:00:38.840 --> 00:00:40.840]  我們在基督徒我們去跟隨你
[00:00:40.840 --> 00:00:44.300]  我們知道我們的心就要歸向你
[00:00:44.300 --> 00:00:47.460]  讓我們不要放縱我們自己的私慾
[00:00:47.460 --> 00:00:51.260]  讓我們懂得去敬畏神你自己
[00:00:51.260 --> 00:00:54.500]  我們求你臨在我們這個時間裡面
[00:00:54.500 --> 00:00:56.160]  親自來祝福我們
[00:00:56.160 --> 00:00:58.980]  我們可不可以禱告奉主明求 阿門
[00:00:58.980 --> 00:01:02.080]  好 另外就是坐在我們前面這一行
[00:01:02.080 --> 00:01:04.380]  我也很熟悉你們的 是不是
[00:01:04.380 --> 00:01:07.940]  可不可以坐好一點呢
[00:01:07.940 --> 00:01:10.500]  嗯 非常好
[00:01:10.500 --> 00:01:15.480]  這個是一個的 一個的態度
[00:01:15.480 --> 00:01:16.600]  大家都不是小的
[00:01:16.600 --> 00:01:19.160]  不過我相信人就是這樣
[00:01:19.160 --> 00:01:20.440]  如果我們可以
[00:01:20.440 --> 00:01:23.200]  我們也有時候很嘻嘻這樣 是不是
[00:01:23.200 --> 00:01:25.760]  但是來到這個崇拜裡面
[00:01:25.760 --> 00:01:27.920]  我希望大家一起
[00:01:27.920 --> 00:01:30.040]  來將最好的獻給我們的神
[00:01:30.040 --> 00:01:32.040]  好 我開始了
[00:01:32.040 --> 00:01:38.360]  我們的PowerPoint出得了沒有呢
[00:01:38.360 --> 00:01:42.080]  一起讀一下這個題目 預備起
