
[00:00:00.000 --> 00:00:06.500]  好 今天要給大家分享的題目是愛的印記
[00:00:06.500 --> 00:00:09.100]  在分享這個題目之前呢
[00:00:09.100 --> 00:00:14.300]  我想有一些的圖標可以給大家去看一看
[00:00:14.300 --> 00:00:16.000]  就是一些的標誌
[00:00:16.000 --> 00:00:18.900]  那當大家看到這些標誌的時候呢
[00:00:18.900 --> 00:00:21.800]  你會馬上知道是什麼嗎
[00:00:21.800 --> 00:00:23.100]  我們先來看第一個
[00:00:23.100 --> 00:00:27.300]  這什麼
[00:00:29.400 --> 00:00:31.900]  有的舉一下手
[00:00:31.900 --> 00:00:33.300]  哇 真的有
[00:00:33.300 --> 00:00:38.400]  我們當中還不少中姐妹有啊
[00:00:38.400 --> 00:00:41.700]  你是有這個標誌還是說有這個標誌的那個東西
[00:00:41.700 --> 00:00:46.900]  那另外一個標誌我們看看
[00:00:46.900 --> 00:00:50.100]  都很熟悉
[00:00:50.100 --> 00:00:51.800]  你看到這個就知道是什麼了
[00:00:51.800 --> 00:00:56.500]  這些標誌我們都很熟悉
[00:00:56.500 --> 00:00:58.600]  一看到我們就知道代表什麼
[00:00:58.600 --> 00:01:00.000]  也知道是什麼
[00:01:00.000 --> 00:01:02.700]  那我們再來看一個我們應該會更熟悉的
[00:01:02.700 --> 00:01:03.900]  很多人都會有的
[00:01:03.900 --> 00:01:05.000]  不過這個我沒有啊
[00:01:05.000 --> 00:01:08.100]  你們有嗎
[00:01:08.100 --> 00:01:11.100]  所以看到這個你們都很喜歡啊
[00:01:11.100 --> 00:01:15.700]  好了 看了這些標誌以後呢
[00:01:15.700 --> 00:01:18.200]  你都知道他背後是什麼
[00:01:18.200 --> 00:01:19.700]  或者是代表什麼
[00:01:19.700 --> 00:01:21.700]  那現在我要問
[00:01:21.700 --> 00:01:23.300]  那作為基督徒
[00:01:23.300 --> 00:01:26.000]  我們的身份比較特殊
[00:01:26.000 --> 00:01:27.700]  跟一般的人都不一樣
[00:01:27.700 --> 00:01:31.200]  那如果說基督徒也有一個標誌的話
[00:01:31.200 --> 00:01:32.900]  你覺得應該是什麼呢
[00:01:32.900 --> 00:01:34.700]  當人家看到這個的時候
[00:01:34.700 --> 00:01:36.800]  他們就知道這個是基督徒
[00:01:36.800 --> 00:01:38.800]  你會想到什麼
[00:01:38.800 --> 00:01:42.000]  十字架
[00:01:42.000 --> 00:01:42.800]  除了十字架
[00:01:42.800 --> 00:01:43.500]  還有沒有別的
[00:01:43.500 --> 00:01:48.700]  就只想到十字架
[00:01:48.700 --> 00:01:49.600]  你們有掛嗎
[00:01:49.600 --> 00:01:51.000]  有誰掛了十字架的今天
[00:01:51.000 --> 00:01:53.700]  也有人點頭
[00:01:53.700 --> 00:01:56.800]  不少很多中姐妹也有掛這個十字架
[00:01:56.800 --> 00:01:58.400]  讓別人一看到
[00:01:58.400 --> 00:02:00.700]  好像就知道你是基督徒
[00:02:00.700 --> 00:02:05.300]  究竟是不是真的就是十字架就代表基督徒呢
[00:02:05.300 --> 00:02:09.200]  讓別人一看到就是一個真正的基督徒呢
[00:02:09.200 --> 00:02:11.500]  那你有沒有看到一些還不是基督徒的
[00:02:11.500 --> 00:02:13.000]  他們也有掛這個十字架
[00:02:13.000 --> 00:02:15.500]  也有啊
[00:02:15.500 --> 00:02:16.400]  不是基督徒的
[00:02:16.400 --> 00:02:18.000]  他們也會掛這個十字架
[00:02:18.000 --> 00:02:19.900]  那他們可能是作為一種裝飾
[00:02:19.900 --> 00:02:21.800]  或者是一種時尚
[00:02:21.800 --> 00:02:25.800]  那掛了十字架的不一定是基督徒
[00:02:25.800 --> 00:02:26.800]  對不對
[00:02:26.800 --> 00:02:28.300]  可不可以這樣說
[00:02:28.300 --> 00:02:29.900]  不掛的呢
[00:02:29.900 --> 00:02:32.900]  也不一定不是基督徒
[00:02:32.900 --> 00:02:35.900]  所以這個可不可以作為我們基督徒的一個標誌呢
[00:02:35.900 --> 00:02:40.400]  不是完全的
[00:02:40.400 --> 00:02:42.300]  那究竟有沒有一樣東西
[00:02:42.300 --> 00:02:45.200]  能夠真的可以代表基督徒
[00:02:45.200 --> 00:02:46.100]  我們一看
[00:02:46.100 --> 00:02:47.300]  看到這樣東西
[00:02:47.300 --> 00:02:48.500]  肯定他就是基督徒了
[00:02:48.500 --> 00:02:49.800]  有沒有這樣的一個東西
[00:02:49.800 --> 00:02:50.900]  或者這樣的一個標誌
[00:02:50.900 --> 00:02:52.800]  有沒有呢
[00:02:54.800 --> 00:02:56.600]  我們今天來讀一段的經文
[00:02:56.600 --> 00:02:59.900]  讀完以後我們會來再討論這個的問題
[00:02:59.900 --> 00:03:01.500]  我們翻到今天的經文
[00:03:01.500 --> 00:03:05.100]  在約翰福音13章34到35節
[00:03:05.100 --> 00:03:12.900]  如果你身邊的朋友
[00:03:12.900 --> 00:03:14.300]  他還翻不到經文
[00:03:14.300 --> 00:03:16.700]  請你幫忙幫他翻一下
[00:03:16.700 --> 00:03:21.100]  在約翰福音的13章34到35節
[00:03:24.800 --> 00:03:31.800]  翻到我們一起來誦讀這兩節的經文
[00:03:31.800 --> 00:03:35.300]  13章34到35節
[00:03:35.300 --> 00:03:36.300]  12起
[00:03:36.300 --> 00:03:39.800]  我賜給你們一條新命令
[00:03:39.800 --> 00:03:42.700]  乃是叫你們彼此相愛
[00:03:42.700 --> 00:03:44.600]  我怎樣愛你們
[00:03:44.600 --> 00:03:46.900]  你們也要怎樣相愛
[00:03:46.900 --> 00:03:50.000]  你們若有彼此相愛的心
[00:03:50.000 --> 00:03:54.500]  眾人因此就認出你們是我的門徒了
[00:03:54.500 --> 00:03:55.900]  再來一遍
[00:03:55.900 --> 00:03:59.300]  我賜給你們一條新命令
[00:03:59.300 --> 00:04:02.100]  乃是叫你們彼此相愛
[00:04:02.100 --> 00:04:04.100]  我怎樣愛你們
