
[00:00:00.000 --> 00:00:03.000]  根據上一次講「棄舊立新」
[00:00:03.000 --> 00:00:05.300]  仍然有什麼?有「俗習」嘛!
[00:00:05.300 --> 00:00:07.100]  「俗習」就是「扭曲得熟」
[00:00:07.100 --> 00:00:09.900]  這段聖經,我們一讀的時候
[00:00:09.900 --> 00:00:12.700]  理解力比較強的人都能夠明白的
[00:00:12.700 --> 00:00:15.800]  就是說,其實你和我
[00:00:15.800 --> 00:00:18.800]  信了耶穌之後,應該在什麼?
[00:00:18.800 --> 00:00:22.700]  行事為人那方面,有一個大的什麼?
[00:00:22.700 --> 00:00:23.700]  「變化」
[00:00:23.700 --> 00:00:27.800]  這個「變化」和你未信耶穌之前是不一樣的
[00:00:27.800 --> 00:00:28.900]  同不同意?
[00:00:28.900 --> 00:00:31.300]  這個不一樣是帶著什麼?
[00:00:31.300 --> 00:00:36.200]  是帶著一個有非常清晰的指示
[00:00:36.200 --> 00:00:39.100]  不是隨便不一樣,這個指示是什麼?
[00:00:39.100 --> 00:00:43.300]  因為你學了耶穌基督,你領受了祂的教導
[00:00:43.300 --> 00:00:46.100]  你懂得祂怎麼做,是不是?
[00:00:46.100 --> 00:00:49.800]  所以你活出來的行事為人,像誰?
[00:00:49.800 --> 00:00:51.900]  像誰?
[00:00:51.900 --> 00:00:55.300]  不是像你自己,是像耶穌
[00:00:55.300 --> 00:00:59.100]  將那個老舊的自己,未信耶穌的你
[00:00:59.100 --> 00:01:01.700]  叫做老舊的自己,不管他多少歲
[00:01:01.700 --> 00:01:03.200]  都是老舊的自己
[00:01:03.200 --> 00:01:06.900]  因為有些人,好像Jennifer你很小的時候
[00:01:06.900 --> 00:01:08.900]  不是Anifer,不是Jennifer
[00:01:08.900 --> 00:01:11.200]  Anifer,你很小的時候就信耶穌了
[00:01:11.200 --> 00:01:12.100]  多小?
[00:01:12.100 --> 00:01:13.800]  四歲
[00:01:13.800 --> 00:01:17.400]  所以那個老舊的自己是不是四歲以前?
[00:01:17.400 --> 00:01:18.900]  我告訴你,不是
[00:01:18.900 --> 00:01:20.400]  老舊自己多少歲?
[00:01:20.400 --> 00:01:23.600]  哦,你現在的年齡?
[00:01:23.600 --> 00:01:26.400]  哦,這個老舊的自己四十四歲
[00:01:26.400 --> 00:01:29.900]  他的神學非常好,他讀通了這段聖經
[00:01:29.900 --> 00:01:32.600]  就是說,你信了耶穌
[00:01:32.600 --> 00:01:35.000]  你信了耶穌之後,你裡面有一個力量
[00:01:35.000 --> 00:01:36.200]  那個力量是什麼?
[00:01:36.200 --> 00:01:39.300]  是一天生始什麼?
[00:01:39.300 --> 00:01:40.200]  一天
[00:01:40.200 --> 00:01:43.700]  就是說,不是你未信耶穌之前那個叫做老舊的你
[00:01:43.700 --> 00:01:47.000]  其實昨天的你就是已經什麼?
[00:01:47.000 --> 00:01:49.200]  老舊的你了,行不行?
[00:01:49.200 --> 00:01:50.800]  所以你跟隔壁的人說
[00:01:50.800 --> 00:01:55.300]  哦,這個叫永久微創
[00:01:55.300 --> 00:01:56.500]  為什麼永久微創呢?
[00:01:56.500 --> 00:01:57.800]  因為不是大手術
[00:01:57.800 --> 00:01:58.600]  是什麼?
[00:01:58.600 --> 00:02:00.300]  是天天都要什麼?
[00:02:00.300 --> 00:02:02.800]  微微地跳,是不是?
[00:02:02.800 --> 00:02:04.700]  微微地改變
[00:02:04.700 --> 00:02:06.100]  就是在那個什麼?
[00:02:06.100 --> 00:02:10.800]  在那個你一點一點地放下
[00:02:10.800 --> 00:02:13.200]  一點一點地放手
[00:02:13.200 --> 00:02:14.800]  輕輕地放一下
[00:02:14.800 --> 00:02:16.500]  輕輕地放一下
[00:02:16.500 --> 00:02:20.400]  前日放和昨日放是有點不同的
[00:02:20.400 --> 00:02:21.400]  明白嗎?
