
[00:00:00.000 --> 00:00:06.800]  請志會好開心在這裡和大家分享訊息
[00:00:06.800 --> 00:00:10.600]  今天我講的題目是「請信任愛你的神」
[00:00:10.600 --> 00:00:15.280]  請信任愛你的神
[00:00:15.280 --> 00:00:16.480]  為什麼會想起這樣說呢?
[00:00:16.480 --> 00:00:19.480]  因為我們除了經歷了幾個風暴
[00:00:19.480 --> 00:00:20.840]  一塊雲之外
[00:00:20.840 --> 00:00:23.360]  其實我們看希伯來書
[00:00:23.360 --> 00:00:25.200]  無論講的和聽的
[00:00:25.200 --> 00:00:27.320]  都有少少一塊雲的感覺
[00:00:27.320 --> 00:00:33.320]  趁這個機會我想有少少的回應和總結
[00:00:33.320 --> 00:00:39.760]  其實不單止我們破天荒是星期日爆風球
[00:00:39.760 --> 00:00:41.800]  還是連續三次這麼多
[00:00:41.800 --> 00:00:46.720]  其實在整個教會這兩個月氣氛都是在風暴裡面
[00:00:46.720 --> 00:00:48.000]  很多媽媽在冒險當中
[00:00:48.000 --> 00:00:50.880]  我們都看到不知年紀大了
[00:00:50.880 --> 00:00:54.400]  很多弟兄姊妹都是在患病裡面
[00:00:54.400 --> 00:00:57.480]  面對著安息禮拜
[00:00:57.480 --> 00:00:59.320]  簽墨已經很出名了
[00:00:59.320 --> 00:01:02.120]  殯儀館的人都認得我們的童工了
[00:01:02.120 --> 00:01:03.840]  突然間面對死亡
[00:01:03.840 --> 00:01:04.760]  甚至可能很年輕
[00:01:04.760 --> 00:01:07.960]  我們心裡面都有很多的難受
[00:01:07.960 --> 00:01:09.840]  還有很多的問號
[00:01:09.840 --> 00:01:11.320]  而在我們生活當中
[00:01:11.320 --> 00:01:14.600]  其實當我們遇到很多不如意的時候
[00:01:14.600 --> 00:01:17.760]  都令到我們在信仰的歷程裡面
[00:01:17.760 --> 00:01:20.800]  都真的掀起一個大的風暴
[00:01:20.800 --> 00:01:22.080]  我們看到的
[00:01:22.080 --> 00:01:26.640]  是很多弟兄姊妹都會在上帝面前走狂
[00:01:26.640 --> 00:01:29.240]  就是突然間瘋了
[00:01:29.240 --> 00:01:34.200]  很多的聲音比非基督徒多了一個主題
[00:01:34.200 --> 00:01:36.160]  就是指向上帝
[00:01:36.160 --> 00:01:38.360]  就會問神你究竟在哪裡
[00:01:38.360 --> 00:01:40.680]  為什麼你好像不理我的
[00:01:40.680 --> 00:01:43.960]  甚至有些弟兄姊妹覺得上帝從來都好像沒有愛過自己
[00:01:43.960 --> 00:01:47.040]  又或者他們會說我沒有經歷過神的
[00:01:47.040 --> 00:01:50.640]  我們一些年輕的組長或者核心
