
[00:00:00.000 --> 00:00:04.500]  剛才最後大家一齊歡呼的時候
[00:00:04.500 --> 00:00:08.000]  我見到Winnie出來吹號
[00:00:08.000 --> 00:00:13.300]  我就想起一個星期三有一個日子
[00:00:13.300 --> 00:00:16.000]  看Youtube 珍姐發給我們的
[00:00:16.000 --> 00:00:19.500]  好像有過萬人在一個地方
[00:00:19.500 --> 00:00:23.000]  慶祝一個國家的成立慶典
[00:00:23.000 --> 00:00:24.500]  70週年的慶典
[00:00:24.500 --> 00:00:26.000]  知不知道是什麼國
[00:00:26.000 --> 00:00:28.000]  什麼地方
[00:00:28.000 --> 00:00:29.000]  以色列
[00:00:29.000 --> 00:00:31.000]  我給大家看看照片
[00:00:31.000 --> 00:00:40.000]  我們中間有個姊妹
[00:00:40.000 --> 00:00:43.000]  她以色列為第二個家鄉
[00:00:43.000 --> 00:00:45.000]  我們看看
[00:00:45.000 --> 00:00:47.000]  看到嗎
[00:00:47.000 --> 00:00:50.000]  剛剛應該是前幾天
[00:00:50.000 --> 00:00:54.000]  有一張還沒有一張
[00:00:54.000 --> 00:00:57.000]  看一下右手邊
[00:00:57.000 --> 00:01:01.000]  你看看應該有熟悉的面孔
[00:01:01.000 --> 00:01:02.000]  應該有兩個
[00:01:02.000 --> 00:01:03.000]  兩個都非常熟悉
[00:01:03.000 --> 00:01:05.000]  其他不知道認不認識
[00:01:05.000 --> 00:01:07.000]  她們去了以色列
[00:01:07.000 --> 00:01:10.000]  應該參加這個
[00:01:10.000 --> 00:01:13.000]  立國70年的慶典
[00:01:13.000 --> 00:01:15.000]  還有幾張照片
[00:01:15.000 --> 00:01:17.000]  不過不是這個
[00:01:17.000 --> 00:01:21.000]  都是在當地拍的照片
[00:01:21.000 --> 00:01:24.000]  大家看一下後面的背景
[00:01:24.000 --> 00:01:26.000]  知不知道是什麼
[00:01:26.000 --> 00:01:28.000]  哭牆
[00:01:28.000 --> 00:01:30.000]  這是另一幅
[00:01:30.000 --> 00:01:31.000]  很熱鬧很開心
[00:01:31.000 --> 00:01:33.000]  所以剛才最後一幕
[00:01:33.000 --> 00:01:35.000]  我都體會到
[00:01:35.000 --> 00:01:38.000]  都有一種興奮的心情
[00:01:38.000 --> 00:01:42.000]  我相信耶路撒冷
[00:01:42.000 --> 00:01:44.000]  以色列
[00:01:44.000 --> 00:01:45.000]  或者哭牆
[00:01:45.000 --> 00:01:48.000]  大家都不陌生
[00:01:48.000 --> 00:01:49.000]  我想問一下
[00:01:49.000 --> 00:01:52.000]  這個哭牆是什麼地方
[00:01:52.000 --> 00:01:54.000]  知不知道紀念什麼
[00:01:54.000 --> 00:01:58.000]  哭牆是紀念聖殿
[00:01:58.000 --> 00:02:01.000]  是聖殿的遺址
