
[00:00:00.000 --> 00:00:02.000]  先祖我禱告
[00:00:02.000 --> 00:00:03.000]  天母上帝感謝祢
[00:00:03.000 --> 00:00:05.000]  讓我們有機會能夠回來和祂一起敬拜
[00:00:05.000 --> 00:00:06.000]  真的很開心快樂
[00:00:06.000 --> 00:00:08.000]  好像回到自己的家一樣
[00:00:08.000 --> 00:00:10.000]  祈求祢繼續在這段時間
[00:00:10.000 --> 00:00:11.000]  透過聖經
[00:00:11.000 --> 00:00:13.000]  透過我們的分享見證
[00:00:13.000 --> 00:00:15.000]  能夠一起去明白
[00:00:15.000 --> 00:00:17.000]  祢給予我們的心意和教導
[00:00:17.000 --> 00:00:19.000]  讓我們能夠一起同心合意
[00:00:19.000 --> 00:00:22.000]  將祢的愛傳揚開去
[00:00:22.000 --> 00:00:25.000]  將福音帶給那些仍然未知道祢
[00:00:25.000 --> 00:00:27.000]  未明白這個福音的人
[00:00:27.000 --> 00:00:30.000]  我們這樣去祈禱奉耶穌基督的成名
[00:00:30.000 --> 00:00:32.000]  Amen
[00:00:57.000 --> 00:01:00.000]  這個不是一個Global的網站
[00:01:00.000 --> 00:01:01.000]  不過呢
[00:01:01.000 --> 00:01:03.000]  為什麼有一個這樣的網絡呢
[00:01:03.000 --> 00:01:05.000]  因為這個世界太多Bad News
[00:01:05.000 --> 00:01:08.000]  所以他說我們經常聽Bad News
[00:01:08.000 --> 00:01:10.000]  所以我們找一些Good News
[00:01:10.000 --> 00:01:12.000]  一些好的新聞
[00:01:12.000 --> 00:01:13.000]  好的消息
[00:01:13.000 --> 00:01:15.000]  和大家去分享
[00:01:15.000 --> 00:01:18.000]  星期三當我去查看這個網頁的時候
[00:01:18.000 --> 00:01:20.000]  頭條第一個新聞就是
[00:01:20.000 --> 00:01:22.000]  可能大家已經聽過了
[00:01:22.000 --> 00:01:26.000]  美國的游泳健將Michael Phelps
[00:01:26.000 --> 00:01:28.000]  拿了第四面的金牌
[00:01:28.000 --> 00:01:29.000]  一說前恥
[00:01:29.000 --> 00:01:30.000]  為什麼呢
[00:01:30.000 --> 00:01:32.000]  因為上一屆的時候他輸了
[00:01:32.000 --> 00:01:34.000]  只是拿了銀牌
[00:01:34.000 --> 00:01:36.000]  這次他拿了金牌
[00:01:36.000 --> 00:01:39.000]  而且這個金牌就成為他
[00:01:39.000 --> 00:01:42.000]  參加奧運三次以來
[00:01:42.000 --> 00:01:46.000]  加起來一共贏了22個金牌
[00:01:46.000 --> 00:01:48.000]  我相信前無古人
[00:01:48.000 --> 00:01:50.000]  後面有沒有來者呢
[00:01:50.000 --> 00:01:52.000]  這個是Way to see 當然
[00:01:52.000 --> 00:01:58.000]  無可否認Michael Phelps在奧林匹克運動裡面的成就
[00:01:58.000 --> 00:02:00.000]  是無庸置疑的
[00:02:00.000 --> 00:02:03.000]  我也很相信很多喜歡游泳的人
[00:02:03.000 --> 00:02:05.000]  就算你不游泳也好
[00:02:05.000 --> 00:02:08.000]  都會覺得這是一個運動健將
[00:02:08.000 --> 00:02:13.000]  是一個值得我們去仰慕的偶像
[00:02:13.000 --> 00:02:14.000]  不過呢
[00:02:14.000 --> 00:02:16.000]  他是一個Good News
[00:02:16.000 --> 00:02:17.000]  一個好的消息
[00:02:17.000 --> 00:02:19.000]  一個令人聽下去很開心的
[00:02:19.000 --> 00:02:22.000]  令人振奮的一個新聞
[00:02:22.000 --> 00:02:24.000]  這個新聞我相信
[00:02:24.000 --> 00:02:25.000]  很快就會過去
[00:02:25.000 --> 00:02:28.000]  特別當奧林匹克過了之後
[00:02:28.000 --> 00:02:32.000]  很快就沒有人再去說這件事
[00:02:32.000 --> 00:02:34.000]  不是說不知道發生這件事
[00:02:34.000 --> 00:02:39.000]  但是不會繼續不斷地去傳頌他的成就
[00:02:39.000 --> 00:02:40.000]  我也相信
[00:02:40.000 --> 00:02:43.000]  他這個勵志的故事可以這樣說
[00:02:43.000 --> 00:02:46.000]  一個人能夠拿這麼多的金牌
[00:02:46.000 --> 00:02:49.000]  當然我相信
[00:02:49.000 --> 00:02:55.000]  都會讓聽到的人覺得
[00:02:55.000 --> 00:02:58.000]  可以帶給我們的社會一些正能量
