
[00:00:00.000 --> 00:00:03.600]  我們教會有一個姊妹跟她的弟兄
[00:00:03.600 --> 00:00:05.600]  有一個人打電話給我說
[00:00:05.600 --> 00:00:07.600]  他們的車子壞了
[00:00:07.600 --> 00:00:12.200]  拿去福特的Dealership去修
[00:00:12.200 --> 00:00:14.200]  現在車子已經修好了
[00:00:14.200 --> 00:00:16.200]  是不是可以請牧師
[00:00:16.200 --> 00:00:19.200]  跟他們去看一下修的情形怎麼樣
[00:00:19.200 --> 00:00:23.200]  然後我就跟他們去了
[00:00:23.200 --> 00:00:27.200]  這個Dealer就Very Nice
[00:00:27.200 --> 00:00:34.200]  就說我們總共修理費是一千五百塊錢
[00:00:34.200 --> 00:00:37.200]  我就問說修了什麼東西
[00:00:37.200 --> 00:00:39.200]  因為他那個是Coolant
[00:00:39.200 --> 00:00:41.200]  冷卻水過熱
[00:00:41.200 --> 00:00:46.200]  他說換了一個風扇
[00:00:46.200 --> 00:00:49.200]  然後換了一個Temperature Switch
[00:00:49.200 --> 00:00:51.200]  溫度開關
[00:00:51.200 --> 00:00:53.200]  我問他說這個Radiator
[00:00:53.200 --> 00:00:56.200]  這個過濾網這個Radiator有沒有換
[00:00:56.200 --> 00:00:58.200]  他說沒換
[00:00:58.200 --> 00:01:00.200]  我心裡想
[00:01:00.200 --> 00:01:04.200]  就換這一些就要一千五百塊錢
[00:01:04.200 --> 00:01:10.200]  我心裡的氣就從這裡一直上升起來
[00:01:10.200 --> 00:01:11.200]  你知道嗎
[00:01:11.200 --> 00:01:14.200]  因為我知道假如我修的話
[00:01:14.200 --> 00:01:17.200]  大概兩百塊錢可能就搞定了
[00:01:17.200 --> 00:01:19.200]  然後Dealer就再講一句話
[00:01:19.200 --> 00:01:22.200]  他說你假如付不起的話
[00:01:22.200 --> 00:01:25.200]  我們可以讓你Monthly Payment
[00:01:25.200 --> 00:01:27.200]  我說修車還修不起
[00:01:27.200 --> 00:01:30.200]  還要每個月付
