
[00:00:00.000 --> 00:00:01.200]  頂至每平安
[00:00:01.200 --> 00:00:04.000]  好,讓我們一齊有個禱告開始
[00:00:30.000 --> 00:00:34.000]  主實在多謝你,讓我們有學習的時刻
[00:00:34.000 --> 00:00:39.000]  禱告交托,奉耶穌基督,得聖的名字祈求,阿們
[00:00:39.000 --> 00:00:42.000]  好,問一問問題,大家不用答的
[00:00:42.000 --> 00:00:44.000]  不過你心裏就要答,不用舉手的
[00:00:44.000 --> 00:00:47.000]  好,問問弟兄姊妹,誰沒有侍奉呢?
[00:00:47.000 --> 00:00:50.000]  你覺得你沒有侍奉呢?你跟自己說,哎呀,我真的沒有侍奉啊
[00:00:50.000 --> 00:00:54.000]  不用舉手的,因為舉手就很尷尬,是不是?
[00:00:54.000 --> 00:00:57.000]  原來隔壁那個,你舉手,原來你沒有侍奉啊
[00:00:57.000 --> 00:01:03.000]  好,答案就是,其實在座三百位都有侍奉的
[00:01:03.000 --> 00:01:08.000]  八十年代有一位牧師,他叫做藤鎮輝牧師
[00:01:08.000 --> 00:01:12.000]  他寫了很多本書,其中一本書是我最喜歡的
[00:01:12.000 --> 00:01:14.000]  因為我看了這本書無數次
[00:01:14.000 --> 00:01:18.000]  他的題目,他的書名叫做《生命的侍奉》
[00:01:18.000 --> 00:01:22.000]  在我們圖書館有一本,現在買不到的,因為絕版了
[00:01:22.000 --> 00:01:26.000]  所以如果你完了崇拜之後,就先到先得
[00:01:26.000 --> 00:01:28.000]  在《生命的侍奉》裡面
[00:01:28.000 --> 00:01:34.000]  藤牧師在整本書,他用已忽所書這本書
[00:01:34.000 --> 00:01:37.000]  他教導我們什麼叫做侍奉
[00:01:37.000 --> 00:01:40.000]  我們怎樣用我們的生命去侍奉
[00:01:40.000 --> 00:01:44.000]  他說原來侍奉真正有三種因素
[00:01:44.000 --> 00:01:47.000]  第一,本位的侍奉
[00:01:47.000 --> 00:01:49.000]  第二,就是生活的侍奉
[00:01:49.000 --> 00:01:52.000]  第三,就是工作的侍奉
[00:01:52.000 --> 00:01:54.000]  什麼叫做本位的侍奉呢?
[00:01:54.000 --> 00:01:57.000]  藤牧師引用《仕徒行傳》十三章
[00:01:57.000 --> 00:02:01.000]  他說讚美、禱告、敬拜就是侍奉
[00:02:01.000 --> 00:02:04.000]  所以剛才我問大家,誰沒有侍奉,舉手
[00:02:04.000 --> 00:02:08.000]  其實你現在在讚美、敬拜我們的神
[00:02:08.000 --> 00:02:09.000]  就是一個這樣的侍奉
[00:02:09.000 --> 00:02:13.000]  所以你千萬不要在讚美、敬拜的時候
[00:02:13.000 --> 00:02:15.000]  你去了歐洲遊房
[00:02:15.000 --> 00:02:17.000]  因為這個是你的侍奉
[00:02:17.000 --> 00:02:20.000]  所以因為我們是一位被造者
[00:02:20.000 --> 00:02:23.000]  我們站在一個被造者的地位上
