
[00:00:00.000 --> 00:00:05.000]  這段時間應該屬於壽府節的尾聲
[00:00:05.000 --> 00:00:07.000]  正進入聖周
[00:00:07.000 --> 00:00:09.000]  按照教會傳統
[00:00:09.000 --> 00:00:12.000]  今天是宗芝主日
[00:00:12.000 --> 00:00:15.000]  會拿宗小芝圍著教會走一圈
[00:00:15.000 --> 00:00:19.000]  宗芝會在過一年後
[00:00:19.000 --> 00:00:22.000]  在屠夫節那天拿出來燒
[00:00:22.000 --> 00:00:24.000]  用來畫十字架在額頭上
[00:00:24.000 --> 00:00:29.000]  紀念壽府節前40天的禦虎期
[00:00:29.000 --> 00:00:34.000]  今日的經文正是宗芝主日中應用的經文
[00:00:34.000 --> 00:00:37.000]  當我收到邀請信時
[00:00:37.000 --> 00:00:43.000]  會否這段經文對我們有新的亮光呢?
[00:00:43.000 --> 00:00:45.000]  這段經文大家都會熟悉
[00:00:45.000 --> 00:00:49.000]  因為這段經文在馬太、馬可、路加、約翰
[00:00:49.000 --> 00:00:50.000]  都有記載
[00:00:50.000 --> 00:00:53.000]  耶穌進入耶路撒冷那星期發生的事情
[00:00:53.000 --> 00:00:55.000]  但今日我們用這段經文時
[00:00:55.000 --> 00:00:57.000]  希望主使用這段經文
[00:00:57.000 --> 00:00:59.000]  讓我們有更多的領受
[00:00:59.000 --> 00:01:00.000]  我們先由我禱告
[00:01:00.000 --> 00:01:02.000]  主讓我們在祢面前獻上感恩
[00:01:02.000 --> 00:01:04.000]  讓我們今天在宗芝主日的時候
[00:01:04.000 --> 00:01:07.000]  知道耶穌預備進入耶路撒冷最後一周
[00:01:07.000 --> 00:01:09.000]  讓我們存下謙卑的心
[00:01:09.000 --> 00:01:10.000]  倒空自己去仰望祢
[00:01:10.000 --> 00:01:12.000]  有願我們口裏所講的
[00:01:12.000 --> 00:01:13.000]  心裏所想的
[00:01:13.000 --> 00:01:14.000]  在祢面前都蒙如蠟
[00:01:14.000 --> 00:01:15.000]  祈禱交託
[00:01:15.000 --> 00:01:16.000]  奉耶穌基督得性命之祈求
[00:01:16.000 --> 00:01:17.000]  阿門
[00:01:17.000 --> 00:01:19.000]  如果主要用祢
