
[00:00:00.000 --> 00:00:03.000]  今日和大家諮詢的題目是「不死的愛」
[00:00:03.000 --> 00:00:07.000]  清少部預備這個三月的主題
[00:00:07.000 --> 00:00:10.000]  大家可以在資料中看到
[00:00:10.000 --> 00:00:13.000]  主題是「復活的主,不死的愛」
[00:00:13.000 --> 00:00:15.000]  所以我就選擇了這個「不死的愛」
[00:00:15.000 --> 00:00:16.000]  作為一個主題
[00:00:16.000 --> 00:00:17.000]  就開始三月這個題目
[00:00:17.000 --> 00:00:19.000]  迎接這個復活的主人
[00:00:19.000 --> 00:00:21.000]  耶穌基督復活
[00:00:21.000 --> 00:00:24.000]  證明神的愛是超越死亡
[00:00:24.000 --> 00:00:26.000]  我們地上裏面有一個責任
[00:00:26.000 --> 00:00:29.000]  就是如何活出耶穌基督的這份愛
[00:00:29.000 --> 00:00:31.000]  很出名
[00:00:31.000 --> 00:00:35.000]  很多扶貧服侍一些困難人的德蘭修女
[00:00:35.000 --> 00:00:36.000]  其中一句說話
[00:00:36.000 --> 00:00:38.000]  一個名句就說
[00:00:38.000 --> 00:00:40.000]  世上最大的疾病
[00:00:40.000 --> 00:00:42.000]  就是沒有人去紀念
[00:00:42.000 --> 00:00:45.000]  沒有人去理會你
[00:00:45.000 --> 00:00:47.000]  我們可以做的事情很少
[00:00:47.000 --> 00:00:49.000]  但是我們做每一件事情
[00:00:49.000 --> 00:00:51.000]  都可以帶著奇妙的愛
[00:00:51.000 --> 00:00:53.000]  今日主要的經文在
[00:00:53.000 --> 00:00:55.000]  臨後第七章第三節
[00:00:55.000 --> 00:00:56.000]  請聽我讀出
[00:00:56.000 --> 00:00:58.000]  臨後第七章第三節
[00:00:58.000 --> 00:00:59.000]  我說者說
[00:00:59.000 --> 00:01:01.000]  不是要定你們的罪
[00:01:01.000 --> 00:01:02.000]  我已經說過
[00:01:02.000 --> 00:01:04.000]  你們常在我們心裏
[00:01:04.000 --> 00:01:07.000]  情願與你們同生同死
[00:01:07.000 --> 00:01:09.000]  記得大概十年前
[00:01:09.000 --> 00:01:11.000]  默想這句金句的時候
[00:01:11.000 --> 00:01:12.000]  很大的感動
[00:01:12.000 --> 00:01:15.000]  林毅保羅在哥倫多教會
[00:01:15.000 --> 00:01:16.000]  面對很多的災難
[00:01:16.000 --> 00:01:17.000]  很多的衝突
[00:01:17.000 --> 00:01:19.000]  很多的困難的時候
[00:01:19.000 --> 00:01:21.000]  他竟然說
[00:01:21.000 --> 00:01:24.000]  情願與他們同生同死
[00:01:24.000 --> 00:01:26.000]  我也很想我們一些
[00:01:26.000 --> 00:01:28.000]  喜歡的人跟他說這句
[00:01:28.000 --> 00:01:29.000]  同生同死
[00:01:29.000 --> 00:01:31.000]  或者拍拖的時候
[00:01:31.000 --> 00:01:32.000]  結婚
[00:01:32.000 --> 00:01:33.000]  年紀大了
[00:01:33.000 --> 00:01:34.000]  希望子女這樣說
[00:01:34.000 --> 00:01:35.000]  希望子女長大後
[00:01:35.000 --> 00:01:36.000]  不要忘記父母
[00:01:36.000 --> 00:01:37.000]  想念我們
[00:01:37.000 --> 00:01:38.000]  都有很多這些
[00:01:38.000 --> 00:01:40.000]  同生同死的感受
[00:01:40.000 --> 00:01:41.000]  請說到愛
[00:01:41.000 --> 00:01:44.000]  其中一個寶貴的就是愛
[00:01:44.000 --> 00:01:46.000]  真正的愛可以勝過死亡
[00:01:46.000 --> 00:01:47.000]  有很大的力量
[00:01:47.000 --> 00:01:49.000]  或者我們再想這節經文之前
[00:01:49.000 --> 00:01:51.000]  我們先看熟悉的經文
[00:01:51.000 --> 00:01:53.000]  臨時第十三章的愛的詩篇
[00:01:53.000 --> 00:01:54.000]  一起讀
[00:01:54.000 --> 00:01:56.000]  讀完這幾節的愛的詩篇
[00:01:56.000 --> 00:01:57.000]  1 2 3
[00:01:57.000 --> 00:01:59.000]  愛是恆久忍耐
[00:01:59.000 --> 00:02:00.000]  又有恩慈
[00:02:00.000 --> 00:02:02.000]  愛是不疾度
[00:02:02.000 --> 00:02:03.000]  愛是不自誇
[00:02:03.000 --> 00:02:05.000]  不張狂
[00:02:05.000 --> 00:02:07.000]  不做害羞的事
[00:02:07.000 --> 00:02:09.000]  不求自己的益處
[00:02:09.000 --> 00:02:10.000]  不喜義發怒
[00:02:10.000 --> 00:02:12.000]  不計算人的惡
[00:02:12.000 --> 00:02:14.000]  不喜歡不義
[00:02:14.000 --> 00:02:16.000]  只喜歡真理
[00:02:16.000 --> 00:02:17.000]  凡是包容
[00:02:17.000 --> 00:02:18.000]  凡是相信
[00:02:18.000 --> 00:02:20.000]  凡是怕忘
[00:02:20.000 --> 00:02:21.000]  凡是忍耐
[00:02:21.000 --> 00:02:23.000]  愛是永不止息
[00:02:23.000 --> 00:02:25.000]  我試試再讀今天的經文
[00:02:25.000 --> 00:02:27.000]  就在下面那裡
[00:02:27.000 --> 00:02:29.000]  臨後七章第三節
[00:02:29.000 --> 00:02:30.000]  1 4 6
[00:02:30.000 --> 00:02:31.000]  我說者說
[00:02:31.000 --> 00:02:33.000]  不是要定你們的罪
[00:02:33.000 --> 00:02:35.000]  我已經說過
[00:02:35.000 --> 00:02:37.000]  你們常在我們心裡
[00:02:37.000 --> 00:02:40.000]  情願與你們同生同死
[00:02:40.000 --> 00:02:42.000]  我試試用這節經文
[00:02:42.000 --> 00:02:44.000]  分到三大點
[00:02:44.000 --> 00:02:45.000]  第一大點就是
[00:02:45.000 --> 00:02:47.000]  本來很特別就是
[00:02:47.000 --> 00:02:49.000]  在他面對很多的傷害
[00:02:49.000 --> 00:02:51.000]  衝突的時候
[00:02:51.000 --> 00:02:53.000]  他仍然能夠愛
[00:02:53.000 --> 00:02:55.000]  在我們人生裡
[00:02:55.000 --> 00:02:58.000]  經歷過不同的受傷的時候
[00:02:58.000 --> 00:03:00.000]  你還願意去愛呢?
[00:03:00.000 --> 00:03:02.000]  有些人說人呢
[00:03:02.000 --> 00:03:03.000]  比如一個箭豬
[00:03:03.000 --> 00:03:04.000]  大家聽聽這個比喻
[00:03:04.000 --> 00:03:05.000]  箭豬呢
[00:03:05.000 --> 00:03:06.000]  冬天的箭豬
[00:03:06.000 --> 00:03:07.000]  經常走過來
[00:03:07.000 --> 00:03:08.000]  想要彼此溫暖
[00:03:08.000 --> 00:03:10.000]  走得近就扎了對方
[00:03:10.000 --> 00:03:12.000]  有時人生有很多事
[00:03:12.000 --> 00:03:13.000]  你回到教會
[00:03:13.000 --> 00:03:14.000]  想要很多的溫暖
[00:03:14.000 --> 00:03:15.000]  但可能不知不覺呢
[00:03:15.000 --> 00:03:16.000]  有時弟兄姊妹
[00:03:16.000 --> 00:03:17.000]  都有不同的故事
[00:03:17.000 --> 00:03:18.000]  磨合
[00:03:18.000 --> 00:03:19.000]  又要衝突了
[00:03:19.000 --> 00:03:22.000]  我們交朋友
[00:03:22.000 --> 00:03:23.000]  同事
[00:03:23.000 --> 00:03:24.000]  或者結婚也是
[00:03:24.000 --> 00:03:25.000]  婚姻也是
[00:03:25.000 --> 00:03:26.000]  感情也是
[00:03:26.000 --> 00:03:28.000]  很想彼此能夠
[00:03:28.000 --> 00:03:29.000]  一個溫暖的家庭
[00:03:29.000 --> 00:03:31.000]  但有時不知不覺
[00:03:31.000 --> 00:03:32.000]  又有衝突
[00:03:32.000 --> 00:03:33.000]  又有很多的磨合
[00:03:33.000 --> 00:03:35.000]  有很多的故事
[00:03:35.000 --> 00:03:38.000]  在經過很多受傷的時候
[00:03:38.000 --> 00:03:39.000]  我們願不願意
