
[00:00:00.000 --> 00:00:03.160]  今日講到的題目是關於憤怒的
[00:00:03.160 --> 00:00:06.520]  那憤怒鳥呢,不知道大家有沒有玩過這遊戲呢
[00:00:06.520 --> 00:00:09.640]  以前有一個遊戲叫憤怒鳥,就是Angry Bird
[00:00:09.640 --> 00:00:13.440]  那都蠻好玩的,彈一下彈一下就射到東西
[00:00:13.440 --> 00:00:14.560]  很厲害的
[00:00:14.560 --> 00:00:18.120]  其實摩西是一個舊約很偉大的人物
[00:00:18.120 --> 00:00:21.240]  希望大家有聽過,有誰沒有聽過摩西的?
[00:00:21.240 --> 00:00:23.760]  沒什麼人聽過
[00:00:23.760 --> 00:00:27.000]  沒什麼人,不想舉手說聽過
[00:00:27.000 --> 00:00:28.440]  即是知道的,應該知道的
[00:00:28.440 --> 00:00:31.160]  因為舊約聖經一打開就是關於摩西了
[00:00:31.160 --> 00:00:35.720]  因為摩西五經,頭那五卷聖經基本上都是摩西所寫的
[00:00:35.720 --> 00:00:40.200]  他在神面前所領受很多的東西,很多的經歷寫下了下來
[00:00:40.200 --> 00:00:43.320]  所以頭那五卷聖經跟摩西有關係
[00:00:43.320 --> 00:00:47.680]  摩西呢,我們說五卷經書都是他寫的
[00:00:47.680 --> 00:00:50.880]  文素記十二章第三節這樣說
[00:00:50.880 --> 00:00:55.880]  摩西為人極其謙和,勝過世上的眾人
[00:00:56.680 --> 00:00:59.280]  這句話都是他自己記錄下來的
[00:00:59.280 --> 00:01:02.000]  這句話不是他說的,是別人說的,是神說的
[00:01:02.000 --> 00:01:04.000]  但是他都記錄下來
[00:01:04.000 --> 00:01:08.120]  都是很謙虛得來,也很誠實
[00:01:08.120 --> 00:01:09.800]  神說他又記錄了下來
[00:01:09.800 --> 00:01:14.480]  形容摩西是一個很謙卑,一個很謙和的人
[00:01:14.480 --> 00:01:19.280]  但是今天說這段經文卻是他並不謙和的一個表現
[00:01:19.280 --> 00:01:23.480]  所以今天說的這個題目對我們有一個提醒的作用
[00:01:23.480 --> 00:01:25.960]  就是如果摩西這麼偉大的人物
[00:01:26.680 --> 00:01:29.480]  一個神形容他是這麼謙和的人
[00:01:29.480 --> 00:01:31.000]  但是都犯了一些毛病
[00:01:31.000 --> 00:01:34.560]  何況我們在新約聖經裡面
[00:01:34.560 --> 00:01:36.240]  或者整體的舊約聖經提到
[00:01:36.240 --> 00:01:37.760]  每一個人都是犯罪
[00:01:37.760 --> 00:01:39.200]  每一個人都有種罪性
[00:01:39.200 --> 00:01:41.840]  這個都是我們不需要很多的爭拗
[00:01:41.840 --> 00:01:43.440]  如果我們是信主的人
[00:01:43.440 --> 00:01:45.160]  未信主的人可能會爭論說
[00:01:45.160 --> 00:01:46.760]  我沒有罪,我沒有問題
[00:01:46.760 --> 00:01:51.560]  假設大家是信主,你明白我們有種罪性
[00:01:51.560 --> 00:01:54.640]  因為小時候一直長大的時候
[00:01:54.640 --> 00:01:58.200]  慢慢發展回來的,每一個人都是發展回來的
[00:01:58.200 --> 00:02:00.720]  譬如有些人說話的嘴巴真的有一股味道
[00:02:00.720 --> 00:02:03.120]  你聽到的,踢聞到的,聽得出的
[00:02:03.120 --> 00:02:06.400]  有些人的脾性就真的比較弱一點
[00:02:06.400 --> 00:02:08.400]  是很容易被人惹怒的
[00:02:08.400 --> 00:02:10.960]  有些人做事很暴躁,很心急的
[00:02:10.960 --> 00:02:14.480]  當然還有很多很多不同的東西
[00:02:14.480 --> 00:02:16.400]  摩西的確是一個很重要的人
[00:02:16.400 --> 00:02:20.640]  因為他在舊約裡面很少很少的人之中
[00:02:20.640 --> 00:02:22.720]  是面見面見過神
[00:02:22.720 --> 00:02:26.440]  所以他的面容是發光,用一塊帕子遮著臉
[00:02:26.440 --> 00:02:28.680]  又看到神的前面,又看到神的背脊
[00:02:28.680 --> 00:02:31.760]  很多的形容很緊密
[00:02:31.760 --> 00:02:35.560]  摩西在舊約裡面跟耶穌有一定的關係,有一個對比
[00:02:35.560 --> 00:02:38.680]  他是舊約的宗保,有一個這樣的角色
[00:02:38.680 --> 00:02:41.200]  當人犯罪,神要懲罰他的時候
[00:02:41.200 --> 00:02:43.720]  他向神祈禱說不要懲罰他們
[00:02:43.720 --> 00:02:46.120]  寧願我受罪,寧願我無後代
[00:02:46.120 --> 00:02:48.600]  但都要保護這些百姓
[00:02:48.600 --> 00:02:51.880]  所以在舊約裡面,摩西是一個宗保的角色
[00:02:51.880 --> 00:02:56.360]  也有預表耶穌基督要來到的那種慰憤
[00:02:56.360 --> 00:03:01.520]  當然他寫五經,締造了舊約神學的基要立場
[00:03:01.520 --> 00:03:06.240]  今天我們說的新約舊約,很多內容都跟摩西五經有關係
[00:03:06.240 --> 00:03:10.040]  所以摩西是一個非常非常重要的人物
[00:03:10.040 --> 00:03:13.320]  今天一段經文是講到關於
[00:03:13.320 --> 00:03:15.760]  他面對試煉和攻擊
[00:03:15.760 --> 00:03:18.720]  剛才讀了經文,或者講回第一節
[00:03:18.720 --> 00:03:23.280]  第一節是講到時間性,沒有打出來我讀給大家聽
[00:03:23.280 --> 00:03:28.400]  正月間以色列傳媒眾到了沉的曠野,住在迦底斯
[00:03:28.400 --> 00:03:31.560]  米利安死在那裡,就葬在那裡
[00:03:31.560 --> 00:03:35.160]  大家知道摩西有三姊弟,是嗎?
[00:03:35.160 --> 00:03:37.160]  哪三個?
[00:03:37.160 --> 00:03:44.560]  亞倫、摩西、米利安
[00:03:44.560 --> 00:03:48.960]  米利安是一個很出色的姐姐,她有什麼特別呢?
[00:03:48.960 --> 00:03:54.080]  因為摩西小時候的故事是因為當時是屠殺
[00:03:54.080 --> 00:03:59.480]  埃及要屠殺所有出生的男孩子殺害他
[00:03:59.480 --> 00:04:04.200]  他媽媽為了保護摩西就拿一個籃子放在尼羅河那裡
[00:04:04.200 --> 00:04:06.600]  希望飄到那裡有人救她
[00:04:06.600 --> 00:04:08.280]  大家認不認識這個故事?
[00:04:08.280 --> 00:04:12.880]  他姐姐當時站在旁邊,就是米利安站在那裡
[00:04:12.880 --> 00:04:14.880]  看看她的情況如何
[00:04:14.880 --> 00:04:21.000]  埃及有個公主看到有個帥哥想養她的時候
[00:04:21.000 --> 00:04:22.680]  米利安挺身而出
[00:04:22.680 --> 00:04:25.560]  她說不如找個奶媽來幫你照顧她
[00:04:25.560 --> 00:04:28.200]  這個奶媽是誰?就是她媽媽
[00:04:28.200 --> 00:04:33.680]  所以米利安小時候已經很勇敢、很有智慧
[00:04:33.680 --> 00:04:35.680]  因為不知道會發生什麼事
[00:04:35.680 --> 00:04:37.680]  但當埃及人來到的時候
[00:04:37.680 --> 00:04:41.000]  她居然很勇敢走過去獻計說不如找個奶媽
[00:04:41.000 --> 00:04:43.480]  然後找她媽媽照顧摩西
[00:04:43.480 --> 00:04:45.800]  對於摩西有很深遠的影響
[00:04:45.800 --> 00:04:47.800]  因為有媽媽照顧很不同
[00:04:47.800 --> 00:04:49.440]  她知道自己的身份
[00:04:49.440 --> 00:04:52.520]  有親媽媽照顧她的品性
[00:04:52.520 --> 00:04:55.920]  她對民族性的醒覺是很大的
[00:04:55.920 --> 00:04:58.400]  所以米利安從小已經很重要
[00:04:58.400 --> 00:05:01.760]  到她長大的時候當然跟摩西、亞倫一起
[00:05:01.760 --> 00:05:03.040]  帶領以色列回眾
[00:05:03.040 --> 00:05:05.720]  她在過紅海的時候唱了一首詩歌
[00:05:05.720 --> 00:05:08.160]  她有她領導的位置
[00:05:08.160 --> 00:05:10.720]  不過在這個時候她就死了
[00:05:10.720 --> 00:05:12.920]  這個時候告訴我一個年份
[00:05:12.920 --> 00:05:16.840]  你知不知道是出埃及之後的第幾多年?
