
[00:00:00.000 --> 00:00:02.760]  歡迎大家來到我們的主日崇拜
[00:00:02.760 --> 00:00:07.800]  兩個星期前我們開始宣講十屆中的第七屆
[00:00:07.800 --> 00:00:09.480]  不可耕入
[00:00:09.480 --> 00:00:12.000]  首先宣講的是舊約篇
[00:00:12.000 --> 00:00:13.720]  然後上個星期
[00:00:13.720 --> 00:00:16.480]  我們宣講新約篇
[00:00:16.480 --> 00:00:19.120]  今天要宣講的是綜合篇
[00:00:19.120 --> 00:00:22.680]  就是要整合第一、第二篇講道
[00:00:22.680 --> 00:00:26.320]  再延伸至今天的世界
[00:00:26.320 --> 00:00:30.560]  去深度的應用在我們的生命裏面
[00:00:30.560 --> 00:00:35.040]  我想先用五點來總結前兩篇的信息
[00:00:35.040 --> 00:00:37.600]  就是說舊約到新約
[00:00:37.600 --> 00:00:43.080]  整個有關不可耕入的教導
[00:00:43.080 --> 00:00:45.200]  這五點分別是第一點
[00:00:45.200 --> 00:00:47.360]  始祖大叛逆
[00:00:47.360 --> 00:00:50.160]  背棄主婚約
[00:00:50.160 --> 00:00:54.120]  我專門用婚約來代表盟約
[00:00:54.120 --> 00:00:58.120]  因為上帝在形容他們的叛逆裏面
[00:00:58.120 --> 00:01:01.880]  是講到他們正在犯的彷彿是第七屆
[00:01:01.880 --> 00:01:03.400]  不可耕入
[00:01:03.400 --> 00:01:06.880]  亞當夏娃犯了第七屆
[00:01:06.880 --> 00:01:08.840]  干犯了耕入
[00:01:08.840 --> 00:01:13.160]  於是帶來的後果是赤裸被顯露
[00:01:13.160 --> 00:01:15.320]  放逐受審判
[00:01:15.320 --> 00:01:18.600]  是耕入罪的兩個刑罰
[00:01:18.600 --> 00:01:20.320]  去到第三點
[00:01:20.320 --> 00:01:24.480]  耶穌基督釘十架蒙羞贖罪人
[00:01:24.480 --> 00:01:28.120]  耶穌基督在十架上所領受的刑罰是甚麼
[00:01:28.120 --> 00:01:30.520]  就是赤裸被顯露
[00:01:30.520 --> 00:01:33.000]  放逐受審判
[00:01:33.000 --> 00:01:36.720]  接著帶來耶穌的救恩來到我們身上
[00:01:36.720 --> 00:01:39.040]  穿上主義袍
[00:01:39.040 --> 00:01:41.200]  人神德和好
[00:01:41.200 --> 00:01:44.760]  那個義袍相對之前的赤裸
[00:01:44.760 --> 00:01:47.600]  我們之前在亞當裏面成為赤裸
[00:01:47.600 --> 00:01:51.960]  我們現在穿上耶穌基督給我們預備的義袍
[00:01:51.960 --> 00:01:54.520]  接著人神德和好
[00:01:54.520 --> 00:01:57.800]  和好對應之前的放逐
[00:01:57.800 --> 00:01:59.880]  最後還有一點
[00:01:59.880 --> 00:02:02.920]  就是蒙因心馴服
[00:02:02.920 --> 00:02:05.560]  守若後君臨
[00:02:05.560 --> 00:02:06.920]  對應前面
[00:02:06.920 --> 00:02:08.200]  前面是叛逆
[00:02:08.200 --> 00:02:10.400]  現在是馴服
