
[00:00:00.000 --> 00:00:02.000]  聖經這樣說的
[00:00:02.000 --> 00:00:04.000]  七日的頭一日
[00:00:04.000 --> 00:00:06.000]  黎明的時候
[00:00:06.000 --> 00:00:08.000]  那些婦女帶著所預備的香料
[00:00:08.000 --> 00:00:10.000]  來到墳墓前
[00:00:10.000 --> 00:00:14.000]  看見石頭已經從墳墓滾開了
[00:00:14.000 --> 00:00:16.000]  她們就進去
[00:00:16.000 --> 00:00:18.000]  只是不見耶穌的身體
[00:00:18.000 --> 00:00:20.000]  正在猜疑之間
[00:00:20.000 --> 00:00:22.000]  忽然有兩個人站在旁邊
[00:00:22.000 --> 00:00:24.000]  衣服放光
[00:00:24.000 --> 00:00:26.000]  婦女們驚怕
[00:00:26.000 --> 00:00:28.000]  將臉伏地
[00:00:28.000 --> 00:00:30.000]  那兩個人就對她說
[00:00:30.000 --> 00:00:34.000]  為什麼在死人中找活人呢?
[00:00:34.000 --> 00:00:36.000]  她不在這裡
[00:00:36.000 --> 00:00:38.000]  已經復活了
[00:00:38.000 --> 00:00:40.000]  當紀念她
[00:00:40.000 --> 00:00:42.000]  還在加利利的時候
[00:00:42.000 --> 00:00:44.000]  怎樣告訴你們
[00:00:44.000 --> 00:00:48.000]  說人子必須被交在罪人手裡
[00:00:48.000 --> 00:00:50.000]  釘在十字架上
[00:00:50.000 --> 00:00:52.000]  第三日復活
[00:00:52.000 --> 00:00:54.000]  她們就想起耶穌的話來
[00:00:54.000 --> 00:00:56.000]  便從墳墓那裡回去
[00:00:56.000 --> 00:00:58.000]  把這一切事告訴
[00:00:58.000 --> 00:01:02.000]  十一個使徒和其餘的人
[00:01:02.000 --> 00:01:04.000]  今天是2019年4月21日
[00:01:04.000 --> 00:01:06.000]  復活主日
[00:01:06.000 --> 00:01:10.000]  是紀念在1986年前
[00:01:10.000 --> 00:01:12.000]  主耶穌釘死十字架後
[00:01:12.000 --> 00:01:16.000]  三天復活的日子
[00:01:16.000 --> 00:01:20.000]  原來是紀念了1986年
[00:01:20.000 --> 00:01:22.000]  已經這麼長時間了
[00:01:22.000 --> 00:01:24.000]  我們仍然紀念
[00:01:24.000 --> 00:01:26.000]  我們仍然紀念
[00:01:26.000 --> 00:01:30.000]  因為耶穌是復活的主
[00:01:30.000 --> 00:01:34.000]  近年統計教會弟兄姊妹
[00:01:34.000 --> 00:01:38.000]  對於復活主日的認識
[00:01:38.000 --> 00:01:40.000]  他們中間
[00:01:40.000 --> 00:01:42.000]  大約有80%的人
[00:01:42.000 --> 00:01:46.000]  都知道復活主日是做什麼的
[00:01:46.000 --> 00:01:48.000]  其中有20%
[00:01:48.000 --> 00:01:52.000]  不知道復活主日究竟是做什麼的
[00:01:52.000 --> 00:01:54.000]  我不知道大家
[00:01:54.000 --> 00:01:58.000]  是那80%以內
[00:01:58.000 --> 00:02:00.000]  還是20%以內
[00:02:00.000 --> 00:02:04.000]  我問過一些長者
[00:02:04.000 --> 00:02:06.000]  他們說復活主日真的不知道是做什麼的
[00:02:06.000 --> 00:02:10.000]  但你知道是做什麼的嗎?
[00:02:10.000 --> 00:02:12.000]  我問他
[00:02:12.000 --> 00:02:14.000]  有沒有聽過耶穌的名字?
[00:02:14.000 --> 00:02:16.000]  知不知道耶穌被釘十字架?
[00:02:16.000 --> 00:02:20.000]  信不信耶穌死後三天復活?
[00:02:20.000 --> 00:02:22.000]  這三個問題我問你的時候
[00:02:22.000 --> 00:02:24.000]  你會怎樣回答呢?
[00:02:24.000 --> 00:02:26.000]  傳一下麥克風
[00:02:26.000 --> 00:02:28.000]  好像成就班一樣
[00:02:28.000 --> 00:02:30.000]  傳一下麥克風
[00:02:30.000 --> 00:02:32.000]  挺好的
[00:02:32.000 --> 00:02:34.000]  給大家一個機會來表達
[00:02:34.000 --> 00:02:36.000]  但我們說原來
