
[00:00:00.000 --> 00:00:04.000]  大家還記得在詩詩記的第一章第二章裏面
[00:00:04.000 --> 00:00:08.000]  講到以色列的百姓要進到渣男美地
[00:00:08.000 --> 00:00:14.000]  他們進去了卻沒有完全的佔領那個地方
[00:00:14.000 --> 00:00:18.000]  在當中給我們看到神要我們學習的功課
[00:00:18.000 --> 00:00:21.000]  今天在詩詩記第三章裏面
[00:00:21.000 --> 00:00:27.000]  給我們重新的來看見神如何的爲我們準備詩詩來拯救我們
[00:00:27.000 --> 00:00:30.000]  詩詩記的第三章第一節
[00:00:30.000 --> 00:00:36.000]  我一邊在唸的時候把當中一些背景跟大家來解釋一下
[00:00:36.000 --> 00:00:40.000]  第三章的第一節由華樓下的階級族
[00:00:40.000 --> 00:00:49.000]  爲要試驗那不曾知道與渣男征戰之事的以色列人
[00:00:49.000 --> 00:00:54.000]  當中耶穌亞的年代已經過去
[00:00:54.000 --> 00:00:57.000]  征戰已經減少
[00:00:57.000 --> 00:01:07.000]  所以下一代不曉得過去曾經與渣男地的這些民族征戰的歷史
[00:01:07.000 --> 00:01:10.000]  神特別留下了這些階級族
[00:01:10.000 --> 00:01:16.000]  號叫以色列的後代又知道又學習
[00:01:16.000 --> 00:01:20.000]  未曾曉得的展示
[00:01:20.000 --> 00:01:28.000]  他們知道嗎?大概聽過他們的上一代講到征戰的這個記載
[00:01:28.000 --> 00:01:31.000]  但是他們有徵戰嗎?沒有
[00:01:31.000 --> 00:01:40.000]  他們需要學習上一代曾經與仇敵征戰的這個技術
[00:01:40.000 --> 00:01:47.000]  所以留下來的就是斐理士五個首領和一切的渣男人
[00:01:47.000 --> 00:01:50.000]  西鄧人,西鄧是海邊的民族
[00:01:50.000 --> 00:01:57.000]  斐理士人是當時候在北方一個比較強大的民族
[00:01:57.000 --> 00:02:04.000]  他們以首領爲要的一種的城市的生活
[00:02:04.000 --> 00:02:09.000]  並住在利巴倫山的西漠人口
[00:02:09.000 --> 00:02:14.000]  從巴黎黑門山直到哈馬口
[00:02:14.000 --> 00:02:17.000]  這羣人沒有特別大的記載
[00:02:17.000 --> 00:02:21.000]  只說他們是拜多神的民族
[00:02:21.000 --> 00:02:25.000]  第四節重新地講到留下的這個意思
[00:02:25.000 --> 00:02:30.000]  第四節留下這幾族爲要試驗以色列人
[00:02:30.000 --> 00:02:38.000]  知道他們肯聽從爺華皆摩西吩咐他們列祖的誡命不肯
[00:02:38.000 --> 00:02:46.000]  試驗的結果是盼望以色列百姓能夠遵循列祖的命令
[00:02:46.000 --> 00:02:49.000]  第五節這裏就開始地講到
[00:02:49.000 --> 00:02:54.000]  當時候與以色列百姓同住的幾羣人
[00:02:54.000 --> 00:03:02.000]  以色列人僅住在渣男人、黑人、亞摩利人、比利西人、西魅人
[00:03:02.000 --> 00:03:12.000]  也不失人忠奸,許他們的女兒爲妻,將自己的女兒嫁給他們的兒子並侍奉他們的神
[00:03:12.000 --> 00:03:18.000]  第五節講到一個蠻長的事件
[00:03:18.000 --> 00:03:20.000]  不僅僅是與他們同住
[00:03:20.000 --> 00:03:26.000]  後來通婚到最後服侍他們的神
[00:03:26.000 --> 00:03:29.000]  以色列人行爺華眼中恨爲惡的事
[00:03:29.000 --> 00:03:32.000]  忘記爺華一切
[00:03:32.000 --> 00:03:39.000]  他們神去侍奉朱巴力跟亞瑟拉
[00:03:39.000 --> 00:03:46.000]  亞瑟拉是渣男中最重要的一個女偶像
[00:03:46.000 --> 00:03:52.000]  聽說這個偶像是七十個偶像之母
[00:03:52.000 --> 00:03:55.000]  是用木頭做的
[00:03:55.000 --> 00:04:01.000]  所以爺華的怒氣向以色列人發作
[00:04:01.000 --> 00:04:10.000]  就把他們交在米索波大米王谷三利沙田的手中
[00:04:10.000 --> 00:04:11.000]  大家不要記這個名字
[00:04:11.000 --> 00:04:13.000]  因爲是講到一個地方當中一個王
[00:04:13.000 --> 00:04:21.000]  翻出來的意思就是這個是又惡又毒的一個王
[00:04:21.000 --> 00:04:31.000]  有人說是一個兩倍加在別人痛苦身上的王的這個名字
[00:04:31.000 --> 00:04:35.000]  這個是當中可能翻出來的意思
[00:04:35.000 --> 00:04:40.000]  以色列人服侍利沙谷八年
[00:04:40.000 --> 00:04:42.000]  以色列人復仇爺華的時候
[00:04:42.000 --> 00:04:44.000]  爺華就爲他們興喜
[00:04:44.000 --> 00:04:48.000]  因爲拯救者救他們
