
[00:00:00.000 --> 00:00:04.000]  今天和大家講到的題目是
[00:00:04.000 --> 00:00:08.000]  回來感恩敬拜耶穌
[00:00:08.000 --> 00:00:12.000]  回來感恩敬拜耶穌
[00:00:12.000 --> 00:00:15.000]  我們很容易會想起感恩節
[00:00:15.000 --> 00:00:18.000]  我們回來數算主因去敬拜
[00:00:18.000 --> 00:00:22.000]  但我今天要講的不單止是這一方面
[00:00:22.000 --> 00:00:26.000]  而是要講我們每一個重新得救的基督徒
[00:00:26.000 --> 00:00:30.000]  我們都應該每一個主日都要回來
[00:00:30.000 --> 00:00:34.000]  歡喜快樂地去感恩敬拜我們的主耶穌
[00:00:34.000 --> 00:00:38.000]  這個也是作為神的子民應該有的生活習慣
[00:00:38.000 --> 00:00:42.000]  是生活習慣
[00:00:42.000 --> 00:00:44.000]  我們可以想想
[00:00:44.000 --> 00:00:47.000]  無論我們在過往這個禮拜裡
[00:00:47.000 --> 00:00:51.000]  我們得到神的恩典
[00:00:51.000 --> 00:00:56.000]  這種恩典無論是得到額外的好處
[00:00:56.000 --> 00:00:59.000]  或者是遇到困難
[00:00:59.000 --> 00:01:02.000]  就是因為在困難困境之中
[00:01:02.000 --> 00:01:04.000]  我們得到神的安慰
[00:01:04.000 --> 00:01:07.000]  或者我們就是靠著神的恩典能力
[00:01:07.000 --> 00:01:11.000]  能夠忍受得住那些困難困境
[00:01:11.000 --> 00:01:20.000]  這樣就已經是值得我們回來去敬拜我們的主耶穌
[00:01:20.000 --> 00:01:23.000]  去感恩
[00:01:23.000 --> 00:01:27.000]  今天這一段的經文和這個主題
[00:01:27.000 --> 00:01:32.000]  其實可以在感恩節裡面一個很好的講道
[00:01:32.000 --> 00:01:35.000]  可以等到感恩節才講的
[00:01:35.000 --> 00:01:37.000]  但是我真的忍不住了
[00:01:37.000 --> 00:01:39.000]  今天要講
[00:01:39.000 --> 00:01:42.000]  因為實在有很感恩的事
[00:01:42.000 --> 00:01:45.000]  在這個星期裡面發生
[00:01:45.000 --> 00:01:50.000]  就是我們第一次做本地短宣
