
[00:00:00.000 --> 00:00:02.080]  各位領袖姐妹們 平安
[00:00:02.080 --> 00:00:03.700]  讓我們一起來讀一段神的話語
[00:00:03.700 --> 00:00:07.780]  在提摩太后書二章一到六節
[00:00:07.780 --> 00:00:09.240]  我們一起來
[00:00:09.240 --> 00:00:10.200]  我兒啊
[00:00:10.200 --> 00:00:13.980]  你要在基督耶穌的恩典上剛搶起來
[00:00:13.980 --> 00:00:16.140]  你在許多見證人面前
[00:00:16.140 --> 00:00:18.040]  聽見我所教訓的
[00:00:18.040 --> 00:00:22.580]  也要交託那忠心能教導別人的人
[00:00:22.580 --> 00:00:24.480]  你要和我同受苦難
[00:00:24.480 --> 00:00:27.100]  好像基督耶穌的精兵
[00:00:27.100 --> 00:00:28.900]  凡在軍中當兵的
[00:00:28.900 --> 00:00:30.800]  不將事物纏身
[00:00:30.800 --> 00:00:34.240]  好像那招他當兵的人喜悅
[00:00:34.240 --> 00:00:35.800]  人若在場上比武
[00:00:35.800 --> 00:00:38.780]  非按規矩就不能得冠冕
[00:00:38.780 --> 00:00:43.800]  勞力的農夫理當先得糧食
[00:00:43.800 --> 00:00:46.140]  感謝各位領袖姐妹的禱告
[00:00:46.140 --> 00:00:48.580]  六月份的蒙古短宣
[00:00:48.580 --> 00:00:51.700]  在上週順利的平安回來
[00:00:51.700 --> 00:00:54.140]  這次蒙古我們見證了神
[00:00:54.140 --> 00:00:56.980]  祂奇妙榮美的工作
[00:00:56.980 --> 00:00:59.800]  弟兄姐妹你知道嗎 在1989年
[00:00:59.800 --> 00:01:01.380]  也不是太久以前
[00:01:01.380 --> 00:01:04.140]  蒙古官方的宗教人口調查
[00:01:04.140 --> 00:01:06.600]  你知道全蒙古有多少位基督徒嗎
[00:01:06.600 --> 00:01:08.600]  只有四位基督徒
[00:01:08.600 --> 00:01:10.880]  哇 1989年
[00:01:10.880 --> 00:01:13.680]  那在一些基督教機構的調查
[00:01:13.680 --> 00:01:16.280]  當時大概就是五十個人左右
[00:01:16.280 --> 00:01:18.440]  是真的非常的少
[00:01:18.440 --> 00:01:22.140]  而自從1991年蘇聯瓦解
