
[00:00:00.000 --> 00:00:07.040]  耶穌升天前說:「你們要等聖靈的臨在」
[00:00:07.040 --> 00:00:10.640]  當時我心裏讀《使徒行傳》第一章第八節時
[00:00:10.640 --> 00:00:12.880]  我心裏也不明白
[00:00:12.880 --> 00:00:16.480]  我亦深信當時的門徒也不明白
[00:00:16.480 --> 00:00:20.280]  為何耶穌忽然在升天前的最後一句說話
[00:00:20.280 --> 00:00:23.600]  「你們要等聖靈的臨在」
[00:00:23.600 --> 00:00:25.000]  為何我不明白呢?
[00:00:25.000 --> 00:00:27.480]  因為那班門徒跟隨了耶穌三年
[00:00:27.480 --> 00:00:29.160]  跟隨了這個大佬三年
[00:00:29.160 --> 00:00:32.520]  跟隨了耶穌這麼精彩的三位真神
[00:00:32.520 --> 00:00:34.120]  第二位聖子
[00:00:34.120 --> 00:00:35.480]  能夠跟隨祂三年
[00:00:35.480 --> 00:00:36.520]  跟隨祂學聖經
[00:00:36.520 --> 00:00:37.720]  跟隨祂的教導
[00:00:37.720 --> 00:00:39.480]  看到五餅而餘 餵飽五千人
[00:00:39.480 --> 00:00:40.440]  看到神蹟奇事
[00:00:40.440 --> 00:00:41.640]  看到耶穌行海
[00:00:41.640 --> 00:00:43.000]  看到平靜風浪
[00:00:43.000 --> 00:00:45.320]  這麼多神蹟奇事
[00:00:45.320 --> 00:00:48.000]  但耶穌升天時卻沒有說:
[00:00:48.000 --> 00:00:49.080]  「你們快點傳福音吧」
[00:00:49.080 --> 00:00:51.920]  「把我的神蹟奇事 把我的事全都告訴別人」
[00:00:51.920 --> 00:00:53.120]  耶穌不是這樣說
[00:00:53.120 --> 00:00:58.000]  耶穌反而說:「你們要等聖靈的臨在」
[00:00:58.000 --> 00:01:00.880]  我不明白 為何跟隨了耶穌三年
[00:01:00.880 --> 00:01:02.240]  已經這麼精彩
[00:01:02.240 --> 00:01:04.160]  能夠貼身跟隨耶穌三年
[00:01:04.160 --> 00:01:07.000]  為何還要耶穌說這句話
[00:01:07.000 --> 00:01:08.720]  我肯定那班門徒不明白
[00:01:08.720 --> 00:01:11.240]  原因是當耶穌真的升天時
[00:01:11.240 --> 00:01:13.360]  那班門徒望著天
[00:01:13.360 --> 00:01:14.720]  一直望著天
[00:01:14.720 --> 00:01:17.040]  他們望著天 希望耶穌快點回來
[00:01:17.040 --> 00:01:18.120]  這個大佬不能離開
[00:01:18.120 --> 00:01:19.320]  這個大佬很重要
[00:01:19.320 --> 00:01:19.880]  快點回來
[00:01:19.880 --> 00:01:22.280]  因為他離開後 我們不知道跟隨誰
[00:01:22.280 --> 00:01:23.880]  但下來的不是耶穌
[00:01:23.880 --> 00:01:25.160]  下來的是天使
[00:01:25.160 --> 00:01:26.600]  天使還跟門徒說:
[00:01:26.600 --> 00:01:28.880]  「喂!你記得耶穌說甚麼嗎?」
[00:01:28.880 --> 00:01:30.440]  「耶穌說你回去等」
[00:01:30.440 --> 00:01:31.360]  「等誰?」
