
[00:00:00.000 --> 00:00:09.300]  今天,我要跟各位分享的信息,是沒看見就信得有福了。
[00:00:09.300 --> 00:00:18.040]  我們大家都知道,在約翰福音裏面,重要的有七個神蹟。
[00:00:18.040 --> 00:00:26.400]  水變九的神蹟,五餅二魚的神蹟,還有拉撒路復活的神蹟等等。
[00:00:26.400 --> 00:00:33.600]  但是我們都不知道,其實每一個神蹟都配合着一個講論。
[00:00:33.600 --> 00:00:41.200]  這是耶穌特別爲了要配合神蹟,所做的一個教導。
[00:00:41.200 --> 00:00:47.600]  譬如我第一次講過說,我的題目叫做強盜、牧人、故宮。
[00:00:47.600 --> 00:00:55.400]  強盜就是來偷竊毀壞殺害的,故宮是僱來的工人。
[00:00:55.400 --> 00:01:01.100]  只有牧人才是真正爲羊舍命的。
[00:01:01.100 --> 00:01:09.100]  想起很久以前,我看了一部西部牛仔片,叫做The Good, The Bad, The Ugly。
[00:01:09.100 --> 00:01:16.000]  The Good就是牧人,The Bad就是強盜,The Ugly就是那故宮。
[00:01:16.000 --> 00:01:23.800]  耶穌用拉撒路復活的神蹟,祂帶出來一個好牧人的講論。
[00:01:23.800 --> 00:01:29.800]  因爲祂最後說,我實實在在地告訴你們,我就是羊的門。
[00:01:29.800 --> 00:01:35.200]  你去看《約翰福音》,祂有好多次講說,我實實在在地告訴你們。
[00:01:35.200 --> 00:01:40.000]  英文說是,I tell you the truth,這是最重要。
[00:01:40.000 --> 00:01:45.300]  當聖經祂說,我實實在在地告訴你,或者告訴你們的時候,
[00:01:45.300 --> 00:01:49.900]  你記好眼睛睜亮,看祂要講什麼,祂說我是好牧人。
[00:01:49.900 --> 00:01:55.900]  耶穌彷彿在告訴我們說,拉撒路死了,我新的神蹟把祂復活了。
[00:01:55.900 --> 00:02:00.600]  但是你有沒有想過,最後我們都要死了。
[00:02:00.600 --> 00:02:05.600]  不管神醫了你什麼的病痛,最後我們都要死了。
[00:02:05.600 --> 00:02:10.400]  但是耶穌跟我們說是怎麼樣,我是羊的門,我是好牧人。
[00:02:10.400 --> 00:02:17.700]  我所要帶你去的是那屬天的國度,是將來我們永遠長存的家鄉。
[00:02:17.700 --> 00:02:23.500]  阿拉羅亞讚美僧,我第二次講的是五餅二魚的神蹟。
[00:02:23.500 --> 00:02:29.700]  然後耶穌他就講了一個講論,祂說我是生命的糧。
[00:02:29.700 --> 00:02:35.500]  您記得嗎,耶穌用五個餅兩個魚餵飽了五千個人,還生了十二男。
[00:02:35.500 --> 00:02:39.500]  這是神蹟啊,這個確確實實是神蹟啊。
[00:02:39.500 --> 00:02:43.200]  但是耶穌勸說,我就是生命的糧。
[00:02:43.200 --> 00:02:48.500]  到我這裏來的必定不餓,信我的永遠不渴。
[00:02:48.500 --> 00:02:54.300]  換句話說,耶穌說,你看,你們五餅二魚餵飽了你們這麼多人,
[00:02:54.300 --> 00:02:57.100]  現在你們都來跟我要喫的是嗎?
[00:02:57.100 --> 00:03:03.600]  但是,您知道嗎,信我的永遠不餓,信我的永遠不渴。
