
[00:00:00.000 --> 00:00:02.000]  各位親愛的弟兄姐妹
[00:00:02.000 --> 00:00:06.000]  很感謝神的恩典又可以陪大家讀聖經
[00:00:06.000 --> 00:00:08.000]  聖經就是神的話
[00:00:08.000 --> 00:00:11.000]  神的話句句都帶著能力
[00:00:11.000 --> 00:00:13.000]  當我們查考
[00:00:13.000 --> 00:00:15.000]  我們要穿上全副軍裝
[00:00:15.000 --> 00:00:19.000]  我們就能夠做一個得勝者
[00:00:19.000 --> 00:00:22.000]  今天第五講就提到
[00:00:22.000 --> 00:00:24.000]  我們要穿上救恩
[00:00:24.000 --> 00:00:26.000]  做一個頭盔
[00:00:26.000 --> 00:00:29.000]  戴在我們的頭上
[00:00:29.000 --> 00:00:31.000]  今天我們生活在一個
[00:00:31.000 --> 00:00:33.000]  充滿混亂
[00:00:33.000 --> 00:00:37.000]  很多負能量的社會裡面
[00:00:37.000 --> 00:00:40.000]  我們看見我們的家庭的秩序
[00:00:40.000 --> 00:00:41.000]  學校的秩序
[00:00:41.000 --> 00:00:43.000]  社會的秩序
[00:00:43.000 --> 00:00:44.000]  教會的秩序
[00:00:44.000 --> 00:00:49.000]  都因為這個疫情有很大的改變
[00:00:49.000 --> 00:00:52.000]  上班的要在家裡上班
[00:00:52.000 --> 00:00:54.000]  上學的要在家裡學習
[00:00:54.000 --> 00:00:57.000]  教會要用網上來崇拜
[00:00:57.000 --> 00:01:00.000]  一切的東西好像都是
[00:01:00.000 --> 00:01:06.000]  不能夠好像以前那種正常的狀態
[00:01:06.000 --> 00:01:09.000]  再加上經濟的影響
[00:01:09.000 --> 00:01:12.000]  很多人擔心自己的生活
[00:01:12.000 --> 00:01:14.000]  自己的收入就減少了
[00:01:14.000 --> 00:01:18.000]  但是那些的價格就不斷的飆升
[00:01:18.000 --> 00:01:20.000]  而且有很多時候
[00:01:20.000 --> 00:01:24.000]  要去到超市那裡去搶購食物
[00:01:24.000 --> 00:01:26.000]  因為太多的謠言
[00:01:26.000 --> 00:01:28.000]  人心惶惶
[00:01:28.000 --> 00:01:31.000]  原來我們的仇敵撒旦
