
[00:00:00.000 --> 00:00:01.340]  各位聽眾姐妹晚安
[00:00:01.340 --> 00:00:04.820]  不知道這個禮拜
[00:00:04.820 --> 00:00:06.080]  特別是過去這個禮拜
[00:00:06.080 --> 00:00:08.640]  在你生命當中你最關心的是什麼事
[00:00:08.640 --> 00:00:12.080]  可能有人特別關心在美國的風災
[00:00:12.080 --> 00:00:14.140]  可能大家看新聞看到
[00:00:14.140 --> 00:00:18.000]  因為這個風災搞到美國很大的影響
[00:00:18.000 --> 00:00:20.320]  甚至現在選總統可能有些變化
[00:00:20.320 --> 00:00:22.780]  我記得在這個學期
[00:00:22.780 --> 00:00:24.520]  特別是9月開學之後
[00:00:24.520 --> 00:00:26.500]  我有機會去到默文偉書院
[00:00:26.500 --> 00:00:28.040]  跟學生聊天
[00:00:28.200 --> 00:00:30.920]  今年老師安排了一些特別的活動
[00:00:30.920 --> 00:00:32.600]  就是老師覺得
[00:00:32.600 --> 00:00:34.560]  過去他們經常上聖經堂
[00:00:34.560 --> 00:00:36.880]  同學經常問一些很特別的問題
[00:00:36.880 --> 00:00:38.480]  有些也挺古靈精怪的
[00:00:38.480 --> 00:00:39.740]  他們有時候不知道怎麼回答
[00:00:39.740 --> 00:00:40.820]  那就對了
[00:00:40.820 --> 00:00:43.260]  我在學校里不如幫忙
[00:00:43.260 --> 00:00:45.440]  去聖經堂回答一些問題
[00:00:45.440 --> 00:00:48.260]  所以學校收集了很多同學的問題
[00:00:48.260 --> 00:00:50.360]  我就去到不同的班別
[00:00:50.360 --> 00:00:52.600]  去回答他們一些跟信仰
[00:00:52.600 --> 00:00:54.500]  跟聖經有關係的問題
[00:00:54.500 --> 00:00:57.660]  你猜現在的學生最關心的是什麼問題呢?
[00:00:58.900 --> 00:01:01.580]  或者是你最關心的信仰問題是什麼問題呢?
[00:01:01.580 --> 00:01:04.740]  去過大約十多班不同的課室里
[00:01:04.740 --> 00:01:05.900]  有些是不同的關注
[00:01:05.900 --> 00:01:06.940]  有些是很特別的
[00:01:06.940 --> 00:01:07.940]  有些問得很特別的
[00:01:07.940 --> 00:01:10.440]  就是為什麼聖經裡面沒有說有蟑螂呢?
[00:01:10.440 --> 00:01:12.220]  問這些這麼獨特的問題
[00:01:12.220 --> 00:01:13.520]  有些問得很過癮的
[00:01:13.520 --> 00:01:16.120]  我在信仰裡面我怎麼追求得更好呢?
[00:01:16.120 --> 00:01:18.460]  有些你見到也很奇怪
[00:01:18.460 --> 00:01:19.500]  不知道怎麼回答他
[00:01:19.500 --> 00:01:22.500]  但是有些很重要的問題他會問的
[00:01:22.500 --> 00:01:24.540]  很多人都問一個問題就是
[00:01:24.540 --> 00:01:26.700]  到底什麼時候世界末日呢?
[00:01:27.100 --> 00:01:28.800]  到底耶穌什麼時候回來啊?
[00:01:28.800 --> 00:01:32.240]  到底死了之後會怎麼樣啊?
[00:01:32.240 --> 00:01:35.520]  這個問題常常有很多同學
[00:01:35.520 --> 00:01:37.440]  甚至有很多電影節目都會問的
[00:01:37.440 --> 00:01:39.320]  我們從上年年頭開始
[00:01:39.320 --> 00:01:40.680]  偶爾也會提一兩句
[00:01:40.680 --> 00:01:42.740]  因為很多人提到今年2012年
[00:01:42.740 --> 00:01:43.820]  不知道是幾月還是幾日
[00:01:43.820 --> 00:01:44.860]  就是世界末日了
[00:01:44.860 --> 00:01:46.580]  你信不信啊?
[00:01:46.580 --> 00:01:48.680]  2012年已經過了很多了
[00:01:48.680 --> 00:01:50.900]  應該還有不足兩個月的日子
[00:01:50.900 --> 00:01:51.800]  今天已經是11月了
[00:01:51.800 --> 00:01:54.460]  當然我們之前講過很多次了
[00:01:54.460 --> 00:01:55.380]  有人說哪天是
[00:01:55.380 --> 00:01:56.020]  那天不是
[00:01:56.020 --> 00:01:56.920]  因為聖經裡面說的
[00:01:56.920 --> 00:01:57.680]  我們不知道
[00:01:57.680 --> 00:01:58.980]  更重要的是
[00:01:58.980 --> 00:02:01.060]  最重要的是我們要好好預備我們自己
[00:02:01.060 --> 00:02:02.260]  不是猜哪天是世界末日
[00:02:02.260 --> 00:02:04.420]  不過我們可能也很想知道
[00:02:04.420 --> 00:02:06.420]  究竟是怎樣的
[00:02:06.420 --> 00:02:08.220]  甚至我們也經常問
[00:02:08.220 --> 00:02:10.460]  死了之後的世界會怎麼樣呢?
[00:02:10.460 --> 00:02:12.660]  前兩天就是萬聖節
[00:02:12.660 --> 00:02:14.020]  大家知道嗎?
[00:02:14.020 --> 00:02:14.980]  都知道吧?
[00:02:14.980 --> 00:02:16.260]  今年不知道氣氛過得怎麼樣
[00:02:16.260 --> 00:02:18.140]  好像今年一般的氣氛
[00:02:18.140 --> 00:02:19.540]  很多人就打算去玩
[00:02:19.540 --> 00:02:20.220]  有人就問我
[00:02:20.220 --> 00:02:21.980]  萬聖節是不是應該去外面玩呢?
[00:02:21.980 --> 00:02:23.460]  扮鬼扮馬好不好呢?
[00:02:23.460 --> 00:02:24.420]  我回答他
[00:02:24.420 --> 00:02:25.380]  我們是做基督徒的
[00:02:25.380 --> 00:02:26.780]  那些古靈精怪的扮鬼扮馬
[00:02:26.780 --> 00:02:27.860]  當然不好
[00:02:27.860 --> 00:02:30.420]  接著他們可能就會問第二句問題
[00:02:30.420 --> 00:02:32.500]  那也是玩玩而已
[00:02:32.500 --> 00:02:33.580]  有什麼所謂呢?
[00:02:33.580 --> 00:02:35.300]  同樣地可能他們就會在想
[00:02:35.300 --> 00:02:35.820]  其實
[00:02:35.820 --> 00:02:38.260]  萬聖節為什麼這麼多人喜歡扮鬼扮馬
[00:02:38.260 --> 00:02:39.140]  除了是借點耳朵
[00:02:39.140 --> 00:02:41.460]  因為借了我放假的日期去玩之外
[00:02:41.460 --> 00:02:43.300]  更重要可能人們都在想
[00:02:43.300 --> 00:02:46.620]  那些扮鬼扮馬也挺有趣的
[00:02:46.620 --> 00:02:49.220]  不知道你覺得那些扮鬼扮馬的鬼
[00:02:49.220 --> 00:02:50.060]  有沒有趣呢?
[00:02:50.060 --> 00:02:51.460]  我在上課的時候
[00:02:51.460 --> 00:02:52.260]  有同學問我
[00:02:52.260 --> 00:02:54.020]  萬聖節扮鬼扮馬有沒有趣呢?
[00:02:54.020 --> 00:02:55.060]  有同學說很有趣啊
[00:02:55.060 --> 00:02:56.020]  又是女南瓜的樣子
[00:02:56.020 --> 00:02:57.060]  又是骷髏骨頭的樣子
[00:02:57.060 --> 00:02:58.460]  接著我再問
[00:02:58.460 --> 00:03:00.340]  其實那些鬼你怕不怕呢?
[00:03:00.340 --> 00:03:02.580]  通常同學就會靜下來想一想
[00:03:02.580 --> 00:03:04.820]  鬼怕不怕呢?
[00:03:04.820 --> 00:03:07.500]  有沒有電影節目你很怕鬼的呢?
[00:03:07.500 --> 00:03:09.420]  或者你很怕黑的呢?
[00:03:09.420 --> 00:03:11.220]  有些可能
[00:03:11.220 --> 00:03:13.140]  看著也會有點害怕
[00:03:13.140 --> 00:03:14.420]  我記得我中學的時候
[00:03:14.420 --> 00:03:16.620]  我讀中學是在何文田那裡讀書的
