
[00:00:00.000 --> 00:00:03.760]  7月4号,4th of July,美国的独立纪念日
[00:00:03.760 --> 00:00:08.160]  是在1776年7月4号
[00:00:08.160 --> 00:00:10.160]  美国的Founding Fathers
[00:00:10.160 --> 00:00:12.080]  还有一些有事之士
[00:00:12.080 --> 00:00:13.720]  那些伟大的人物
[00:00:13.720 --> 00:00:16.880]  他们在费城通过了
[00:00:16.880 --> 00:00:20.160]  正式发表了独立宣言
[00:00:20.160 --> 00:00:23.400]  这个独立宣言有一些内容
[00:00:23.400 --> 00:00:25.720]  是我们都很了解的
[00:00:25.720 --> 00:00:29.080]  其中最为人所熟悉的
[00:00:29.160 --> 00:00:30.440]  让我们一起来念
[00:00:30.440 --> 00:00:32.880]  人人生而平等
[00:00:32.880 --> 00:00:35.280]  造物主赋予他们
[00:00:35.280 --> 00:00:38.320]  某些不可剥夺的权利
[00:00:38.320 --> 00:00:40.680]  其中包括生命权
[00:00:40.680 --> 00:00:41.880]  自由权
[00:00:41.880 --> 00:00:44.840]  以及追求幸福的权利
[00:00:44.840 --> 00:00:46.840]  让我们稍微停在这边一下
[00:00:46.840 --> 00:00:48.200]  独立宣言
[00:00:48.200 --> 00:00:49.560]  等于是建国的宣言
[00:00:49.560 --> 00:00:51.200]  等于是美国的宪法
[00:00:51.200 --> 00:00:53.000]  他就已经讲了
[00:00:53.000 --> 00:00:56.040]  我们的权利是从谁来的
[00:00:56.040 --> 00:00:57.320]  造物主
[00:00:57.760 --> 00:00:59.520]  所以他们从一开始
[00:00:59.520 --> 00:01:01.280]  他们就是相信基督的
[00:01:01.280 --> 00:01:03.840]  一直到现在仍然是
[00:01:03.840 --> 00:01:07.320]  所以说每一个人都是生而平等
[00:01:07.320 --> 00:01:10.240]  所以后来会有废除黑奴制度
[00:01:10.240 --> 00:01:13.000]  或者是打破一些不平等的
[00:01:13.000 --> 00:01:16.360]  赋予他们某些不可剥夺的权利
[00:01:16.360 --> 00:01:18.720]  譬如说是生命权
[00:01:18.720 --> 00:01:19.520]  自由权
[00:01:19.520 --> 00:01:21.680]  以及追求幸福的权利
