
[00:00:00.000 --> 00:00:04.460]  我們會說失望,其實失望首先會有期望,對不對?
[00:00:04.460 --> 00:00:08.780]  我們是有期望,期望有些事情會發生
[00:00:08.780 --> 00:00:12.480]  而那些事情沒有發生之後,我們才會失望,對不對?
[00:00:12.480 --> 00:00:16.500]  所以很多時候我們會說,沒有期望就沒有失望
[00:00:16.500 --> 00:00:19.700]  這個當然了,對不對?
[00:00:19.700 --> 00:00:22.700]  期望,我們可以說可能有幾個不同的層面
[00:00:22.700 --> 00:00:25.200]  或者有幾種方向
[00:00:25.200 --> 00:00:27.220]  第一個是一個情感的投入
[00:00:27.220 --> 00:00:30.240]  當我們和一些人很親密的時候
[00:00:30.240 --> 00:00:32.240]  我們自然有一個期望
[00:00:32.240 --> 00:00:33.760]  我講個例子,就是說
[00:00:33.760 --> 00:00:35.740]  如果我去外面喝茶
[00:00:35.740 --> 00:00:38.220]  看到隔壁桌子有一個很頑皮的小孩
[00:00:38.220 --> 00:00:40.180]  把蝦餃燒賣扔在地上
[00:00:40.180 --> 00:00:42.600]  我會不會開口罵他呢?
[00:00:42.600 --> 00:00:44.280]  我會不會理會?多數都不會
[00:00:44.280 --> 00:00:46.160]  我可能心裏面會想
[00:00:46.160 --> 00:00:48.480]  為什麼你父母不教他呢?
[00:00:48.480 --> 00:00:50.600]  但是如果我兒女是這樣做
[00:00:50.600 --> 00:00:52.480]  我一定會管教他,對不對?
[00:00:52.480 --> 00:00:54.680]  我會告訴他這些行為不好
[00:00:54.680 --> 00:00:57.140]  但是那個人如果和我沒有關係
[00:00:57.140 --> 00:00:59.880]  我對他不會有任何期望的
[00:00:59.880 --> 00:01:02.200]  他是他,我是我
[00:01:02.200 --> 00:01:04.580]  我可能多時會說一些話
[00:01:04.580 --> 00:01:09.540]  但是其實這個一般人可能都不會
[00:01:09.540 --> 00:01:11.700]  但是對你親近的人
[00:01:11.700 --> 00:01:12.800]  你就對他有期望
[00:01:12.800 --> 00:01:15.880]  你對他的行為,你對他的看法
[00:01:15.880 --> 00:01:17.880]  你會有一個期望
[00:01:17.880 --> 00:01:21.000]  接著另外一個叫做心理投射
[00:01:21.000 --> 00:01:23.640]  如果我很喜歡這件事
[00:01:23.640 --> 00:01:26.560]  我可能希望我的下一代都會做,對不對?
[00:01:26.560 --> 00:01:29.260]  如果我喜歡某種運動的
[00:01:29.260 --> 00:01:32.040]  我很喜歡某種音樂樂器的
[00:01:32.040 --> 00:01:36.160]  我可能都希望他們會懂得或者喜歡那件事
[00:01:36.160 --> 00:01:38.660]  因為我的價值觀,我覺得好的東西
[00:01:38.660 --> 00:01:42.080]  我都很想我親近的人
[00:01:42.080 --> 00:01:44.860]  他們都一樣有
[00:01:44.860 --> 00:01:46.980]  第三是一個關係的餘節
[00:01:46.980 --> 00:01:48.320]  說什麼呢?
[00:01:48.320 --> 00:01:49.600]  中國人很容易明白的
[00:01:49.600 --> 00:01:53.220]  我們很有傳統的儒家思想
[00:01:53.220 --> 00:01:55.600]  有些叫做五輪的關係
[00:01:55.600 --> 00:01:58.840]  君臣父子,夫婦,兄弟,朋友
[00:01:58.840 --> 00:02:03.900]  那些關係當中,你有一定的期望
[00:02:03.900 --> 00:02:06.000]  你會期望上司對下屬
[00:02:06.000 --> 00:02:08.520]  你希望下屬忠誠
[00:02:08.520 --> 00:02:13.480]  上司可能有仁慈,對下屬好
[00:02:13.480 --> 00:02:19.520]  父母子女,你會有孝順的期望
[00:02:19.520 --> 00:02:24.160]  夫婦可能有愛,有尊重
[00:02:24.160 --> 00:02:28.000]  就算是朋友,你也希望朋友忠誠,對不對?
[00:02:28.000 --> 00:02:30.520]  你會不會希望朋友背後說你壞話
[00:02:30.520 --> 00:02:33.400]  或者有事的時候,他不幫你?
[00:02:33.400 --> 00:02:34.260]  不會的
[00:02:34.260 --> 00:02:37.660]  你會有一些期望,在關係的預設上
[00:02:37.660 --> 00:02:41.260]  你會不會有期望,就是你跟那個人有這個關係
[00:02:41.260 --> 00:02:42.960]  他就應該有這些行為
[00:02:42.960 --> 00:02:46.240]  或者有一些這樣的態度
[00:02:46.240 --> 00:02:50.840]  但是當這些期望沒有發生的時候
[00:02:50.840 --> 00:02:53.920]  第一,當你很親密的人
[00:02:53.920 --> 00:02:57.080]  你有一種情感,但是他令你失望的時候
[00:02:57.080 --> 00:02:59.720]  那個信任度會受損
[00:02:59.720 --> 00:03:02.920]  你的親人,如果不是這樣對你的時候
[00:03:02.920 --> 00:03:05.160]  會影響這個關係
[00:03:05.160 --> 00:03:07.440]  心理投射,如果你喜歡一件事
[00:03:07.440 --> 00:03:10.760]  你發覺你的子女又不喜歡
[00:03:10.760 --> 00:03:12.000]  他們覺得這件事不好
[00:03:12.000 --> 00:03:15.080]  你會開始懷疑,對自己懷疑
[00:03:15.080 --> 00:03:18.000]  究竟這些東西是不是真的對的呢?
[00:03:18.000 --> 00:03:21.680]  或者你會對那個關係同樣會受到影響
[00:03:21.680 --> 00:03:31.120]  關係預設更加,例如上司下屬,父母子女
[00:03:31.120 --> 00:03:33.160]  如果有一些東西令他們失望的時候
