
[00:00:00.000 --> 00:00:02.640]  我承接着范先生在外當中的分享
[00:00:02.640 --> 00:00:04.000]  揀了一段經文
[00:00:04.000 --> 00:00:07.400]  亦定了一個主題和頂尖會分享
[00:00:07.400 --> 00:00:11.400]  從受困到自由的歷程是怎樣的呢?
[00:00:11.400 --> 00:00:15.000]  這段經文記載在《路加福音》第43章
[00:00:15.000 --> 00:00:18.800]  不知道大家有沒有印象美國的自由神像是怎樣的呢?
[00:00:18.800 --> 00:00:21.080]  原來美國的自由神像是法國
[00:00:21.080 --> 00:00:25.800]  在十九世紀的時候送給美國獨立一百週年的禮物
[00:00:25.800 --> 00:00:29.320]  我就嘗試研究一下這個自由神像有什麼特別
[00:00:29.320 --> 00:00:31.000]  原來它有很多部份
[00:00:31.000 --> 00:00:39.000]  其中一部份在它的腳底下原來有手銬、腳鐐和鎖鏈鎖住
[00:00:39.000 --> 00:00:41.400]  不過是已經打碎了
[00:00:41.400 --> 00:00:42.600]  象徵著什麼呢?
[00:00:42.600 --> 00:00:48.200]  象徵著自由和爭奪了暴政的約束
[00:00:48.200 --> 00:00:50.600]  所以自由神像是很重要的
[00:00:50.600 --> 00:00:52.600]  是象徵著自由
[00:00:52.600 --> 00:00:55.800]  象徵著暴政要結束
[00:00:55.800 --> 00:01:00.200]  我想今天我們的生命都是可能都會被很多東西束縛住
[00:01:00.200 --> 00:01:01.200]  捆綁住
[00:01:01.200 --> 00:01:02.200]  就好像范先生一樣
[00:01:02.200 --> 00:01:04.200]  他昔日被那些神打
[00:01:04.200 --> 00:01:05.200]  被那些神靈
[00:01:05.200 --> 00:01:06.200]  被那些師公
[00:01:06.200 --> 00:01:08.200]  來到他束縛住控制住
[00:01:08.200 --> 00:01:10.200]  他不請他都來
[00:01:10.200 --> 00:01:13.200]  帶給他生活很多的困擾
[00:01:13.200 --> 00:01:17.600]  今天我們可能都是不一定是被那些神靈束縛著我們
[00:01:17.600 --> 00:01:20.200]  可能我們都被其他東西束縛著我們
[00:01:20.200 --> 00:01:24.200]  我們怎樣真正得到一個自由和釋放呢?
[00:01:24.200 --> 00:01:27.200]  路加芬第四章三十一至三十二節
[00:01:27.200 --> 00:01:28.200]  講一個經文
[00:01:28.200 --> 00:01:30.200]  一個處境是
[00:01:30.200 --> 00:01:33.200]  耶穌去到一個地方叫做加伯隆
[00:01:33.200 --> 00:01:36.200]  加伯隆是以色列加里尼一座城
[00:01:36.200 --> 00:01:39.200]  他在安息日裏面來教訓眾人
[00:01:39.200 --> 00:01:42.200]  周圍的人都很驚訝他的教訓
[00:01:42.200 --> 00:01:46.200]  因為說他說話有權柄
[00:01:46.200 --> 00:01:48.200]  他說話好像是一種力量
[00:01:48.200 --> 00:01:50.200]  他們沒有想過為什麼這麼厲害呢?
[00:01:50.200 --> 00:01:53.200]  就好像我們剛才聽著范志文先生的分享
[00:01:53.200 --> 00:01:55.200]  你覺不覺得你自己很被吸引著?
[00:01:55.200 --> 00:01:59.200]  我相信當時是更被吸引
[00:01:59.200 --> 00:02:02.200]  四章三十一至三十二節告訴我們
[00:02:02.200 --> 00:02:05.200]  耶穌在會堂裏面教訓人
[00:02:05.200 --> 00:02:07.200]  令他們覺得驚訝
[00:02:07.200 --> 00:02:10.200]  接著就繼續講兩件事
[00:02:10.200 --> 00:02:11.200]  兩件什麼事呢?
[00:02:11.200 --> 00:02:14.200]  就是耶穌在會堂裏面講鬼
[00:02:14.200 --> 00:02:15.200]  第二件事就是
[00:02:15.200 --> 00:02:17.200]  耶穌離開了會堂之後
[00:02:17.200 --> 00:02:18.200]  去了一個門徒的家裏
[00:02:18.200 --> 00:02:20.200]  這個門徒叫做西門
[00:02:20.200 --> 00:02:22.200]  他岳母病重
[00:02:22.200 --> 00:02:25.200]  然後就醫治了他的岳母
[00:02:25.200 --> 00:02:28.200]  原來兩件事是連接著記載的
[00:02:28.200 --> 00:02:33.200]  都是反映著耶穌講說話那種能力
[00:02:33.200 --> 00:02:34.200]  那種威嚴
[00:02:34.200 --> 00:02:37.200]  因為耶穌是用祂的說話講鬼
[00:02:37.200 --> 00:02:39.200]  也是耶穌用祂的說話
[00:02:39.200 --> 00:02:42.200]  來醫治了一個患病的人
[00:02:42.200 --> 00:02:45.200]  我們就看看耶穌所做的這兩件事
[00:02:45.200 --> 00:02:49.200]  第一件事是耶穌用祂說話的權柄
[00:02:49.200 --> 00:02:54.200]  叫那些受污鬼所困的人重獲自由
[00:02:54.200 --> 00:02:57.200]  一個人被污鬼所困
[00:02:57.200 --> 00:03:00.200]  但是耶穌的說話令他得自由
[00:03:00.200 --> 00:03:01.200]  就好像范志文先生一樣
[00:03:01.200 --> 00:03:03.200]  他經歷他被污鬼所困
[00:03:03.200 --> 00:03:06.200]  多個的司公或者多隻的鬼怪
[00:03:06.200 --> 00:03:08.200]  經常來騷擾他
[00:03:08.200 --> 00:03:10.200]  但是耶穌釋放他得自由
[00:03:10.200 --> 00:03:14.200]  四章三十三節至到三十六節這樣講
[00:03:14.200 --> 00:03:15.200]  他說在會堂裏面
[00:03:15.200 --> 00:03:18.200]  有一個人被污鬼的精氣附著
[00:03:18.200 --> 00:03:20.200]  大聲喊叫
[00:03:20.200 --> 00:03:23.200]  那撒勒的耶穌
