
[00:00:00.000 --> 00:00:02.000]  我們今天的題目是「真度高低爬」
[00:00:02.000 --> 00:00:04.000]  「真度高低爬」
[00:00:04.000 --> 00:00:14.000]  「巴黎奧運」
[00:00:14.000 --> 00:00:19.000]  你最喜歡哪一個項目比賽呢?
[00:00:19.000 --> 00:00:21.000]  游泳,對不對?
[00:00:21.000 --> 00:00:24.000]  游泳是我們澳洲其中一個強項
[00:00:24.000 --> 00:00:28.000]  「羽毛球」
[00:00:31.000 --> 00:00:33.000]  「乒乓球」
[00:00:33.000 --> 00:00:35.000]  「排球」
[00:00:35.000 --> 00:00:37.000]  「籃球」
[00:00:37.000 --> 00:00:39.000]  昨晚有沒有人有看?
[00:00:39.000 --> 00:00:41.000]  三點了,對不對?
[00:00:41.000 --> 00:00:43.000]  所以這裡少了兩行人
[00:00:43.000 --> 00:00:48.000]  這個有沒有看?
[00:00:48.000 --> 00:00:50.000]  「劍擊」
[00:00:50.000 --> 00:00:53.000]  香港張家朗的時候有沒有看?
[00:00:53.000 --> 00:00:55.000]  有看嗎?
[00:00:55.000 --> 00:00:56.000]  都是半夜的
[00:00:56.000 --> 00:00:57.000]  你們這麼厲害
[00:00:59.000 --> 00:01:00.000]  我真的有時候
[00:01:00.000 --> 00:01:01.000]  我自己也是
[00:01:01.000 --> 00:01:03.000]  有一些很喜歡的項目
[00:01:03.000 --> 00:01:05.000]  就算自己多累多忙
[00:01:05.000 --> 00:01:09.000]  我都會去追來看
[00:01:09.000 --> 00:01:14.000]  《聖經》呢
[00:01:14.000 --> 00:01:20.000]  你有沒有多累多忙都追來看呢?
[00:01:20.000 --> 00:01:22.000]  一章一章地看
[00:01:22.000 --> 00:01:25.000]  《創世紀》到《啟示錄》
[00:01:25.000 --> 00:01:28.000]  你最喜歡哪一本書?
[00:01:30.000 --> 00:01:31.000]  可能你會說
[00:01:31.000 --> 00:01:32.000]  牧師,我看完《創世紀》
[00:01:32.000 --> 00:01:34.000]  出《埃及記》
[00:01:34.000 --> 00:01:35.000]  進化了
[00:01:35.000 --> 00:01:36.000]  我們看完就出《埃及記》了
[00:01:36.000 --> 00:01:39.000]  或者可能在埃及那裡
[00:01:39.000 --> 00:01:41.000]  出完埃及就停在曠野
[00:01:41.000 --> 00:01:43.000]  不斷漂流
[00:01:43.000 --> 00:01:44.000]  去不下去
[00:01:44.000 --> 00:01:46.000]  其他那些文數記載下去
[00:01:46.000 --> 00:01:47.000]  那些就比較難了
[00:01:47.000 --> 00:01:49.000]  為什麼呢?
[00:01:49.000 --> 00:01:51.000]  為什麼?
[00:01:51.000 --> 00:01:53.000]  我們稍後會再講一下
[00:01:53.000 --> 00:01:55.000]  《真度高跌怕》
[00:01:55.000 --> 00:01:57.000]  大概在
[00:01:58.000 --> 00:01:59.000]  主一後
[00:01:59.000 --> 00:02:01.000]  耶穌之後六十年左右
[00:02:01.000 --> 00:02:05.000]  尼祿皇帝瘋狂地逼迫基督徒
[00:02:05.000 --> 00:02:10.000]  保羅這一代的使徒
[00:02:10.000 --> 00:02:12.000]  被監禁
[00:02:12.000 --> 00:02:14.000]  隨時有被處死的危險
[00:02:14.000 --> 00:02:15.000]  在那個時候
[00:02:15.000 --> 00:02:18.000]  也有很多基督徒他們辯節
[00:02:18.000 --> 00:02:21.000]  當時也有很多假師傅出現
[00:02:21.000 --> 00:02:22.000]  你看到《聖經》裡面
[00:02:22.000 --> 00:02:24.000]  講到很多這些危險的日子
[00:02:24.000 --> 00:02:25.000]  當時的人
[00:02:25.000 --> 00:02:30.000]  有什麼情況出現形容得很差
[00:02:30.000 --> 00:02:33.000]  《提摩太后書》
[00:02:33.000 --> 00:02:35.000]  特別是今天我們看的一段經文就是
[00:02:35.000 --> 00:02:40.000]  保羅再一次叮囑提醒他的徒弟提摩太
[00:02:40.000 --> 00:02:43.000]  面對著這個彎曲博弈的世代
[00:02:43.000 --> 00:02:47.000]  要怎樣在神的說話上面做好裝備
[00:02:47.000 --> 00:02:50.000]  今天我們也透過這幾節的經文
[00:02:50.000 --> 00:02:52.000]  求聖靈幫助我們
[00:02:52.000 --> 00:02:53.000]  親自教導我們
[00:02:53.000 --> 00:02:57.000]  怎樣透過聖經、神的說話、真道
[00:02:57.000 --> 00:02:59.000]  去面對我們這個世代的挑戰
[00:02:59.000 --> 00:03:01.000]  我們一起再祈禱
[00:03:01.000 --> 00:03:03.000]  親愛的天父上帝
[00:03:03.000 --> 00:03:06.000]  求你預備我們的心思、意念
[00:03:06.000 --> 00:03:09.000]  預備幫我們開放我們的耳朵
[00:03:09.000 --> 00:03:11.000]  我們的眼睛和我們的心
[00:03:11.000 --> 00:03:13.000]  讓我們能夠謙卑
[00:03:13.000 --> 00:03:15.000]  恭聽神你的說話
[00:03:15.000 --> 00:03:16.000]  求主你的聖靈
[00:03:16.000 --> 00:03:18.000]  今天與我們同在
[00:03:18.000 --> 00:03:23.000]  引導我們藉著你的真理、詛咒、督促
[00:03:23.000 --> 00:03:25.000]  鼓勵、引導
[00:03:25.000 --> 00:03:28.000]  帶領我們禱告奉耶穌基督聖名求
[00:03:28.000 --> 00:03:29.000]  阿們
[00:03:29.000 --> 00:03:32.000]  第一點要跟大家看的就是持守真道
[00:03:32.000 --> 00:03:35.000]  在剛才大家讀的聖經
[00:03:35.000 --> 00:03:39.000]  三章14至15節我們一起再讀
[00:03:39.000 --> 00:03:41.000]  至於你
[00:03:41.000 --> 00:03:43.000]  你要持守所學的
[00:03:43.000 --> 00:03:44.000]  所確信的
[00:03:44.000 --> 00:03:47.000]  因為你知道是跟隨學的
[00:03:47.000 --> 00:03:51.000]  也知道自己從小就明白聖經
[00:03:51.000 --> 00:03:54.000]  這聖經能使你有智慧
[00:03:54.000 --> 00:03:58.000]  藉著相信基督耶穌而得救
[00:03:58.000 --> 00:04:01.000]  你發現這些字眼有一點點不同
[00:04:01.000 --> 00:04:03.000]  其實和剛才你讀和合本
[00:04:03.000 --> 00:04:05.000]  都是差不多一樣的意思
[00:04:05.000 --> 00:04:08.000]  只不過我今天選了新漢語聖經譯本
[00:04:08.000 --> 00:04:10.000]  來跟大家去看這段經文
[00:04:10.000 --> 00:04:14.000]  保羅告訴提摩太他的徒弟
[00:04:14.000 --> 00:04:19.000]  你要將這個真理時刻放在心裡面
[00:04:19.000 --> 00:04:21.000]  這是和合本所說的
[00:04:21.000 --> 00:04:22.000]  我們放在心裡面
[00:04:22.000 --> 00:04:25.000]  隨時被引導聖靈提醒
[00:04:25.000 --> 00:04:28.000]  其實神的說話就是最大的屬靈武器
[00:04:28.000 --> 00:04:33.000]  保羅說你知道自己從小就明白聖經
[00:04:33.000 --> 00:04:36.000]  知道你所聽到所學到的聖經
[00:04:36.000 --> 00:04:38.000]  是從哪裡學回來的
[00:04:38.000 --> 00:04:40.000]  是從誰學回來的
[00:04:40.000 --> 00:04:42.000]  他的師父保羅
[00:04:42.000 --> 00:04:45.000]  然後他的母親
[00:04:45.000 --> 00:04:46.000]  他的婆婆
[00:04:46.000 --> 00:04:48.000]  他的母親和婆婆
[00:04:48.000 --> 00:04:52.000]  也知道這件事是一個很虔敬的信徒
[00:04:52.000 --> 00:04:58.000]  所以他從小就在一個信仰的氛圍裡面
[00:04:58.000 --> 00:05:00.000]  帶領他成長
[00:05:00.000 --> 00:05:02.000]  他知道這些真理
[00:05:02.000 --> 00:05:06.000]  是純正一代傳一代的
[00:05:06.000 --> 00:05:08.000]  上一個星期我們很感動
[00:05:08.000 --> 00:05:11.000]  上一個星期是兒童時光主日
[00:05:11.000 --> 00:05:13.000]  特別Iris傳道和我們分享
[00:05:13.000 --> 00:05:18.000]  將自己寶貴的兒女帶到神面前
[00:05:18.000 --> 00:05:21.000]  將自己的兒女帶到神的面前
[00:05:21.000 --> 00:05:23.000]  這個信息很激勵我們弟兄姊妹
[00:05:23.000 --> 00:05:25.000]  讓我們知道原來我們的小朋友
[00:05:25.000 --> 00:05:27.000]  從小他認識真理
[00:05:27.000 --> 00:05:29.000]  在這個環境裡面長大的時候
[00:05:29.000 --> 00:05:32.000]  知道耶穌基督是他們的主
[00:05:32.000 --> 00:05:34.000]  由他們小朋友開始
[00:05:34.000 --> 00:05:36.000]  不是我們大人才可以做門徒的
[00:05:36.000 --> 00:05:39.000]  小朋友都可以做門徒的
[00:05:39.000 --> 00:05:43.000]  我們不要讓小朋友成為耶穌基督的門徒
[00:05:43.000 --> 00:05:45.000]  他們也可以成為主的門徒
[00:05:45.000 --> 00:05:48.000]  至少就明白這個真理
[00:05:48.000 --> 00:05:50.000]  不單單這樣
[00:05:50.000 --> 00:05:52.000]  聖經裡面也告訴我們
[00:05:52.000 --> 00:05:54.000]  聖經能夠使我們因為信耶穌基督
[00:05:54.000 --> 00:05:57.000]  有得救的智慧
[00:05:57.000 --> 00:06:02.000]  有智慧藉著相信基督耶穌而得救
[00:06:02.000 --> 00:06:07.000]  真正的智慧是敬畏神
