
[00:00:00.000 --> 00:00:02.220]  奉神之母讓我們先聽神的道義
[00:00:02.220 --> 00:00:03.640]  讓我們先同心地禱告
[00:00:03.640 --> 00:00:05.600]  弟子們讓我們聽到神道之聲
[00:00:05.600 --> 00:00:07.040]  先同心禱告
[00:00:07.040 --> 00:00:09.200]  父神多謝祢
[00:00:09.200 --> 00:00:12.320]  讓我們能夠再次回來打開祢的說話
[00:00:12.320 --> 00:00:13.640]  求祢與我們同在
[00:00:13.640 --> 00:00:15.000]  特別是祢所賜的聖靈
[00:00:15.000 --> 00:00:17.400]  讓每一個屬於主祢的人
[00:00:17.400 --> 00:00:22.640]  都能夠再次隨著祢的帶領有度
[00:00:22.640 --> 00:00:25.240]  能夠更加明白祢的心智意念
[00:00:25.240 --> 00:00:27.480]  也能夠讓我們更有方向知道
[00:00:27.480 --> 00:00:30.480]  在今天地上怎樣一方面認識祢
[00:00:30.480 --> 00:00:34.120]  一方面怎樣走面前一條屬靈的道路
[00:00:34.120 --> 00:00:36.640]  藉往這個屬靈的生命
[00:00:36.640 --> 00:00:39.440]  能夠更趨成熟的方向邁向
[00:00:39.440 --> 00:00:40.800]  求祢與我們同在
[00:00:40.800 --> 00:00:42.720]  我們謝謝祢奉天賦的先祢
[00:00:42.720 --> 00:00:44.680]  讓我們今天能夠再次
[00:00:44.680 --> 00:00:46.480]  隨著祢的聖靈帶領
[00:00:46.480 --> 00:00:48.000]  使我們能夠知道
[00:00:48.000 --> 00:00:49.520]  不單在今天的日子
[00:00:49.520 --> 00:00:51.280]  我們怎樣來到有解裡
[00:00:51.280 --> 00:00:53.120]  也同時讓我們知道
[00:00:53.120 --> 00:00:55.360]  怎樣走這條屬靈的道路
[00:00:55.360 --> 00:00:58.480]  往永生這條道路來走向
[00:00:58.480 --> 00:01:02.360]  乘勝的道路使我們能夠更認識祢
[00:01:02.360 --> 00:01:03.280]  更像祢
[00:01:03.280 --> 00:01:05.680]  使我們在永恆當中與祢同伴
[00:01:05.680 --> 00:01:07.720]  我們把這段時間交上
[00:01:07.720 --> 00:01:09.920]  求祢的聖靈再次幫助我們
[00:01:09.920 --> 00:01:11.280]  讓祢的說話
[00:01:11.280 --> 00:01:12.280]  主的道理
[00:01:12.280 --> 00:01:15.480]  能夠在我們生命當中
[00:01:15.480 --> 00:01:17.760]  繼續地來到生根見柵
[00:01:17.760 --> 00:01:20.160]  我們禱告公主耶穌的名字
[00:01:20.160 --> 00:01:22.160]  阿們
[00:01:23.480 --> 00:01:27.680]  我做人有一個看法
[00:01:27.680 --> 00:01:29.680]  有一個是我自己做人的宗旨
[00:01:29.680 --> 00:01:31.800]  做人我有自己的看法
[00:01:31.800 --> 00:01:33.280]  有一個宗旨
[00:01:33.280 --> 00:01:37.800]  就是不要做一些讓自己會後悔的事情
[00:01:37.800 --> 00:01:40.200]  就是不要做讓自己後悔的事情
[00:01:40.200 --> 00:01:42.280]  在我自己人生當中
