
[00:00:00.000 --> 00:00:04.160]  今日呢我哋嘅題目呢叫做從數羅到保羅
[00:00:04.160 --> 00:00:07.400]  我哋特別呢會喺肥立秘書第三章呢去睇
[00:00:07.400 --> 00:00:11.040]  保羅佢信耶穌之後生命嘅改變
[00:00:11.040 --> 00:00:13.520]  而今日我哋都問我哋一個問題呢
[00:00:13.520 --> 00:00:17.080]  就係究竟我哋嘅生命又有冇改變呢
[00:00:17.080 --> 00:00:20.760]  最近呢我喺網上面呢睇到一段嘅新聞
[00:00:20.760 --> 00:00:24.800]  一個呢曾經喺英國超級聯賽比賽嘅球員
[00:00:24.800 --> 00:00:28.400]  一個呢亦都曾經為佢嘅國家隊不愛爾蘭
[00:00:28.400 --> 00:00:31.360]  上陣超過30次嘅球員呢
[00:00:31.360 --> 00:00:34.560]  佢退咗休之後呢有一個好特別嘅職業
[00:00:34.560 --> 00:00:38.720]  就係成為咗天主教嘅神父
[00:00:38.720 --> 00:00:40.120]  好多人都覺得好特別呀
[00:00:40.120 --> 00:00:41.800]  一個呢職業足球員
[00:00:41.800 --> 00:00:46.680]  一個呢係賺到普通人賺唔到財富嘅人
[00:00:46.680 --> 00:00:49.080]  一個呢係能夠買到普通人
[00:00:49.080 --> 00:00:51.000]  買唔到物質生活嘅人
[00:00:51.000 --> 00:00:55.440]  點解退休之後會成為咗一個天主教嘅神父呢
[00:00:55.440 --> 00:00:59.200]  喺接受訪問嘅時候呢呢位神父咁樣講
[00:00:59.200 --> 00:01:00.600]  佢話足球員嘅生活呢
[00:01:00.600 --> 00:01:04.600]  確實能夠帶畀我好豐富物質嘅生活
[00:01:04.600 --> 00:01:07.160]  但係話佢發現原來佢生命裏面呢
[00:01:07.160 --> 00:01:12.440]  有一種嘅空虛係物質生活唔能夠填滿嘅
[00:01:12.440 --> 00:01:16.240]  原來呢有一年呢因為呢佢受咗傷要休息一年
[00:01:16.240 --> 00:01:18.080]  喺呢一年休息嘅裏面呢
[00:01:18.080 --> 00:01:20.600]  佢去咗教堂做義工呀
[00:01:20.600 --> 00:01:22.640]  佢話喺教堂服事嘅時候呢
[00:01:22.640 --> 00:01:25.600]  佢得到前所未有嘅滿足
[00:01:25.600 --> 00:01:28.640]  佢話呢種滿足係佢以前未經歷過㗎
[00:01:28.640 --> 00:01:31.920]  所以呢你都想唔想經歷呢種前所未有嘅滿足呀
[00:01:31.920 --> 00:01:33.080]  想唔想呀
