
[00:00:00.000 --> 00:00:03.000]  我們有個禱告 先開始今天的分享
[00:00:03.000 --> 00:00:05.000]  天父祢真是來到祢面前
[00:00:05.000 --> 00:00:07.000]  祢真是去重讚祢
[00:00:07.000 --> 00:00:09.000]  因為祢是一位愛的神
[00:00:09.000 --> 00:00:10.000]  祢愛我們每一個
[00:00:10.000 --> 00:00:13.000]  你說過反投靠 耶和華的人是有福的
[00:00:13.000 --> 00:00:16.000]  還有求祢親自將這份盼望
[00:00:16.000 --> 00:00:19.000]  將這份平安都賜給我們每一個弟兄姊妹
[00:00:19.000 --> 00:00:21.000]  無論現在我們生活的環境裏面
[00:00:21.000 --> 00:00:24.000]  我們遭遇的是疾病 是痛苦
[00:00:24.000 --> 00:00:26.000]  或者我們對於前途
[00:00:26.000 --> 00:00:28.000]  我們都有很多不同的憂慮
[00:00:28.000 --> 00:00:31.000]  讓我們有信心正正地仰望祢
[00:00:31.000 --> 00:00:33.000]  因為祢是我們的神 祢是我們的主
[00:00:33.000 --> 00:00:36.000]  我們一切的好處都在祢裏面
[00:00:36.000 --> 00:00:37.000]  像然祢與我們同在
[00:00:37.000 --> 00:00:39.000]  幫助我們明白祢的話語
[00:00:39.000 --> 00:00:40.000]  也讓我們有能力去跟從
[00:00:40.000 --> 00:00:43.000]  我們這樣禱告奉靠 主耶穌基督的名
[00:00:43.000 --> 00:00:44.000]  Amen
[00:00:44.000 --> 00:00:47.000]  今天我們回來是馬太福音的地方
[00:00:47.000 --> 00:00:52.000]  記得上次為什麼我會選馬太福音第五到七章
[00:00:52.000 --> 00:00:54.000]  因為這段時間都很混亂
[00:00:54.000 --> 00:00:57.000]  無論信仰也好 世界的局勢也好
[00:00:57.000 --> 00:01:02.000]  我很想知道耶穌究竟如何教導我們在地上的生活
[00:01:02.000 --> 00:01:04.000]  馬太福音第五到七章
[00:01:04.000 --> 00:01:08.000]  作者刻意將耶穌很多的教訓
[00:01:08.000 --> 00:01:10.000]  編織成一篇很長的講章
[00:01:10.000 --> 00:01:12.000]  所以當我們在學習的時候就發覺很貪心
[00:01:12.000 --> 00:01:15.000]  原來一次過要一講就講不完
[00:01:15.000 --> 00:01:18.000]  所以上一講我們已經從八福開始進入
[00:01:18.000 --> 00:01:21.000]  就知道如果我們要蒙上帝賜福
[00:01:21.000 --> 00:01:24.000]  在地上過一個幸福的人生的時候
[00:01:24.000 --> 00:01:26.000]  我們應該要進路
[00:01:26.000 --> 00:01:28.000]  能夠成為主的門徒
[00:01:28.000 --> 00:01:30.000]  在這個格局裡面有份
[00:01:30.000 --> 00:01:33.000]  你和我已經背負了一個很大的責任
[00:01:33.000 --> 00:01:36.000]  我們要在地上作光再炎去榮耀主
[00:01:36.000 --> 00:01:39.000]  而這篇講章的對象是猶太人
[00:01:39.000 --> 00:01:44.000]  他們自小都在先知和教師的教導裡
[00:01:44.000 --> 00:01:45.000]  如何行十戒
[00:01:45.000 --> 00:01:49.000]  但是耶穌卻重新將一些很重要的
[00:01:49.000 --> 00:01:52.000]  對於律法的詮釋去宣講
[00:01:52.000 --> 00:01:53.000]  所以如果你沒聽過
[00:01:53.000 --> 00:01:56.000]  可以在網上看回上次的一半
[00:01:56.000 --> 00:01:57.000]  原因是什麼呢
[00:01:57.000 --> 00:02:00.000]  在整個馬達福音的宣講裡面
[00:02:00.000 --> 00:02:04.000]  我們知道神揀選猶太人
[00:02:04.000 --> 00:02:06.000]  有一個很重要的目的
[00:02:06.000 --> 00:02:09.000]  其實是希望透過以色列的民族
[00:02:09.000 --> 00:02:12.000]  去彰顯祂的能力
[00:02:12.000 --> 00:02:13.000]  彰顯祂的愛
[00:02:13.000 --> 00:02:15.000]  以致到外邦人可以知道
[00:02:15.000 --> 00:02:18.000]  哇 這麼厲害的以色列的神
[00:02:18.000 --> 00:02:20.000]  祂是一個真神
[00:02:20.000 --> 00:02:24.000]  其他人都因為這個民族來認識主
[00:02:24.000 --> 00:02:27.000]  同樣今天我們已經是教會時代
[00:02:27.000 --> 00:02:29.000]  你和我都是基督徒
[00:02:29.000 --> 00:02:30.000]  我們這間叫教會
[00:02:30.000 --> 00:02:33.000]  都是一群信耶穌的人聚集在一起
[00:02:33.000 --> 00:02:35.000]  我們都是恩信稱義
