
[00:00:00.000 --> 00:00:03.000]  後頂姐妹平安
[00:00:03.000 --> 00:00:06.000]  感謝神我們繼續在這個女小的禮堂
[00:00:06.000 --> 00:00:09.000]  一起來去敬拜神
[00:00:09.000 --> 00:00:11.000]  讓我們在聽道之先
[00:00:11.000 --> 00:00:13.000]  一起來同心祈禱
[00:00:13.000 --> 00:00:18.000]  親愛的天父上帝
[00:00:18.000 --> 00:00:20.000]  我們滿心感謝讚美你
[00:00:20.000 --> 00:00:23.000]  你賜給我們有生命氣息
[00:00:23.000 --> 00:00:26.000]  你讓我們成為你的兒女
[00:00:26.000 --> 00:00:28.000]  我們今天聚集一切
[00:00:28.000 --> 00:00:30.000]  去敬拜你,是你的恩典
[00:00:30.000 --> 00:00:33.000]  我們現在一起去
[00:00:33.000 --> 00:00:35.000]  看你的話語的時候
[00:00:35.000 --> 00:00:37.000]  求主引導我們
[00:00:37.000 --> 00:00:39.000]  讓聽的、說的
[00:00:39.000 --> 00:00:43.000]  一同被你造就
[00:00:43.000 --> 00:00:46.000]  讓我們的生命得著益處
[00:00:46.000 --> 00:00:48.000]  我們求你隨聽我們祈禱
[00:00:48.000 --> 00:00:51.000]  奉主耶穌基督的聖名祈求
[00:00:51.000 --> 00:00:52.000]  Amen
[00:00:52.000 --> 00:00:57.000]  今年正道的方向
[00:00:57.000 --> 00:01:00.000]  都圍繞著我們教會的主題
[00:01:00.000 --> 00:01:02.000]  我們今年教會的主題
[00:01:02.000 --> 00:01:05.000]  就是「擁抱你我他」
[00:01:05.000 --> 00:01:08.000]  「擁抱你我他」
[00:01:08.000 --> 00:01:19.000]  今年教會的主題
[00:01:19.000 --> 00:01:22.000]  就是我們成為敬拜的群體
[00:01:22.000 --> 00:01:25.000]  在頭一季的時候
[00:01:25.000 --> 00:01:28.000]  我們將敬拜
[00:01:28.000 --> 00:01:31.000]  在我們個人的敬拜方面去學習
[00:01:31.000 --> 00:01:33.000]  來到這一季
