
[00:00:00.000 --> 00:00:01.720]  早晨大英姐妹朋友
[00:00:01.720 --> 00:00:06.900]  很高興今天能夠在這裡跟大家一起來分享聖經的說話
[00:00:06.900 --> 00:00:10.080]  今天我和大家想分享的那段經文
[00:00:10.080 --> 00:00:15.540]  就是出自於新約聖經的哥倫多前書第一章
[00:00:15.540 --> 00:00:18.860]  從第26節到第31節
[00:00:18.860 --> 00:00:21.420]  今天講到的題目就是
[00:00:21.420 --> 00:00:23.980]  基督耶穌是我們的智慧
[00:00:23.980 --> 00:00:30.420]  讓我們一起去中讀和聽神的說話之前
[00:00:30.420 --> 00:00:33.020]  我們一起有一個祈禱
[00:00:33.020 --> 00:00:35.180]  有一個低低頭的祈禱
[00:00:35.180 --> 00:00:38.020]  七位故神 我很感謝祢給我們這個早上一同
[00:00:38.020 --> 00:00:40.400]  回到你的說話當中一同的學習
[00:00:40.400 --> 00:00:46.580]  求祢幫助我們從你的說話當中能夠明白到你的說話
[00:00:46.580 --> 00:00:47.880]  不單單在頭腦上
[00:00:47.880 --> 00:00:54.080]  讓你的說話在我們生命裏面能夠有所影響
[00:00:54.080 --> 00:00:57.220]  讓我們真的能夠聽到你的說話
[00:00:57.220 --> 00:01:03.640]  也能夠去回應聖靈在我們裏面的工作
[00:01:03.640 --> 00:01:05.080]  求主你幫助我們
[00:01:05.080 --> 00:01:11.220]  在這個時間讓我們一起在你的說話當中有所得著
[00:01:11.220 --> 00:01:12.900]  也得到祢的祖籌
[00:01:12.900 --> 00:01:15.520]  禱告奉主耶穌基督明求 阿們
[00:01:15.520 --> 00:01:21.340]  這次的經文我們是有六節的經文
[00:01:21.340 --> 00:01:24.660]  一章二十六節到第三十一節
[00:01:24.660 --> 00:01:27.460]  讓我們一起去打開聖經
[00:01:27.460 --> 00:01:28.900]  一起同聲的來讀
[00:01:28.900 --> 00:01:30.600]  或者你也可以看到這個畫面
[00:01:30.600 --> 00:01:31.940]  也可以一起來讀
[00:01:31.940 --> 00:01:36.700]  哥倫多前書的第一章第二十六節這樣說
[00:01:36.700 --> 00:01:37.940]  弟兄們
[00:01:37.940 --> 00:01:41.740]  可見你們蒙召的安著欲體
[00:01:41.740 --> 00:01:43.240]  有智慧的不多
[00:01:43.240 --> 00:01:45.020]  有能力的不多
[00:01:45.020 --> 00:01:47.060]  有尊貴的不多
[00:01:47.060 --> 00:01:50.220]  神卻揀選了世上最愚蠢的
[00:01:50.220 --> 00:01:52.220]  叫有智慧的羞愧
[00:01:52.220 --> 00:01:54.620]  又揀選了世上軟弱的
[00:01:54.620 --> 00:01:56.860]  叫那強壯的羞愧
[00:01:56.860 --> 00:01:59.900]  神也揀選了世上卑賤的
[00:01:59.900 --> 00:02:01.420]  被人厭惡的
[00:02:01.420 --> 00:02:02.980]  以及那無用的
[00:02:02.980 --> 00:02:05.100]  為要廢掉那有的
[00:02:05.100 --> 00:02:07.500]  使一切有血氣的
[00:02:07.500 --> 00:02:10.940]  在神面前一個也不能自誇
[00:02:10.940 --> 00:02:16.060]  但你們得載基督耶穌裡是本乎神
[00:02:16.060 --> 00:02:19.460]  神又使他成為我們的智慧
[00:02:19.460 --> 00:02:20.460]  公義
[00:02:20.460 --> 00:02:21.260]  聖潔
[00:02:21.260 --> 00:02:22.060]  救贖
[00:02:22.060 --> 00:02:23.780]  如經文所記
[00:02:23.780 --> 00:02:24.780]  誇厚的
[00:02:24.780 --> 00:02:27.100]  當子爵主誇厚
[00:02:27.100 --> 00:02:33.100]  不知道大家有沒有這兩三個星期
[00:02:33.100 --> 00:02:36.300]  大概留意一些網上的新聞
[00:02:36.300 --> 00:02:38.300]  網上的一些資訊
[00:02:38.300 --> 00:02:39.980]  不算是新聞
[00:02:39.980 --> 00:02:42.140]  最近這兩三個星期
[00:02:42.140 --> 00:02:46.140]  有一位香港的男藝人
[00:02:46.140 --> 00:02:49.980]  他被人上載了一段影片
