
[00:00:00.000 --> 00:00:03.000]  今年會是一個講到的系列
[00:00:03.000 --> 00:00:05.000]  就是生命記
[00:00:05.000 --> 00:00:08.000]  生命記是摩西
[00:00:08.000 --> 00:00:12.000]  當他準備離世之前
[00:00:12.000 --> 00:00:18.000]  他對一班以色列人所講的一番很重要的說話
[00:00:18.000 --> 00:00:27.000]  這一班人是當時出埃及第二代的人
[00:00:27.000 --> 00:00:30.000]  一會兒我會解釋第一代出了什麼問題
[00:00:30.000 --> 00:00:32.000]  所以進不了迦南
[00:00:32.000 --> 00:00:36.000]  今天我們一起看八節經文
[00:00:36.000 --> 00:00:39.000]  就是生命記第一章一到八節
[00:00:39.000 --> 00:00:41.000]  讓我們一起讀
[00:00:41.000 --> 00:00:47.000]  以下所記的是摩西在約旦河東的曠野
[00:00:58.000 --> 00:01:05.000]  從荷列山經過西爾山到迦地斯阿里亞
[00:01:05.000 --> 00:01:07.000]  有十一天的路程
[00:01:07.000 --> 00:01:11.000]  出埃及第四十年十一月初日
[00:01:11.000 --> 00:01:18.000]  摩西都曉遇探望
[00:01:18.000 --> 00:01:25.000]  那時他已經擊殺了住希什館的阿摩利亞和摩西王
[00:01:25.000 --> 00:01:30.000]  我住以德萊阿斯他洛的巴山王國
[00:01:30.000 --> 00:01:35.000]  摩西在約旦河東的柯亞地講了話
[00:01:35.000 --> 00:01:40.000]  又話講神在荷列山見了我們說
[00:01:40.000 --> 00:01:44.000]  我們在山上住了此舊年
[00:01:44.000 --> 00:02:03.000]  沿海一帶的巴山有個白海大河
[00:02:03.000 --> 00:02:06.000]  擺在你們面前
[00:02:06.000 --> 00:02:09.000]  你們要進去得者地
[00:02:09.000 --> 00:02:14.000]  就是耶和華向你們列祖的白海
[00:02:14.000 --> 00:02:16.000]  以撒旦國起誓
[00:02:16.000 --> 00:02:21.000]  應許涉及他們後裔遺孽之地
[00:02:21.000 --> 00:02:27.000]  這段經文是摩西在摩亞的平原
[00:02:27.000 --> 00:02:33.000]  對第二代的以色列人講的說話
[00:02:33.000 --> 00:02:37.000]  他們準備要進入迦南地
[00:02:37.000 --> 00:02:42.000]  過約旦河然後進入迦南地
[00:02:42.000 --> 00:02:45.000]  當時的背景是怎樣呢
[00:02:45.000 --> 00:02:48.000]  我要看看當時的背景
[00:02:48.000 --> 00:02:52.000]  在這裏我看看當時的地圖
[00:02:52.000 --> 00:02:57.000]  以色列人他們在埃及住了四百多年
[00:02:57.000 --> 00:03:01.000]  新的皇帝政權不是很穩定
[00:03:01.000 --> 00:03:06.000]  新的皇帝心裏面不是很安定
